iso3,task_count,exposed_share,exposed_count,country_name,income_level,region,physical_execution_share_exposed,rule_based_workflow_share_exposed,planning_control_share_exposed,informational_transformation_share_exposed,inference_scoring_share_exposed,ai_material_share_exposed,non_substitution_share_exposed,learned_content_transformation_share_ai_exposed,learned_state_inference_share_ai_exposed,learned_recommendation_decision_share_ai_exposed,learned_adaptive_control_share_ai_exposed,gdp_per_capita,log_gdp_per_capita,population
MMR,23851,0.2552932791077942,6089,Myanmar,Lower middle income,East Asia & Pacific,0.15749712596485466,0.4238791262933158,0.09656758088356052,0.25258663163080963,0.06946953522745936,0.4207587452783708,0.5774347183445557,0.6342701014832163,0.2419984387197502,0.11124121779859485,0.01249024199843872,1359.0500156010655,7.21454121671238,54500091.0
LAO,23851,0.2271602867804285,5418,Lao PDR,Lower middle income,East Asia & Pacific,0.10114433370247324,0.4809892949427833,0.09376153562200074,0.26448874123292726,0.059616094499815434,0.3977482465854559,0.5996677740863787,0.6612529002320185,0.20835266821345708,0.11415313225058005,0.016241299303944315,2123.9790941510864,7.661046539634993,7769819.0
KHM,23851,0.34082428409710286,8129,Cambodia,Lower middle income,East Asia & Pacific,0.12289334481486038,0.40632304096444827,0.10886947964079223,0.2814614343707713,0.08045270020912781,0.5377045147004551,0.6716693320211589,0.5955159002516587,0.22855181880576528,0.1601464195836193,0.015785861358956762,2627.8796975622436,7.873932601373377,17638801.0
PNG,23851,0.14263552890864115,3402,Papua New Guinea,Lower middle income,East Asia & Pacific,0.059376837154614934,0.5196942974720753,0.07936507936507936,0.29129923574368016,0.05026455026455026,0.3985890652557319,0.591710758377425,0.721976401179941,0.1902654867256637,0.07374631268436578,0.014011799410029498,3006.705644789232,8.008600288203386,10576502.0
PHL,23851,0.4699174038824368,11208,Philippines,Lower middle income,East Asia & Pacific,0.1835296216987866,0.31084939329050676,0.1307994289793005,0.28791934332619556,0.08690221270521056,0.6730014275517487,0.6549785867237687,0.5289672544080605,0.2388969905872995,0.1988598700782182,0.03327588492642185,3984.8315387656053,8.29025031649527,115843670.0
VNM,23851,0.48421449834388497,11549,Viet Nam,Lower middle income,East Asia & Pacific,0.21283227985106937,0.30322971685860245,0.13161312667763442,0.2646116546887176,0.0877132219239761,0.6579790458048316,0.6443847952203654,0.4965126990393473,0.26029740755362546,0.19805237531254113,0.045137518094486115,4717.290287324487,8.45898982205734,100987686.0
IDN,23848,0.473960080509896,11303,Indonesia,Upper middle income,East Asia & Pacific,0.19570025656905246,0.29788551711934885,0.13474298858710076,0.2799256834468725,0.09174555427762542,0.6635406529240024,0.6494735910820136,0.5048,0.2488,0.20706666666666668,0.03933333333333333,4925.430487518603,8.502166958419496,283487931.0
THA,23851,0.51184436711249,12208,Thailand,Upper middle income,East Asia & Pacific,0.22059305373525556,0.2866153342070773,0.13974442988204455,0.26400720838794234,0.08903997378768021,0.6777522935779816,0.6374508519003932,0.4780033840947547,0.25501571186850375,0.2131979695431472,0.05378293449359439,7346.6202214218565,8.901995652630735,71668011.0
MYS,23851,0.5242128212653557,12503,Malaysia,Upper middle income,East Asia & Pacific,0.2218667519795249,0.281612413020875,0.1386867151883548,0.2696152923298408,0.08821882748140446,0.6851955530672639,0.6384867631768376,0.4770631492938018,0.25504844169487567,0.20964164818489553,0.058246760826426984,11874.427368424474,9.382142406133783,35557673.0
CHN,23850,0.6206708595387841,14803,China,Upper middle income,East Asia & Pacific,0.25440789029250827,0.23995136121056543,0.15098290886982368,0.2577855840032426,0.09680470174964534,0.7458623252043505,0.5879213672904141,0.41373064034054885,0.27796395254053075,0.21728104338375148,0.09102436373516892,13303.148154386841,9.495755989537386,1408975000.0
JPN,23850,0.599287211740042,14293,Japan,High income,East Asia & Pacific,0.2701322325613937,0.23948786119079268,0.14804449730637376,0.25390051073952286,0.08843489820191702,0.7496676694885608,0.6381445462813965,0.41250583294447035,0.26178254783014465,0.20457302846476902,0.12113859076061596,32487.077804756722,10.388597683244116,123975371.0
KOR,23847,0.599907745209041,14306,"Korea, Rep.",High income,East Asia & Pacific,0.24653991332308123,0.2468894170278205,0.15357192786243534,0.26142877114497415,0.0915699706416888,0.7531804837131274,0.630714385572487,0.41587006960556844,0.26292343387470996,0.21893271461716937,0.10227378190255221,36238.63990831493,10.497881229328883,51751065.0
NZL,23851,0.5466018196302042,13037,New Zealand,High income,East Asia & Pacific,0.21914550893610493,0.260029147810079,0.14704303137224822,0.2832706911099179,0.09051162077164993,0.7245531947533942,0.6436296694024699,0.4670760110099513,0.24920601312724963,0.21098877831886512,0.07272919754393393,49205.17921467915,10.803754165531089,5287500.0
HKG,23851,0.5585510041507694,13322,"Hong Kong SAR, China",High income,East Asia & Pacific,0.22579192313466445,0.2616724215583246,0.145473652604714,0.2781113946854827,0.08895060801681429,0.7158084371715958,0.6354901666416454,0.4592072147651007,0.26164010067114096,0.21266778523489932,0.06648489932885907,54074.692851948006,10.89812157076718,7524100.0
AUS,23850,0.5747169811320755,13707,Australia,High income,East Asia & Pacific,0.2279857007368498,0.24892390749252208,0.15167432698621142,0.28087838330779896,0.090464726052382,0.7384548041146859,0.6417888670022616,0.4523809523809524,0.2481722979648291,0.21813870776526378,0.08130804188895475,64603.98563084637,11.076031384939432,27196812.0
SGP,23847,0.6060720426049399,14453,Singapore,High income,East Asia & Pacific,0.2473534906247838,0.24624645402338616,0.14993426970179202,0.2625752438940012,0.09389054175603681,0.7474572753061648,0.6291427385317927,0.4204387670091641,0.2647412755716005,0.2225307784874572,0.09228917893177821,90674.06663262805,11.41502667055115,6036860.0
TJK,23851,0.29713638841138734,7087,Tajikistan,Lower middle income,Europe & Central Asia,0.11076619161845633,0.44969662762805135,0.10046564131508395,0.27275292789614786,0.06631861154226047,0.42768449273317344,0.6008183998871173,0.6374133949191686,0.22665786869020124,0.12240184757505773,0.013526888815572418,1341.2022902767246,7.201321722223127,10590927.0
KGZ,23851,0.39050773552471596,9314,Kyrgyz Republic,Lower middle income,Europe & Central Asia,0.13173716985183595,0.3899506119819626,0.11241142366330256,0.2833369121752201,0.08256388232767876,0.5191110156753275,0.6487008803951041,0.5911065149948294,0.23309203722854188,0.15904860392967943,0.016752843846949327,2420.185422838316,7.791599437223061,7221868.0
UZB,23851,0.40568529621399524,9676,Uzbekistan,Lower middle income,Europe & Central Asia,0.1961554361306325,0.35965274906986355,0.1208143861099628,0.2454526663910707,0.07792476229847044,0.5329681686647375,0.6345597354278627,0.5417878611595889,0.26216792708939307,0.16598797750630212,0.03005623424471592,3161.7001063287494,8.058865170238246,36361859.0
UKR,23851,0.5061003731499727,12071,Ukraine,Upper middle income,Europe & Central Asia,0.20106039267666306,0.281998177450087,0.14207605003727944,0.2864717090547593,0.08839367078121117,0.6725209179024108,0.6347444287962887,0.5140428677014043,0.2423010593742301,0.20288248337028825,0.04077358955407736,5038.038801059956,8.524772158562127,37860221.0
TKM,23851,0.3501739968974047,8352,Turkmenistan,Upper middle income,Europe & Central Asia,0.1627155172413793,0.415110153256705,0.11326628352490421,0.23587164750957854,0.07303639846743296,0.41750478927203066,0.5832136015325671,0.5767135073128764,0.2558072841984514,0.14396329222827645,0.023515916260395755,6856.658027302082,8.832975433983265,7494498.0
AZE,23851,0.5397677246237055,12874,Azerbaijan,Upper middle income,Europe & Central Asia,0.1795090880845114,0.3013049557247165,0.13826316607115116,0.28654652788566104,0.09437626223395992,0.6616436228056548,0.6609445393816995,0.49624324958910543,0.25968537215308757,0.20521249119511623,0.03885888706269077,7283.849907617905,8.893414834871592,10202830.0
BLR,23851,0.5706259695610247,13610,Belarus,Upper middle income,Europe & Central Asia,0.19515062454077883,0.2872152828802351,0.1429096252755327,0.28119030124908156,0.09353416605437179,0.6576781778104335,0.6464364437913299,0.4964808401295945,0.25773656574684395,0.2041112724835214,0.04167132164004022,8317.633999137915,9.026133118269371,9132629.0
SRB,23851,0.5734350760974383,13677,Serbia,Upper middle income,Europe & Central Asia,0.1920011698471887,0.26943043064999633,0.14776632302405499,0.29253491262703807,0.09826716385172186,0.7093660890546173,0.6730277107552826,0.49031127602556174,0.24850546279117708,0.21160585446299732,0.04957740672026386,13679.206598355691,9.523632192298418,6586476.0
KAZ,23851,0.5003144522242254,11933,Kazakhstan,Upper middle income,Europe & Central Asia,0.21637475907148243,0.29967317522835835,0.13693119919550825,0.2630520405597922,0.0839688259448588,0.6417497695466354,0.6407441548646611,0.4955601984852442,0.25019587359623924,0.2042308696787673,0.05001305823974928,14154.632495807638,9.557797234355384,20592571.0
TUR,23848,0.5311137202281113,12666,Turkiye,Upper middle income,Europe & Central Asia,0.22019579977893575,0.27254066003473865,0.1421916942997,0.2765671877467235,0.0885046581399021,0.6944576030317385,0.6347702510658456,0.47783083219645295,0.25181900864029105,0.211118690313779,0.05923146884947703,15892.715728724052,9.67361615296566,85518661.0
RUS,23846,0.5434454415834941,12959,Russian Federation,High income,Europe & Central Asia,0.22910718419631143,0.2843583609846439,0.1383594413149163,0.25943359827147155,0.08874141523265684,0.6717339300871981,0.6157110888185817,0.47122343480758183,0.2645605973578403,0.2032165422171166,0.06099942561746123,15145.108917001467,9.62543291504997,143533851.0
BGR,23851,0.5935600184478638,14157,Bulgaria,High income,Europe & Central Asia,0.19474464929010382,0.25683407501589317,0.14770078406442042,0.3005580278307551,0.10016246379882744,0.7303100939464576,0.6705516705516705,0.4890221491440178,0.2501209014411452,0.20775703646387464,0.05309991295096238,17596.017366352084,9.77542786941698,6441421.0
ROU,23851,0.5259318267577879,12544,Romania,High income,Europe & Central Asia,0.2255261479591837,0.2763073979591837,0.13871173469387754,0.27535076530612246,0.08410395408163265,0.6843112244897959,0.6313775510204082,0.4912628145386766,0.2467381174277726,0.2037511649580615,0.058247903075489285,20080.209621559512,9.907490013071868,19051804.0
HUN,23851,0.5379648652048132,12831,Hungary,High income,Europe & Central Asia,0.22998986828774062,0.27043878107707897,0.13989556542748033,0.2713740160548671,0.08830176915283298,0.6877873899150495,0.6287117138180968,0.47875354107648727,0.2488385269121813,0.20679886685552407,0.06560906515580736,23292.32638824783,10.05587924574943,9562065.0
HRV,23851,0.5911282545805208,14099,Croatia,High income,Europe & Central Asia,0.19604227250159587,0.2671820696503298,0.15185474147102632,0.2892403716575644,0.09568054471948365,0.7257961557557273,0.6717497694871977,0.4794292973712499,0.2488028926023649,0.2157725007329229,0.05599530929346233,24050.439793313537,10.087908561990972,3866200.0
GRC,23851,0.5265607312062387,12559,Greece,High income,Europe & Central Asia,0.22223106935265546,0.27565889003901584,0.13790906919340712,0.2735886615176368,0.09053268572338562,0.6939246755314914,0.6414523449319214,0.47940332759609866,0.2542742398164085,0.204245553643144,0.06207687894434882,24626.14818589727,10.11156409179176,10405134.0
POL,23849,0.5479475030399598,13068,Poland,High income,Europe & Central Asia,0.2307927762473217,0.27073767982858893,0.1446280991735537,0.2662228344046526,0.08761861034588307,0.7064585246403429,0.6338383838383839,0.4629549393414211,0.253682842287695,0.2136048526863085,0.06975736568457538,25103.565661422956,10.130765173254584,36559233.0
SVK,23851,0.6077732589828518,14496,Slovak Republic,High income,Europe & Central Asia,0.20653973509933773,0.2535182119205298,0.1551462472406181,0.2881484547461369,0.09664735099337748,0.7365480132450332,0.6624586092715232,0.4660485155006088,0.2528800224782242,0.21682120445818115,0.06425025756298586,25992.674850204785,10.165570040777842,5422069.0
PRT,23851,0.5455955725126829,13013,Portugal,High income,Europe & Central Asia,0.22600476446630294,0.26550372704218855,0.14439406747099054,0.2733420425728118,0.09075539844770614,0.7026050872204719,0.6390532544378699,0.46932079186262715,0.2509023296510992,0.21316854424149623,0.06660833424477743,29292.242104753008,10.285077985364373,10694681.0
CZE,23851,0.555154920129135,13241,Czechia,High income,Europe & Central Asia,0.23427233592628954,0.264330488633789,0.1484782116154369,0.2670493165168794,0.08586964730760517,0.711426629408655,0.6296352239256854,0.46284501061571126,0.24872611464968153,0.217515923566879,0.07091295116772824,31823.307829056375,10.367954250890413,10905028.0
ESP,23849,0.5592268019623464,13337,Spain,High income,Europe & Central Asia,0.23056159556122066,0.25740421384119366,0.14710954487515934,0.27494938891804754,0.08990027742370849,0.7219014770937993,0.6341756017095299,0.46676360614873286,0.24916909015371833,0.21157041960947237,0.07249688408807645,35326.76830692786,10.472396264528529,48848840.0
ITA,23851,0.5483208251226364,13078,Italy,High income,Europe & Central Asia,0.23405719528979965,0.26005505428964676,0.14612326043737575,0.2691543049395932,0.09053372075240862,0.7214405872457562,0.6401590457256461,0.45310015898251194,0.25479597244303126,0.21229464758876523,0.07980922098569157,40385.341395766845,10.60622216136962,58952704.0
FRA,23850,0.5700628930817611,13596,France,High income,Europe & Central Asia,0.23249485142689028,0.24823477493380405,0.15357458075904679,0.2764783759929391,0.0892174168873198,0.7393350985583995,0.6406295969402765,0.4504576203740549,0.24860724233983286,0.21707122960604855,0.08386390768006367,46103.08408558842,10.738635126651346,68551653.0
FIN,23851,0.5840845247578718,13931,Finland,High income,Europe & Central Asia,0.2506639867920465,0.2467877395736128,0.15225037685736845,0.2647333285478429,0.08556456822912928,0.7208384179168761,0.6213480726437441,0.4331806413065126,0.2575184226249751,0.2144991037641904,0.09480183230432185,53149.76719340502,10.880869003579974,5619911.0
GBR,23851,0.5727642446857574,13661,United Kingdom,High income,Europe & Central Asia,0.22253129346314326,0.25430056364834197,0.15255105775565478,0.2771393016616646,0.09347778347119537,0.7378669204304223,0.631432545201669,0.4509920634920635,0.24583333333333332,0.22708333333333333,0.07609126984126983,53246.36761451088,10.882684867433001,69226000.0
DEU,23850,0.5767295597484277,13755,Germany,High income,Europe & Central Asia,0.2460196292257361,0.25030897855325335,0.15172664485641585,0.2649218466012359,0.08702290076335878,0.7370410759723737,0.6464558342420937,0.43243243243243246,0.25547445255474455,0.21611757743144605,0.095975537581377,56103.73231825549,10.934957619034957,83516593.0
BEL,23847,0.5743280077158552,13696,Belgium,High income,Europe & Central Asia,0.24342873831775702,0.2506571261682243,0.15157710280373832,0.2673773364485981,0.08695969626168225,0.724445093457944,0.6368282710280374,0.4417456158032655,0.2570046361620641,0.21729490022172948,0.08395484781294094,56614.567949903576,10.94402161534754,11858610.0
SWE,23844,0.5897919812112061,14063,Sweden,High income,Europe & Central Asia,0.2492355827348361,0.24560904501173292,0.15224347578752756,0.26608831685984496,0.08682357960605845,0.7324895114840361,0.6227689682144635,0.43228812736627514,0.25434423842345405,0.21425104358800118,0.09911659062226968,57117.48774406163,10.952865613974476,10569709.0
AUT,23851,0.5650077564881976,13476,Austria,High income,Europe & Central Asia,0.24554764024933215,0.25526862570495695,0.14841199168892846,0.26268922528940336,0.08808251706737905,0.7216533095874147,0.6437370139507272,0.4402056555269923,0.25604113110539845,0.212853470437018,0.09089974293059126,58268.878765160145,10.972823417891926,9177982.0
NLD,23850,0.5880503144654088,14025,Netherlands,High income,Europe & Central Asia,0.24163992869875223,0.25276292335115863,0.15429590017825312,0.26024955436720143,0.09105169340463458,0.7388235294117647,0.6311586452762923,0.4251109824358232,0.2580582899054237,0.22157884578266743,0.0952518818760857,67520.42189562833,11.120185377704528,17993485.0
