domain,margin,model,term,coef,se,pvalue,n_obs,n_countries,n_cells,mean_log_gdp,column_label
ISCO-2 occupations,Substitution-only,Baseline,x,-0.3510946665210064,0.1186893164564747,0.003974879572754619,3084,89,42,8.837992098570137,Occ. sub
ISCO-2 occupations,Substitution-only,Interaction,x,-0.5533855332183768,0.16966167307694444,0.0015766665615635376,3084,89,42,8.837992098570137,Occ. sub
ISCO-2 occupations,Substitution-only,Interaction,x_log_gdp,0.06615307990162234,0.037147911398881246,0.07839561848690302,3084,89,42,8.837992098570137,Occ. sub
ISCO-2 occupations,Augmentation-only,Baseline,x,0.2733640000044871,0.3929593185428908,0.4884781841590259,3084,89,42,8.837992098570137,Occ. aug
ISCO-2 occupations,Augmentation-only,Interaction,x,0.5305194032748215,0.44583348815697016,0.237266639950895,3084,89,42,8.837992098570137,Occ. aug
ISCO-2 occupations,Augmentation-only,Interaction,x_log_gdp,-0.22073686649506677,0.14337858511856877,0.12726110009150213,3084,89,42,8.837992098570137,Occ. aug
ISIC-2 industries,Substitution-only,Baseline,x,-0.2189625438939019,0.04137138937094149,1.248181405766415e-6,4837,73,88,9.208122623233505,Ind. sub
ISIC-2 industries,Substitution-only,Interaction,x,-0.12777033093646584,0.042339981164613454,0.0035196639823462344,4837,73,88,9.208122623233505,Ind. sub
ISIC-2 industries,Substitution-only,Interaction,x_log_gdp,-0.05941325470347143,0.00956542385831557,3.032042814037758e-8,4837,73,88,9.208122623233505,Ind. sub
ISIC-2 industries,Augmentation-only,Baseline,x,0.007804521070828429,0.07421655871899346,0.9165422479146738,4837,73,88,9.208122623233505,Ind. aug
ISIC-2 industries,Augmentation-only,Interaction,x,0.01966839911417148,0.08581890625507617,0.8193749692925698,4837,73,88,9.208122623233505,Ind. aug
ISIC-2 industries,Augmentation-only,Interaction,x_log_gdp,-0.024782438274960086,0.046422512740002496,0.5950929842025772,4837,73,88,9.208122623233505,Ind. aug
