iso3,country_name,income_level,ilostat_year,female_employment_weighted_occ_exposed_share,male_employment_weighted_occ_exposed_share,female_male_gap
AFG,Afghanistan,Low income,2020,0.08261534946655358,0.09477133576115535,-0.012155986294601767
AGO,Angola,Lower middle income,2024,0.2205273676268867,0.24162194705468837,-0.021094579427801657
ARE,United Arab Emirates,High income,2024,0.5787932280586869,0.5649240358580997,0.013869192200587244
ARG,Argentina,Upper middle income,2024,0.5237271517041735,0.5258087077534395,-0.0020815560492659646
AUS,Australia,High income,2024,0.5906923289857051,0.5816870962856409,0.009005232700064258
AUT,Austria,High income,2024,0.5780565038781462,0.5771204372756175,0.0009360666025287623
BDI,Burundi,Low income,2020,0.03463635379815155,0.03873815658330536,-0.004101802785153805
BEL,Belgium,High income,2024,0.5915839785694724,0.59015104278505,0.0014329357844223845
BEN,Benin,Lower middle income,2022,0.16252092129878973,0.1594344791328058,0.003086442165983916
BFA,Burkina Faso,Low income,2024,0.08893194852300132,0.08941402413376269,-0.0004820756107613705
BGD,Bangladesh,Lower middle income,2024,0.2285329013558613,0.27024336233745855,-0.04171046098159725
BLR,Belarus,Upper middle income,2024,0.5671407619652172,0.5739270645168167,-0.00678630255159951
BOL,Bolivia,Lower middle income,2024,0.3059314167272463,0.3113656711443176,-0.005434254417071349
BRA,Brazil,Upper middle income,2025,0.540406690961766,0.5431356358335134,-0.002728944871747463
CHL,Chile,High income,2025,0.524738150266116,0.5392751440968762,-0.014536993830760125
CIV,Cote d'Ivoire,Lower middle income,2022,0.2064046204796074,0.2131728120838512,-0.006768191604243801
CMR,Cameroon,Lower middle income,2021,0.206690253780764,0.21011006126447415,-0.003419807483710152
COD,"Congo, Dem. Rep.",Low income,2020,0.04231600527544325,0.049513730501988006,-0.007197725226544757
COL,Colombia,Upper middle income,2025,0.4770237101054765,0.48042988216401633,-0.0034061720585398247
CRI,Costa Rica,High income,2025,0.5792377946057741,0.5738381571296989,0.005399637476075192
CZE,Czechia,High income,2024,0.5669245642103985,0.5656890982023978,0.0012354660080007296
DNK,Denmark,High income,2024,0.5882811230215352,0.5970098186471371,-0.008728695625601857
DOM,Dominican Republic,Upper middle income,2025,0.4763682448691315,0.4488105502095414,0.02755769465959007
ECU,Ecuador,Upper middle income,2025,0.4363867764097076,0.44373079017875716,-0.007344013769049584
EGY,"Egypt, Arab Rep.",Lower middle income,2024,0.45596513319835347,0.44828034287302077,0.007684790325332702
ESP,Spain,High income,2025,0.5757206302412694,0.5671882742746568,0.008532355966612615
ETH,Ethiopia,Not classified,2021,0.14805400717414557,0.1401599093135182,0.007894097860627364
FIN,Finland,High income,2024,0.5769603690612004,0.5850348670759081,-0.00807449801470772
GBR,United Kingdom,High income,2025,0.5930371867430413,0.5877147892847561,0.005322397458285222
GHA,Ghana,Lower middle income,2024,0.21160355220571733,0.2156597411226989,-0.004056188916981562
GIN,Guinea,Lower middle income,2019,0.0831636253491209,0.08387034788537137,-0.0007067225362504675
GTM,Guatemala,Upper middle income,2024,0.3590397686266914,0.36206033462179277,-0.0030205659951013653
HKG,"Hong Kong SAR, China",High income,2024,0.6079411795409743,0.5776286156579968,0.030312563882977428
HND,Honduras,Lower middle income,2025,0.35316273523690056,0.3499547792488559,0.003207955988044686
HRV,Croatia,High income,2024,0.6154434148955119,0.6031312506422847,0.012312164253227231
HUN,Hungary,High income,2024,0.5611197706974134,0.5470955801267893,0.014024190570624095
IDN,Indonesia,Upper middle income,2023,0.422901248001202,0.4384995041001113,-0.015598256098909302
IND,India,Lower middle income,2024,0.42566330940957464,0.44821347447676285,-0.02255016506718821
IRL,Ireland,High income,2024,0.5663350253409637,0.5576092503101526,0.008725775030811067
IRN,"Iran, Islamic Rep.",Upper middle income,2024,0.4377841607863486,0.4499676418701235,-0.012183481083774927
IRQ,Iraq,Upper middle income,2021,0.3075014150318721,0.29730973957234896,0.010191675459523153
ISR,Israel,High income,2024,0.5646637495973766,0.5677049980948441,-0.0030412484974674525
ITA,Italy,High income,2024,0.5758564083053311,0.5670328145068451,0.008823593798486074
JOR,Jordan,Lower middle income,2023,0.495024769618121,0.45569380141787924,0.039330968200241734
JPN,Japan,High income,2022,0.6434013007468786,0.6379438018860842,0.005457498860794385
KEN,Kenya,Lower middle income,2022,0.32721634508177755,0.33237959448098986,-0.005163249399212311
KGZ,Kyrgyz Republic,Lower middle income,2023,0.3482991876204829,0.34334042102657764,0.004958766593905262
KHM,Cambodia,Lower middle income,2023,0.2659205858654467,0.2756040319100741,-0.009683446044627397
KOR,"Korea, Rep.",High income,2025,0.6496922330292052,0.6264617687171006,0.023230464312104626
KWT,Kuwait,High income,2016,0.5930270820976931,0.5680235064723104,0.02500357562538269
LAO,Lao PDR,Lower middle income,2022,0.16413525965614825,0.1675539011496758,-0.003418641493527552
LKA,Sri Lanka,Lower middle income,2023,0.40553391797140204,0.38814739531926123,0.0173865226521408
MDG,Madagascar,Low income,2022,0.09995361061756645,0.10184935294646985,-0.0018957423289033964
MEX,Mexico,Upper middle income,2024,0.5108347234829911,0.5127852634781523,-0.00195053999516126
MLI,Mali,Low income,2024,0.08464949400959285,0.09036870637379536,-0.005719212364202517
MMR,Myanmar,Lower middle income,2020,0.20528731507639855,0.20227613569337877,0.0030111793830197853
MOZ,Mozambique,Low income,2022,0.10447391549636736,0.11935167415542494,-0.014877758659057577
MWI,Malawi,Low income,2024,0.1184642573514566,0.11927466135380149,-0.0008104040023448889
NER,Niger,Low income,2017,0.06762338408475993,0.06782538520858665,-0.00020200112382671997
NLD,Netherlands,High income,2024,0.5875606983273589,0.5962227549917722,-0.008662056664413331
NOR,Norway,High income,2024,0.5524100726632505,0.5808689866360103,-0.02845891397275979
NPL,Nepal,Lower middle income,2017,0.17934190280058332,0.1891018627689328,-0.009759959968349469
PAK,Pakistan,Lower middle income,2021,0.3149634520412474,0.3312118414186659,-0.01624838937741846
PER,Peru,Upper middle income,2025,0.44085024078067836,0.45438344202016673,-0.013533201239488368
PHL,Philippines,Lower middle income,2023,0.4491741340937839,0.4407234868965631,0.008450647197220829
PNG,Papua New Guinea,Lower middle income,2022,0.09977084087010897,0.10278678287728052,-0.0030159420071715487
POL,Poland,High income,2024,0.5547067197641355,0.5614430576034707,-0.006736337839335138
PRI,Puerto Rico (US),High income,2020,0.6718922215676835,0.6089726310825381,0.0629195904851454
PRT,Portugal,High income,2025,0.5591625032560084,0.551402594340787,0.007759908915221381
PRY,Paraguay,Upper middle income,2025,0.43540836328386184,0.43029147650494537,0.005116886778916474
ROU,Romania,High income,2024,0.5123792506533769,0.5265480752762314,-0.014168824622854514
RUS,Russian Federation,High income,2024,0.5306523070341251,0.5518571544372151,-0.02120484740308992
RWA,Rwanda,Low income,2024,0.21737742799538387,0.21462759229732123,0.0027498356980626415
SDN,Sudan,Low income,2022,0.12187047039139506,0.1205676150930885,0.0013028552983065655
SEN,Senegal,Lower middle income,2024,0.2865672969117952,0.26328515425475413,0.023282142657041094
SGP,Singapore,High income,2024,0.6403355315375295,0.6248945454480594,0.015440986089470088
SLE,Sierra Leone,Low income,2018,0.07199985987839612,0.07194298749212383,5.687238627229141e-05
SLV,El Salvador,Upper middle income,2024,0.4132666559471069,0.41088323995732795,0.0023834159897789253
SOM,"Somalia, Fed. Rep.",Low income,2019,0.10862641396766406,0.11076628438742302,-0.002139870419758952
SRB,Serbia,Upper middle income,2024,0.584786007768042,0.5771105413768367,0.00767546639120531
SWE,Sweden,High income,2024,0.5763645785632082,0.593618764347133,-0.01725418578392479
TCD,Chad,Low income,2022,0.0538330147300358,0.05605858204296692,-0.0022255673129311163
TGO,Togo,Low income,2022,0.14139897616111977,0.14768086140090794,-0.006281885239788176
THA,Thailand,Upper middle income,2024,0.4922441421580931,0.49317691009394826,-0.0009327679358551721
TJK,Tajikistan,Lower middle income,2016,0.2519356925698877,0.2468213808237178,0.005114311746169886
TUN,Tunisia,Lower middle income,2021,0.47751535139984624,0.4481033720205926,0.02941197937925366
TZA,Tanzania,Lower middle income,2024,0.15426509098842328,0.1571279766995325,-0.0028628857111092088
UGA,Uganda,Low income,2021,0.12507929076886515,0.1327760677192817,-0.0076967769504165395
VNM,Viet Nam,Lower middle income,2024,0.45695332040169895,0.4620825915732226,-0.005129271171523675
ZMB,Zambia,Lower middle income,2024,0.18388535864297,0.19215961784135704,-0.008274259198387035
ZWE,Zimbabwe,Lower middle income,2024,0.24423198550593989,0.24326337024523897,0.0009686152607009113
