iso3,ilostat_year,isco_major,employment_value,employment_share
AFG,2021,0,209.728,0.0282349583431779
AFG,2021,1,131.611,0.017718335665738414
AFG,2021,2,390.721,0.052601422598817574
AFG,2021,3,93.89,0.012640087345709553
AFG,2021,4,10.996,0.00148035361011207
AFG,2021,5,831.191,0.11190038173359963
AFG,2021,6,3645.717,0.4908103239720758
AFG,2021,7,742.924,0.10001729951244992
AFG,2021,8,366.358,0.04932151581424497
AFG,2021,9,1004.819,0.1352753214040742
AGO,2024,0,137.585,0.011010635224461385
AGO,2024,1,141.516,0.011325224802303137
AGO,2024,2,626.096,0.05010513261979412
AGO,2024,3,331.06,0.026494028399972277
AGO,2024,4,92.507,0.00740313866125849
AGO,2024,5,3254.418,0.2604441579090829
AGO,2024,6,5845.529,0.4678052659302288
AGO,2024,7,832.909,0.0666559375961835
AGO,2024,8,567.846,0.04544350888301413
AGO,2024,9,666.18,0.05331296997370123
ALB,2024,0,5.129,0.0043707753716309495
ALB,2024,1,47.3,0.04030759896239889
ALB,2024,2,141.684,0.12073872835916542
ALB,2024,3,51.888,0.04421735084484046
ALB,2024,4,19.72,0.01680477487396419
ALB,2024,5,192.724,0.16423343979766097
ALB,2024,6,430.575,0.366922715078962
ALB,2024,7,127.3,0.10848112786286214
ALB,2024,8,93.82,0.07995050601801827
ALB,2024,9,63.336,0.05397298283049675
ARE,2024,1,745.954,0.08087059419159381
ARE,2024,2,1266.709,0.13732684521812286
ARE,2024,3,1096.729,0.1188989212433374
ARE,2024,4,556.091,0.06028710831310992
ARE,2024,5,1323.606,0.14349518025985344
ARE,2024,6,96.935,0.010508946996680958
ARE,2024,7,1670.005,0.1810490950553689
ARE,2024,8,937.116,0.10159490765710705
ARE,2024,9,1530.9,0.1659684010648257
ARG,2024,1,598.43,0.0491928065703301
ARG,2024,2,1316.136,0.10819047118000097
ARG,2024,3,1281.158,0.10531517083039114
ARG,2024,4,1429.171,0.11748229961553606
ARG,2024,5,3173.157,0.26084337101797866
ARG,2024,6,28.808,0.002368107166549253
ARG,2024,7,1517.572,0.12474913666184682
ARG,2024,8,966.888,0.07948119973793649
ARG,2024,9,1853.67,0.15237743721943053
ARM,2017,1,61.594,0.06088024006547241
ARM,2017,2,146.625,0.14492588887878513
ARM,2017,3,89.074,0.08804179796070866
ARM,2017,4,34.425,0.03402607825849738
ARM,2017,5,145.506,0.14381985600816033
ARM,2017,6,306.635,0.3030816704951153
ARM,2017,7,92.553,0.09148048281942506
ARM,2017,8,55.245,0.05460481317039034
ARM,2017,9,80.067,0.07913917234344545
AUS,2024,0,5.964,0.00041353481992305926
AUS,2024,1,1658.95,0.11502910622256189
AUS,2024,2,3559.446,0.24680665000601162
AUS,2024,3,1925.143,0.13348652981742756
AUS,2024,4,1270.063,0.08806426458684447
AUS,2024,5,2390.712,0.1657683863863006
AUS,2024,6,280.874,0.0194753821279459
AUS,2024,7,1395.686,0.0967747750971051
AUS,2024,8,852.716,0.0591260492128624
AUS,2024,9,1082.448,0.07505532172301738
AUT,2024,0,11.509,0.0025639094930369664
AUT,2024,1,231.005,0.051461978663568025
AUT,2024,2,1021.348,0.22753009235331648
AUT,2024,3,806.508,0.17966926035365868
AUT,2024,4,427.538,0.0952444814348804
AUT,2024,5,782.356,0.1742888153040602
AUT,2024,6,123.532,0.027519755625496786
AUT,2024,7,504.744,0.1124439945393562
AUT,2024,8,237.063,0.05281154541209682
AUT,2024,9,343.245,0.07646616682052945
BDI,2020,0,2.304,0.0004651105515698389
BDI,2020,1,11.019,0.002224415437390649
BDI,2020,2,98.024,0.019788193015226517
BDI,2020,3,27.131,0.00547695936399362
BDI,2020,4,16.907,0.00341303129140246
BDI,2020,5,216.545,0.04371413384969217
BDI,2020,6,4070.81,0.8217780748420208
BDI,2020,7,122.416,0.024712227986533594
BDI,2020,8,48.77,0.009845243750026496
BDI,2020,9,339.735,0.06858260991214377
BEL,2024,0,20.413,0.004030541525654645
BEL,2024,1,395.42,0.07807557586216429
BEL,2024,2,1374.626,0.27141954515478084
BEL,2024,3,731.766,0.1444870058326653
BEL,2024,4,512.954,0.10128263350564114
