file,column,description
data_intermediate/task_country_labels_analysis.parquet,item_id,Unique task-country item identifier from the labelling pipeline.
data_intermediate/task_country_labels_analysis.parquet,task_id,Stable O*NET task identifier used in the paper.
data_intermediate/task_country_labels_analysis.parquet,iso3,ISO 3166-1 alpha-3 country code.
data_intermediate/task_country_labels_analysis.parquet,country_name,Country name used in the analysis.
data_intermediate/task_country_labels_analysis.parquet,income_level,World Bank analytical income group.
data_intermediate/task_country_labels_analysis.parquet,region,World Bank region.
data_intermediate/task_country_labels_analysis.parquet,exposure_level,Four-level automation exposure label: 0 no credible margin; 1 assistive-only contact; 2 meaningful partial economic exposure; 3 extensive economic exposure.
data_intermediate/task_country_labels_analysis.parquet,economic_exposed,Indicator equal to TRUE for exposure levels 2 or 3.
data_intermediate/task_country_labels_analysis.parquet,high_exposure,Indicator equal to TRUE for exposure level 3.
data_intermediate/task_country_labels_analysis.parquet,dominant_channel,"Dominant technology channel: physical execution, rule-based workflow, planning/control, information transformation, inference/scoring, or none."
data_intermediate/task_country_labels_analysis.parquet,sub_only_share,Share/probability mass assigned to substitution-only exposure in retained modal aggregation.
data_intermediate/task_country_labels_analysis.parquet,both_share,Share/probability mass assigned to balanced-both exposure in retained modal aggregation.
data_intermediate/task_country_labels_analysis.parquet,aug_only_share,Share/probability mass assigned to augmentation-only exposure in retained modal aggregation.
data_intermediate/task_country_labels_analysis.parquet,neither_share,Share/probability mass assigned to neither exposed margin.
data_intermediate/task_country_labels_analysis.parquet,margin,Dominant labour-margin label for the task-country observation.
data_intermediate/task_country_labels_analysis.parquet,has_material_ai_integration,Indicator for whether contemporary AI/ML is material to the automation route.
data_intermediate/task_country_labels_analysis.parquet,ai_material_share,Share/probability mass for AI-material involvement in retained modal aggregation.
data_intermediate/task_country_labels_analysis.parquet,dominant_ai_function,Dominant AI function when AI is material.
data_intermediate/task_metadata.csv,task_id,Stable O*NET task identifier used in the paper.
data_intermediate/task_metadata.csv,canonical_onet_task_code,Canonical O*NET task code after standardisation.
data_intermediate/task_metadata.csv,onet_task_code,Original O*NET task code.
data_intermediate/task_metadata.csv,task_label,O*NET task statement.
data_intermediate/task_metadata.csv,semantic_title,Short semantic title used for display and summaries.
data_intermediate/country_metadata.csv,iso3,ISO 3166-1 alpha-3 country code.
data_intermediate/country_metadata.csv,country_name,Country name.
data_intermediate/country_metadata.csv,income_level,World Bank analytical income group.
data_intermediate/country_metadata.csv,region,World Bank region.
data_intermediate/country_occupation_panel.parquet,iso3,ISO 3166-1 alpha-3 country code.
data_intermediate/country_occupation_panel.parquet,onet_soc_code,U.S. SOC occupation code from O*NET.
