file,column,type,description
data_intermediate/task_country_labels_analysis.parquet,item_id,string,Unique task-country item identifier from the labelling pipeline.
data_intermediate/task_country_labels_analysis.parquet,task_id,string,Stable O*NET task identifier used in the paper.
data_intermediate/task_country_labels_analysis.parquet,iso3,string,ISO 3166-1 alpha-3 country code.
data_intermediate/task_country_labels_analysis.parquet,country_name,string,Country name used in the analysis.
data_intermediate/task_country_labels_analysis.parquet,income_level,string,World Bank analytical income group.
data_intermediate/task_country_labels_analysis.parquet,region,string,World Bank region.
data_intermediate/task_country_labels_analysis.parquet,exposure_level,int32,Four-level automation exposure label: 0 no credible margin; 1 assistive-only contact; 2 meaningful partial economic exposure; 3 extensive economic exposure.
data_intermediate/task_country_labels_analysis.parquet,economic_exposed,bool,Indicator equal to TRUE for exposure levels 2 or 3.
data_intermediate/task_country_labels_analysis.parquet,high_exposure,bool,Indicator equal to TRUE for exposure level 3.
data_intermediate/task_country_labels_analysis.parquet,dominant_channel,string,"Dominant technology channel: physical execution, rule-based workflow, planning/control, information transformation, inference/scoring, or none."
data_intermediate/task_country_labels_analysis.parquet,sub_only_share,double,Share/probability mass assigned to substitution-only exposure in retained modal aggregation.
data_intermediate/task_country_labels_analysis.parquet,both_share,double,Share/probability mass assigned to balanced-both exposure in retained modal aggregation.
data_intermediate/task_country_labels_analysis.parquet,aug_only_share,double,Share/probability mass assigned to augmentation-only exposure in retained modal aggregation.
data_intermediate/task_country_labels_analysis.parquet,neither_share,double,Share/probability mass assigned to neither exposed margin.
data_intermediate/task_country_labels_analysis.parquet,margin,string,Dominant labour-margin label for the task-country observation.
data_intermediate/task_country_labels_analysis.parquet,has_material_ai_integration,bool,Indicator for whether contemporary AI/ML is material to the automation route.
data_intermediate/task_country_labels_analysis.parquet,ai_material_share,double,Share/probability mass for AI-material involvement in retained modal aggregation.
data_intermediate/task_country_labels_analysis.parquet,dominant_ai_function,string,Dominant AI function when AI is material.
data_intermediate/task_metadata.csv,task_id,numeric,Stable O*NET task identifier used in the paper.
data_intermediate/task_metadata.csv,canonical_onet_task_code,character,Canonical O*NET task code after standardisation.
data_intermediate/task_metadata.csv,onet_task_code,character,Original O*NET task code.
data_intermediate/task_metadata.csv,task_label,character,O*NET task statement.
data_intermediate/task_metadata.csv,semantic_title,character,Short semantic title used for display and summaries.
data_intermediate/country_metadata.csv,iso3,character,ISO 3166-1 alpha-3 country code.
data_intermediate/country_metadata.csv,iso2,character,
data_intermediate/country_metadata.csv,country_name,character,Country name.
data_intermediate/country_metadata.csv,region,character,World Bank region.
data_intermediate/country_metadata.csv,income_level,character,World Bank analytical income group.
data_intermediate/country_metadata.csv,gdp,numeric,
data_intermediate/country_metadata.csv,gdp_year,numeric,
data_intermediate/country_metadata.csv,population,numeric,
data_intermediate/country_metadata.csv,population_year,numeric,
data_intermediate/country_metadata.csv,gdp_rank,numeric,
data_intermediate/country_metadata.csv,population_rank,numeric,
data_intermediate/country_metadata.csv,in_top95_gdp,logical,
data_intermediate/country_metadata.csv,in_top95_population,logical,
data_intermediate/country_metadata.csv,inclusion_source,character,
data_intermediate/country_metadata.csv,tranche,character,
data_intermediate/country_occupation_panel.parquet,iso3,string,ISO 3166-1 alpha-3 country code.
data_intermediate/country_occupation_panel.parquet,country_name,string,
data_intermediate/country_occupation_panel.parquet,onet_soc_code,string,U.S. SOC occupation code from O*NET.
data_intermediate/country_occupation_panel.parquet,occupation_title,string,O*NET occupation title.
data_intermediate/country_occupation_panel.parquet,task_count,int32,Number of linked O*NET tasks.
data_intermediate/country_occupation_panel.parquet,mean_exposure,double,Mean exposure level across linked tasks.
data_intermediate/country_occupation_panel.parquet,substitution_share,double,Occupation-level substitution share.
data_intermediate/country_occupation_panel.parquet,augmentation_share,double,Occupation-level augmentation share.
data_intermediate/country_occupation_panel.parquet,sub_only_share,double,Occupation-level substitution-only contribution.
data_intermediate/country_occupation_panel.parquet,both_share,double,Occupation-level balanced-both contribution.
data_intermediate/country_occupation_panel.parquet,aug_only_share,double,Occupation-level augmentation-only contribution.
data_intermediate/country_occupation_panel.parquet,neither_share,double,
data_intermediate/country_industry_panel.parquet,iso3,string,ISO 3166-1 alpha-3 country code.
data_intermediate/country_industry_panel.parquet,country_name,string,
data_intermediate/country_industry_panel.parquet,isic2_code,string,Two-digit ISIC Rev. 4 division.
data_intermediate/country_industry_panel.parquet,isic4_code,string,Four-digit ISIC Rev. 4 class.
data_intermediate/country_industry_panel.parquet,isic4_code_raw,int32,
data_intermediate/country_industry_panel.parquet,activity_description,string,ISIC activity description.
data_intermediate/country_industry_panel.parquet,isic2_from_isic4,int32,
data_intermediate/country_industry_panel.parquet,matched_tasks,int32,Number of retained task links to the ISIC class.
data_intermediate/country_industry_panel.parquet,weighted_exposure,double,Task-weighted exposure level for the ISIC class.
data_intermediate/country_industry_panel.parquet,weight_sum,double,
data_intermediate/country_industry_panel.parquet,mean_task_weight,double,
