region,income_level,countries,ai_material_share_exposed,learned_content_transformation,learned_state_inference,learned_recommendation_decision,learned_adaptive_control
East Asia & Pacific,Lower middle income,6,0.5587072824544165,0.5626123661377316,0.23864613460486203,0.1694676776362073,0.029273821621199094
East Asia & Pacific,Upper middle income,4,0.6962630615738827,0.46339946865637893,0.2608671075688203,0.2123113447515686,0.06342207902323216
East Asia & Pacific,High income,6,0.7386727303351861,0.4367151489486457,0.25830252292457284,0.21473361890646123,0.09024870922032022
Europe & Central Asia,Lower middle income,3,0.49940560647313725,0.5823542962451048,0.2431083467710973,0.15326729632189204,0.02127006066190586
Europe & Central Asia,Upper middle income,7,0.6483688059824143,0.49990946949121856,0.25203693644758285,0.20275212746695637,0.04530146659424226
Europe & Central Asia,High income,24,0.7197291502784076,0.4549892632580547,0.25263703811650545,0.2143019403285743,0.07807175829686555
Latin America & Caribbean,Lower middle income,4,0.5361337845908819,0.6170318108676817,0.218591409827949,0.149275900482733,0.01510087882163634
Latin America & Caribbean,Upper middle income,11,0.6436645381836945,0.5222897225527651,0.24504290098327802,0.19512745036638066,0.037539926097576254
Latin America & Caribbean,High income,3,0.7318514555315061,0.47808460439304823,0.24965938922673048,0.21762536137972285,0.054630645000498454
Latin America & Caribbean,,1,0.5222268383880349,0.5747812251392204,0.24284009546539378,0.15950676213206047,0.022871917263325377
Middle East & North Africa,Low income,3,0.34058839804482155,0.7102626590847549,0.20958570268074736,0.07013268345518549,0.010018954779312212
Middle East & North Africa,Lower middle income,5,0.6365443536620952,0.5272612669398046,0.24974930521731656,0.19121565481477237,0.03177377302810647
Middle East & North Africa,Upper middle income,4,0.535082483177773,0.5371431468992445,0.26246133563206736,0.16408904213782263,0.036306475330865576
Middle East & North Africa,High income,6,0.7162322053530283,0.46025701218982035,0.25633401151164203,0.22087745839636913,0.06253151790216843
North America,High income,2,0.7408027364360831,0.4485214657628451,0.25041752627959524,0.219569702328323,0.08149130562923666
South Asia,Lower middle income,4,0.6166082129739582,0.5549086348978861,0.23611608742386242,0.18317807237549266,0.025797205302758867
Sub-Saharan Africa,Low income,16,0.4079955797953873,0.6806605216023764,0.20754881831287406,0.10331571359923114,0.008474946485518326
Sub-Saharan Africa,Lower middle income,13,0.49381131713401616,0.6158404779831443,0.22862069803026255,0.1385859665314648,0.01695285745512836
Sub-Saharan Africa,Upper middle income,1,0.6778660985003687,0.48500967117988397,0.2526595744680851,0.2090183752417795,0.053312379110251454
Sub-Saharan Africa,,1,0.4153398058252427,0.6339410939691444,0.24029920523609163,0.11266947171575503,0.013090229079008883
