region,income_level,countries,exposed_share,physical_execution,rule_based_workflow,planning_control,informational_transformation,inference_scoring,ai_material_share_exposed
East Asia & Pacific,Lower middle income,6,0.3200075468533814,0.15772464242821269,0.3765476580412709,0.11435746260508789,0.2736761655202533,0.07769407140517524,0.5587072824544165
East Asia & Pacific,Upper middle income,4,0.5326729559748428,0.22521990672412776,0.2742979711513863,0.14164551232855147,0.2671153354192495,0.09170159592262432,0.6962630615738827
East Asia & Pacific,High income,6,0.5808548107564153,0.24005630549339493,0.25027069948747566,0.14935393055655816,0.269640751702399,0.09066628167184003,0.7386727303351861
Europe & Central Asia,Lower middle income,3,0.36444314005003287,0.14994056064731373,0.39494573762319285,0.11228285462284772,0.26640334394293824,0.07642750316370749,0.49940560647313725
Europe & Central Asia,Upper middle income,7,0.5102183835068342,0.19663547891011118,0.29785285796461736,0.13901834873155441,0.2768979726001667,0.08959534179355036,0.6483688059824143
Europe & Central Asia,High income,24,0.5663279745911062,0.23182329986272424,0.2583622537905079,0.14860641957028056,0.27164869742260883,0.08955007480758256,0.7197291502784076
Latin America & Caribbean,Lower middle income,4,0.3158987044568362,0.10551463268962771,0.406397239365585,0.10933041343154822,0.3030061716105913,0.07575154290264782,0.5361337845908819
Latin America & Caribbean,Upper middle income,11,0.4727712110874363,0.17499516253869968,0.31507191692466463,0.13229650412796698,0.28753063725490197,0.09010577915376677,0.6436645381836945
Latin America & Caribbean,High income,3,0.5746649336855199,0.20027238016488727,0.2580315669155378,0.15311656411877722,0.29417057807826064,0.09440891072253703,0.7318514555315061
Latin America & Caribbean,,1,0.40367280197895267,0.18695471541337766,0.35230577482343167,0.12266306605733278,0.26225592023265476,0.07582052347320316,0.5222268383880349
Middle East & North Africa,Low income,3,0.15153802076782244,0.14285714285714285,0.4808632297334686,0.07995942082449507,0.24513511020935166,0.051185096375541826,0.34058839804482155
Middle East & North Africa,Lower middle income,5,0.45978784956605595,0.17528085789320105,0.3196855850598191,0.1318937846512985,0.2847971987160782,0.08834257367960315,0.6365443536620952
Middle East & North Africa,Upper middle income,4,0.3863150392017106,0.18688951595398307,0.3558443672672021,0.12434881701758194,0.25187215107445193,0.08104514868678099,0.535082483177773
Middle East & North Africa,High income,6,0.5610949216265889,0.2145819581273119,0.26765141796714453,0.15065200333785855,0.2748502322800812,0.09226438828760385,0.7162322053530283
North America,High income,2,0.5761215932914047,0.22706597285397184,0.25144645391361303,0.15388814089734726,0.27404388486590736,0.0935555474691605,0.7408027364360831
South Asia,Lower middle income,4,0.3795543163808645,0.15127999779072657,0.34947943994918673,0.12429924608544365,0.29145839661981165,0.0834829195548314,0.6166082129739582
Sub-Saharan Africa,Low income,16,0.14702213743658546,0.07829822122411151,0.5004990553594981,0.08319965779061063,0.27702919473853066,0.060973870887249135,0.4079955797953873
Sub-Saharan Africa,Lower middle income,13,0.2689075088208165,0.11846050516922929,0.42369689846242414,0.10763031015375758,0.2786586389695123,0.07155364724507664,0.49381131713401616
Sub-Saharan Africa,Upper middle income,1,0.5116347322963398,0.21552077358026714,0.28419241170204046,0.13676964680816192,0.275751864295665,0.08776530361386545,0.6778660985003687
Sub-Saharan Africa,,1,0.21592386063477423,0.12368932038834951,0.4551456310679612,0.10388349514563107,0.25223300970873785,0.06504854368932039,0.4153398058252427
