iso3,country_name,n,pearson,spearman
RWA,Rwanda,923,0.5919791483095826,0.6084843488596762
MWI,Malawi,923,0.5555275990038944,0.5823317045735721
TGO,Togo,923,0.5151126082274444,0.5324413859472632
SLE,Sierra Leone,923,0.5133544204953513,0.5310212809400757
BEN,Benin,923,0.5111775283997526,0.5219147741524883
HTI,Haiti,923,0.5040832721019026,0.5231544600762602
BDI,Burundi,923,0.48108805057411835,0.5026928412120579
BOL,Bolivia,923,0.4701522416992511,0.4794020638853588
LKA,Sri Lanka,923,0.4673333001987736,0.4768406492818504
ZWE,Zimbabwe,923,0.4628659719450662,0.46875446567771495
SOM,"Somalia, Fed. Rep.",923,0.4625309700246545,0.4646832813645026
NIC,Nicaragua,923,0.4563706772509468,0.46676237152715766
SEN,Senegal,923,0.454878398324945,0.46155800914291983
SLV,El Salvador,923,0.44214348764135125,0.4568706675129716
GTM,Guatemala,923,0.44085301059614557,0.45360630100237564
BFA,Burkina Faso,923,0.4388306647671616,0.4449921268664648
ECU,Ecuador,923,0.4362740782764788,0.450324000007258
COG,"Congo, Rep.",923,0.433032173793086,0.4353546931107672
NPL,Nepal,923,0.42588315588539416,0.41741061420825637
KGZ,Kyrgyz Republic,923,0.4244252246213037,0.4339139283859842
TJK,Tajikistan,923,0.4238634995457432,0.4300652230471967
PRY,Paraguay,923,0.4205823945126564,0.4374564543943267
HND,Honduras,923,0.4139177024178421,0.4293814175209832
JOR,Jordan,923,0.4112935491436448,0.4242773503563321
DOM,Dominican Republic,923,0.4094990502401198,0.42006296414703964
UGA,Uganda,923,0.40686577471781216,0.4003839664464465
GIN,Guinea,923,0.398790867187637,0.400557639886162
TUN,Tunisia,923,0.39244740962251834,0.405995158449211
KHM,Cambodia,923,0.3917085698298382,0.4026699091552359
LAO,Lao PDR,923,0.3892659395742274,0.39730303516717114
GHA,Ghana,923,0.3879970258419355,0.38860038884935033
CUB,Cuba,923,0.3849891867285936,0.38108926705131163
KEN,Kenya,923,0.38398009292711976,0.39348000109541986
PNG,Papua New Guinea,923,0.37718118193586614,0.3742884503307186
TCD,Chad,923,0.373491516249932,0.36284965725675583
BGD,Bangladesh,923,0.3693916351527198,0.3777379258509559
NGA,Nigeria,923,0.36634150034364676,0.3754499559608401
PAK,Pakistan,923,0.36439435056272224,0.37239407406605046
CRI,Costa Rica,923,0.36227236955640146,0.3782105559035425
PHL,Philippines,923,0.3558749107626162,0.373231813226162
SSD,South Sudan,923,0.3536177548896746,0.3581132911697362
TZA,Tanzania,923,0.35174809931185275,0.35089477995575985
IND,India,923,0.35146795249668283,0.3617244963895934
PRI,Puerto Rico (US),923,0.34740680767679843,0.3581498499119493
OMN,Oman,923,0.3402964448980359,0.35479759132284505
SRB,Serbia,923,0.3349270854918446,0.35020627675762284
AZE,Azerbaijan,923,0.3279880159508754,0.34447627464728264
BGR,Bulgaria,923,0.3278231608268245,0.34276578712497147
CIV,Cote d'Ivoire,923,0.31666694042167076,0.32620786043937794
KWT,Kuwait,923,0.31587104973106017,0.33185389503595736
LBY,Libya,923,0.3146380402558385,0.31999019048787486
CMR,Cameroon,923,0.31416637844707485,0.31243582031012024
PER,Peru,923,0.3086418915465934,0.3248912244612155
ZMB,Zambia,923,0.30653453399421804,0.30937194389500877
HRV,Croatia,923,0.3058470513502418,0.3294107356942241
ETH,Ethiopia,923,0.29938923696954717,0.3003659327962801
BLR,Belarus,923,0.29432863707611834,0.3089909918522565
