external,income_level,value,weighting
Eloundou DV gamma,High income,0.29747055704828534,Structural (equal weight within ISCO-major subset)
Eloundou DV gamma,Low income,0.11183923038361823,Structural (equal weight within ISCO-major subset)
Eloundou DV gamma,Lower middle income,0.2043042633320948,Structural (equal weight within ISCO-major subset)
Eloundou DV gamma,Not classified,0.1481657685311213,Structural (equal weight within ISCO-major subset)
Eloundou DV gamma,Upper middle income,0.2698031024018939,Structural (equal weight within ISCO-major subset)
Felten AIOE,High income,0.47566667146718017,Structural (equal weight within ISCO-major subset)
Felten AIOE,Low income,0.07519807464360995,Structural (equal weight within ISCO-major subset)
Felten AIOE,Lower middle income,0.22337655769553036,Structural (equal weight within ISCO-major subset)
Felten AIOE,Not classified,0.10624809670124447,Structural (equal weight within ISCO-major subset)
Felten AIOE,Upper middle income,0.3712834486266684,Structural (equal weight within ISCO-major subset)
Frey-Osborne,High income,1.643592546926482,Structural (equal weight within ISCO-major subset)
Frey-Osborne,Low income,0.585544033453633,Structural (equal weight within ISCO-major subset)
Frey-Osborne,Lower middle income,1.0312469276220233,Structural (equal weight within ISCO-major subset)
Frey-Osborne,Not classified,0.7854289438073857,Structural (equal weight within ISCO-major subset)
Frey-Osborne,Upper middle income,1.3908255741720543,Structural (equal weight within ISCO-major subset)
Webb Robot,High income,0.40865247326967474,Structural (equal weight within ISCO-major subset)
Webb Robot,Low income,0.14721642211584446,Structural (equal weight within ISCO-major subset)
Webb Robot,Lower middle income,0.26163948054091346,Structural (equal weight within ISCO-major subset)
Webb Robot,Not classified,0.22045012426902041,Structural (equal weight within ISCO-major subset)
Webb Robot,Upper middle income,0.34868822372480796,Structural (equal weight within ISCO-major subset)
Eloundou DV gamma,High income,0.34308435268099124,Employment-weighted (ILOSTAT country shares)
Eloundou DV gamma,Low income,0.13416956694934157,Employment-weighted (ILOSTAT country shares)
Eloundou DV gamma,Lower middle income,0.23496857997696718,Employment-weighted (ILOSTAT country shares)
Eloundou DV gamma,Not classified,0.17626087097038357,Employment-weighted (ILOSTAT country shares)
Eloundou DV gamma,Upper middle income,0.3092523092225298,Employment-weighted (ILOSTAT country shares)
Felten AIOE,High income,0.4905416023623037,Employment-weighted (ILOSTAT country shares)
Felten AIOE,Low income,0.08833910735636802,Employment-weighted (ILOSTAT country shares)
Felten AIOE,Lower middle income,0.2381532324620667,Employment-weighted (ILOSTAT country shares)
Felten AIOE,Not classified,0.11808287804456061,Employment-weighted (ILOSTAT country shares)
Felten AIOE,Upper middle income,0.38885761892424453,Employment-weighted (ILOSTAT country shares)
Frey-Osborne,High income,1.6186430282196085,Employment-weighted (ILOSTAT country shares)
Frey-Osborne,Low income,0.5269342816480062,Employment-weighted (ILOSTAT country shares)
Frey-Osborne,Lower middle income,0.9835688041746254,Employment-weighted (ILOSTAT country shares)
Frey-Osborne,Not classified,0.7387493494415477,Employment-weighted (ILOSTAT country shares)
Frey-Osborne,Upper middle income,1.3775916950541607,Employment-weighted (ILOSTAT country shares)
Webb Robot,High income,0.5279569823004383,Employment-weighted (ILOSTAT country shares)
Webb Robot,Low income,0.1884930520202721,Employment-weighted (ILOSTAT country shares)
Webb Robot,Lower middle income,0.35687323871400856,Employment-weighted (ILOSTAT country shares)
Webb Robot,Not classified,0.27247286723036723,Employment-weighted (ILOSTAT country shares)
Webb Robot,Upper middle income,0.47392105759628456,Employment-weighted (ILOSTAT country shares)
