onet_soc_code,n_tasks,mean_exposure,ai_material_share,rule_based_share,info_transformation_share,inference_scoring_share,physical_execution_share,planning_control_share,software_like_share,llm_like_share
11-1011.00,31,0.8709677419354839,0.2580645161290322,0.0,0.2903225806451613,0.0,0.0,0.1935483870967742,0.2903225806451613,0.2903225806451613
11-1011.03,18,1.5,0.6666666666666666,0.0,0.6111111111111112,0.0555555555555555,0.0,0.1111111111111111,0.6111111111111112,0.6666666666666666
11-1021.00,17,1.8235294117647056,0.8235294117647058,0.0588235294117647,0.1764705882352941,0.0,0.0588235294117647,0.5294117647058824,0.2352941176470588,0.1764705882352941
11-1031.00,30,0.9666666666666668,0.4,0.0333333333333333,0.3333333333333333,0.0666666666666666,0.0,0.0333333333333333,0.3666666666666666,0.4
11-2011.00,30,1.4333333333333331,0.5666666666666667,0.1,0.4,0.0333333333333333,0.0,0.1333333333333333,0.5,0.4333333333333333
11-2021.00,20,1.65,0.65,0.0,0.55,0.05,0.0,0.2,0.55,0.6
11-2022.00,17,1.5294117647058822,0.6470588235294118,0.2352941176470588,0.1764705882352941,0.1176470588235294,0.0,0.2352941176470588,0.4117647058823529,0.2941176470588235
11-2032.00,20,1.75,0.75,0.1,0.6,0.0,0.0,0.15,0.7,0.6
11-2033.00,16,1.375,0.5,0.125,0.25,0.0625,0.0,0.1875,0.375,0.3125
11-3012.00,18,1.3888888888888888,0.4444444444444444,0.2222222222222222,0.1666666666666666,0.0,0.0,0.1666666666666666,0.3888888888888889,0.1666666666666666
11-3013.00,11,2.0,0.8181818181818182,0.1818181818181818,0.1818181818181818,0.0909090909090909,0.0,0.5454545454545454,0.3636363636363636,0.2727272727272727
11-3013.01,28,1.5,0.6071428571428571,0.25,0.2142857142857142,0.1785714285714285,0.0,0.1785714285714285,0.4642857142857143,0.3928571428571428
11-3021.00,17,1.7647058823529411,0.7647058823529411,0.0588235294117647,0.2941176470588235,0.0588235294117647,0.0,0.4117647058823529,0.3529411764705882,0.3529411764705882
11-3031.00,17,1.6470588235294117,0.6470588235294118,0.0588235294117647,0.4117647058823529,0.1176470588235294,0.0,0.1176470588235294,0.4705882352941176,0.5294117647058824
11-3031.01,22,1.7727272727272727,0.5,0.2272727272727272,0.3636363636363636,0.0454545454545454,0.0454545454545454,0.0909090909090909,0.5909090909090909,0.4090909090909091
11-3031.03,20,1.95,0.75,0.05,0.5,0.05,0.0,0.3,0.55,0.55
11-3051.00,21,1.8095238095238095,0.7142857142857143,0.0952380952380952,0.238095238095238,0.1428571428571428,0.0,0.2857142857142857,0.3333333333333333,0.3809523809523809
11-3051.01,27,1.7777777777777777,0.7407407407407407,0.1481481481481481,0.4444444444444444,0.1481481481481481,0.037037037037037,0.1851851851851851,0.5925925925925926,0.5925925925925926
11-3051.02,17,1.5294117647058822,0.5294117647058824,0.0588235294117647,0.1764705882352941,0.1176470588235294,0.1176470588235294,0.2352941176470588,0.2352941176470588,0.2941176470588235
11-3051.03,14,1.5714285714285714,0.5714285714285714,0.0714285714285714,0.1428571428571428,0.1428571428571428,0.0714285714285714,0.3571428571428571,0.2142857142857142,0.2857142857142857
11-3051.04,19,1.8421052631578947,0.631578947368421,0.1578947368421052,0.1578947368421052,0.0526315789473684,0.1052631578947368,0.5263157894736842,0.3157894736842105,0.2105263157894736
