iso3,pizzinelli_employment_weighted,coverage,n_isco_covered,ilostat_year,atlas_ai_mat_mean,country_name,income_level,atlas_pred_from_mech,residual
AFG,-0.5802114476539402,0.9717650416568221,9.0,2021.0,0.049422780230887906,Afghanistan,Low income,0.16982670272379347,-0.12040392249290556
AGO,-0.4910497413855606,0.9889893647755387,9.0,2024.0,0.13342554662978134,Angola,Lower middle income,0.21062993428738286,-0.07720438765760151
ARE,-0.2959697482490087,1.0,9.0,2024.0,0.4185601021657,United Arab Emirates,High income,0.29990474144971585,0.11865536071598415
ARG,-0.2641704711657783,1.0,9.0,2024.0,0.36426519101841015,Argentina,Upper middle income,0.31445710165776564,0.049808089360644514
AUS,0.04539641052195669,0.9995864651800768,9.0,2024.0,0.44360502234517984,Australia,High income,0.45612474897602395,-0.012519726630844108
AUT,-0.02443729116831749,0.9974360905069631,9.0,2024.0,0.424801830079268,Austria,High income,0.42416662681499245,0.000635203264275519
BDI,-0.577627552111653,0.9995348894484302,9.0,2020.0,0.03489918604032558,Burundi,Low income,0.1710091754753884,-0.13610998943506283
BEL,0.04133313418540481,0.9959694584743454,9.0,2024.0,0.43346634743282786,Belgium,High income,0.4542652645380733,-0.02079891710524545
BEN,-0.5591739977796408,0.9985009344359058,9.0,2022.0,0.11682715326913869,Benin,Lower middle income,0.17945410864337785,-0.06262695537423917
BFA,-0.4752934348233295,0.99768976218984,9.0,2024.0,0.05979677608128957,Burkina Faso,Low income,0.2178405211205963,-0.15804374503930674
BGD,-0.589646092406966,0.998326662956505,9.0,2024.0,0.18572112571154972,Bangladesh,Lower middle income,0.1655091093231113,0.02021201638843842
BLR,-0.147834239110971,0.9999999999999999,9.0,2024.0,0.3854338458264617,Belarus,Upper middle income,0.36769626019831075,0.01773758562815092
BOL,-0.4889694835802321,0.9992233165103209,9.0,2024.0,0.20466031813587274,Bolivia,Lower middle income,0.21158192639806866,-0.006921608262195927
BRA,-0.3111877287808746,0.9918787746096901,9.0,2025.0,0.393699111276675,Brazil,Upper middle income,0.2929405097233415,0.1007586015533335
CHL,-0.2443044329644038,1.0,9.0,2025.0,0.3901154439538224,Chile,High income,0.32354843235237873,0.06656701160144368
CIV,-0.5161039217092586,0.9929394874497423,9.0,2022.0,0.14491674203330318,Cote d'Ivoire,Lower middle income,0.19916434480767234,-0.05424760277436916
CMR,-0.2705132570249023,0.9917948450746367,9.0,2021.0,0.10991115603553758,Cameroon,Lower middle income,0.31155444118838116,-0.20164328515284358
COD,-0.4571077313668113,0.9995316594150134,9.0,2020.0,0.03920838431664627,"Congo, Dem. Rep.",Low income,0.2261628772120054,-0.18695449289535912
COL,-0.38826168829650587,0.9991977490134181,9.0,2025.0,0.34462946214821516,Colombia,Upper middle income,0.2576690153872767,0.08696044676093845
CRI,-0.3533711378940697,1.0,9.0,2025.0,0.4489546204181518,Costa Rica,High income,0.27363604054902574,0.17531857986912608
CZE,-0.14403668888733534,0.9990896338043792,9.0,2024.0,0.4135234345906262,Czechia,High income,0.36943413991859064,0.04408929467203554
DNK,0.018557946844116838,0.9956500378156001,9.0,2024.0,0.4524126190349524,Denmark,High income,0.4438426147045957,0.008570004330356706
DOM,-0.4142551888996693,0.9918872767464124,9.0,2025.0,0.3304782678086929,Dominican Republic,Upper middle income,0.24577356308327214,0.08470470472542074
ECU,-0.5637581457583952,0.9962368115176601,9.0,2025.0,0.3538330584667766,Ecuador,Upper middle income,0.17735625678154993,0.17647680168522667
EGY,-0.38841318283916454,0.9999999999999999,9.0,2024.0,0.31281587487365003,"Egypt, Arab Rep.",Lower middle income,0.2575996866679932,0.055216188205656824
ESP,-0.13716535609724764,0.9956933300325687,9.0,2025.0,0.4224303043200681,Spain,High income,0.3725786802680149,0.049851624052053234
