iso3,mean_task_exposure_old,substitution_share_old,augmentation_share_old,n_country_task_rows,n_unique_tasks,mean_task_exposure_clean,share_exposed_clean,substitution_share_clean,both_share_clean,augmentation_share_clean,level1_augment_share,economic_exposed_flag_mismatch_share,mean_task_exposure_delta_clean_minus_old,substitution_share_delta_clean_minus_old,augmentation_share_delta_clean_minus_old
AFG,0.4536497421491761,0.0646513773007421,0.0049893086243763,18797,18797,0.456189817524073,0.13704314518274194,0.06830877267649092,0.06383997446401021,0.004894398042240783,0.0,0.0,0.002540075374896922,0.0036573953757488287,-9.491058213551701e-05
AGO,0.8626472684583456,0.112657750199153,0.011865330594105,18797,18797,0.8592328563068575,0.2916422833430867,0.11767835292865883,0.16220673511730596,0.01175719529712188,0.0,0.0,-0.0034144121514880776,0.00502060272950583,-0.00010813529698311918
ARE,1.511931222478507,0.2071293772279303,0.050199203187251,18793,18793,1.5056137923694992,0.555206725908583,0.21215346139520033,0.2931410631618156,0.04991220135156707,0.00021284520832224764,0.0,-0.006317430109007871,0.005024084167270043,-0.00028700183568392684
ARG,1.4174773565917478,0.1846276417309627,0.0453287487420328,18794,18794,1.408587847185272,0.5133021176971374,0.18963498989039054,0.2801425987017133,0.04352452910503352,0.00010641694157709908,0.0,-0.008889509406475815,0.005007348159427855,-0.0018042196369992755
AUS,1.5743815513626835,0.2058700209643605,0.0561844863731656,18796,18796,1.567993190040434,0.5708661417322834,0.21121515216003406,0.3053309214726538,0.05432006809959566,0.0002660140455416046,0.0,-0.006388361322249514,0.005345131195673564,-0.001864418273569944
AUT,1.5455955725126829,0.2012913504674856,0.0562240576915014,18797,18797,1.536787785284886,0.5617917752832899,0.20593711762515296,0.30100547959780816,0.054849178060328775,0.00026599989360004254,0.0,-0.00880778722779696,0.0046457671576673465,-0.0013748796311726236
AZE,1.3619135466018195,0.1830111944991824,0.0823864827470546,18797,18797,1.3544714582114168,0.5379049848380061,0.18737032505186998,0.2789274884290046,0.07160717135713146,0.00962919614832154,0.0,-0.0074420883904027235,0.004359130552687579,-0.010779311389923135
BDI,0.3763364219529579,0.0427655024946543,0.0064986793006582,18797,18797,0.3825078469968612,0.09427036229185508,0.046017981592807365,0.042719582912166834,0.005532797786880885,0.0011171995531201787,0.0,0.006171425043903278,0.0032524790981530646,-0.000965881513777315
BEL,1.5681637103199564,0.2085796955591898,0.0562334884891181,18795,18795,1.5572758712423518,0.5699920191540303,0.21292897047086992,0.3031125299281724,0.053950518754988026,0.00042564511838254855,0.0,-0.0108878390776046,0.004349274911680134,-0.002282969734130072
BEN,0.7201794474026246,0.0823445557838245,0.0257850823864827,18797,18797,0.7209129116348354,0.2461563015374794,0.08676916529233389,0.13661754535298185,0.022769590892163644,0.0034047986380805447,0.0,0.0007334642322107676,0.004424609508509383,-0.0030154914943190565
