spec,outcome,n
main68,share_exposed,68
main68,substitution_share,68
main68,both_share,68
main68,augmentation_share,68
main68,substitution_within_exposed,68
main68,both_within_exposed,68
main68,augmentation_within_exposed,68
lean90,share_exposed,90
lean90,substitution_share,90
lean90,both_share,90
lean90,augmentation_share,90
lean90,substitution_within_exposed,90
lean90,both_within_exposed,90
lean90,augmentation_within_exposed,90
minimal118,share_exposed,118
minimal118,substitution_share,118
minimal118,both_share,118
minimal118,augmentation_share,118
minimal118,substitution_within_exposed,118
minimal118,both_within_exposed,118
minimal118,augmentation_within_exposed,118
