spec,outcome,variable,mean_abs_shap,mean_abs_shap_sd,mean_shap,median_shap,median_ale_delta,ale_delta_sd,positive_ale_share,negative_ale_share,mean_abs_shap_ci,direction_flag,mean_abs_shap_share
main68,share_exposed,barro_lee_years_schooling_15_64,0.012618911260561649,0.0013961945396046354,0.00014121666389000343,0.007537988146094248,0.035635456347828665,0.0032559867838502887,1.0,0.0,0.0027365412976250855,positive,0.12892876046042814
main68,share_exposed,goods_trade_openness,0.0010242026345054285,9.836681472220651e-05,0.00019200741968735424,0.000645387800083717,0.003826711492563627,0.0008933019434832797,1.0,0.0,0.00019279895685552477,positive,0.010464387410329765
main68,share_exposed,gross_fixed_capital_formation_pct_gdp,0.0004199742939209997,6.989039155818895e-05,-0.00010971038823067492,-0.00021494332787839825,0.00022152034195899867,0.0004445757759422317,0.8,0.2,0.00013698516745405033,positive,0.004290922094816921
main68,share_exposed,internet_users_pct,0.021146669162319078,0.0010852116743522784,0.0004960850540054911,0.016188370298915587,0.06951218663873913,0.0028748000518555444,1.0,0.0,0.0021270148817304655,positive,0.21605777128218037
main68,share_exposed,log_gdp_per_capita,0.030112956085299014,0.0009226048153974304,0.00024503863623737235,0.019494325852319517,0.11669089830437873,0.003078750142095181,1.0,0.0,0.0018083054381789635,positive,0.3076672798239575
main68,share_exposed,pwt_human_capital_index,0.008750662102059348,0.0006971025114002225,0.0006934751523021854,0.00454767620148124,0.04985074978021216,0.0023432999497419783,1.0,0.0,0.0013663209223444361,positive,0.08940644677901803
main68,share_exposed,pwt_log_real_capital_stock_per_worker,0.0009736297706475517,7.206626282899903e-05,-0.0003238075246544107,-0.000542446152818798,-0.0013207156089524265,0.0005099746284611118,0.0,1.0,0.00014124987514483808,negative,0.009947679073493436
main68,share_exposed,wgi_government_effectiveness_score,0.012184852307904087,0.0011513281870817174,-0.0006951176888261216,0.0010813604955798302,0.04675038046449469,0.0029690354518722806,1.0,0.0,0.002256603246680166,positive,0.12449393390706348
main68,share_exposed,wgi_regulatory_quality_score,0.010643210874073798,0.0006023484531022002,-0.0009235007802442533,0.001348121173551749,0.03396499211267512,0.0017023947521150266,1.0,0.0,0.0011806029680803125,positive,0.10874281916871245
main68,substitution_share,barro_lee_years_schooling_15_64,0.005619142751036158,0.0004531540010350237,0.00038515217568223773,0.003644807054194698,0.015835914317998568,0.0010411792497839933,1.0,0.0,0.0008881818420286464,positive,0.13795057778057693
main68,substitution_share,goods_trade_openness,0.00027884312087758195,2.5132077119301768e-05,0.00011887703538569145,0.0001423392293833248,0.0004861651001811518,0.0003958389041690802,0.8,0.2,4.925887115383147e-05,positive,0.006845629545202162
