spec,outcome,n_variables,rank_spearman_perm_vs_shap,perm_top3,shap_top3,top3_overlap
lean90,augmentation_share,6,0.942857142857143,log_gdp_per_capita; wgi_regulatory_quality_score; internet_users_pct,log_gdp_per_capita; internet_users_pct; wgi_regulatory_quality_score,3
lean90,augmentation_within_exposed,6,0.942857142857143,log_gdp_per_capita; wgi_regulatory_quality_score; wgi_government_effectiveness_score,log_gdp_per_capita; wgi_regulatory_quality_score; internet_users_pct,2
lean90,both_share,6,0.942857142857143,log_gdp_per_capita; internet_users_pct; wgi_government_effectiveness_score,log_gdp_per_capita; internet_users_pct; wgi_government_effectiveness_score,3
lean90,both_within_exposed,6,0.942857142857143,log_gdp_per_capita; barro_lee_years_schooling_15_64; wgi_government_effectiveness_score,log_gdp_per_capita; barro_lee_years_schooling_15_64; wgi_government_effectiveness_score,3
lean90,share_exposed,6,1.0,log_gdp_per_capita; internet_users_pct; wgi_government_effectiveness_score,log_gdp_per_capita; internet_users_pct; wgi_government_effectiveness_score,3
lean90,substitution_share,6,0.942857142857143,internet_users_pct; log_gdp_per_capita; barro_lee_years_schooling_15_64,internet_users_pct; log_gdp_per_capita; barro_lee_years_schooling_15_64,3
lean90,substitution_within_exposed,6,1.0,log_gdp_per_capita; wgi_government_effectiveness_score; internet_users_pct,log_gdp_per_capita; wgi_government_effectiveness_score; internet_users_pct,3
main68,augmentation_share,9,0.9833333333333333,pwt_log_real_capital_stock_per_worker; log_gdp_per_capita; wgi_regulatory_quality_score,log_gdp_per_capita; pwt_log_real_capital_stock_per_worker; wgi_regulatory_quality_score,3
main68,augmentation_within_exposed,9,0.8333333333333333,pwt_log_real_capital_stock_per_worker; wgi_regulatory_quality_score; internet_users_pct,pwt_log_real_capital_stock_per_worker; wgi_regulatory_quality_score; gross_fixed_capital_formation_pct_gdp,2
main68,both_share,9,0.9333333333333332,log_gdp_per_capita; internet_users_pct; wgi_government_effectiveness_score,log_gdp_per_capita; internet_users_pct; wgi_government_effectiveness_score,3
main68,both_within_exposed,9,0.9500000000000001,pwt_log_real_capital_stock_per_worker; log_gdp_per_capita; wgi_regulatory_quality_score,pwt_log_real_capital_stock_per_worker; log_gdp_per_capita; wgi_regulatory_quality_score,3
main68,share_exposed,9,0.9500000000000001,log_gdp_per_capita; internet_users_pct; wgi_government_effectiveness_score,log_gdp_per_capita; internet_users_pct; barro_lee_years_schooling_15_64,2
main68,substitution_share,9,0.9833333333333333,log_gdp_per_capita; internet_users_pct; barro_lee_years_schooling_15_64,log_gdp_per_capita; internet_users_pct; barro_lee_years_schooling_15_64,3
main68,substitution_within_exposed,9,0.8833333333333333,wgi_regulatory_quality_score; log_gdp_per_capita; internet_users_pct,log_gdp_per_capita; internet_users_pct; wgi_regulatory_quality_score,3
minimal118,augmentation_share,5,0.8999999999999998,log_gdp_per_capita; wgi_regulatory_quality_score; internet_users_pct,log_gdp_per_capita; internet_users_pct; wgi_regulatory_quality_score,3
minimal118,augmentation_within_exposed,5,0.7,log_gdp_per_capita; wgi_regulatory_quality_score; wgi_government_effectiveness_score,log_gdp_per_capita; internet_users_pct; wgi_regulatory_quality_score,2
minimal118,both_share,5,0.9999999999999999,log_gdp_per_capita; internet_users_pct; wgi_government_effectiveness_score,log_gdp_per_capita; internet_users_pct; wgi_government_effectiveness_score,3
minimal118,both_within_exposed,5,0.9999999999999999,log_gdp_per_capita; wgi_government_effectiveness_score; internet_users_pct,log_gdp_per_capita; wgi_government_effectiveness_score; internet_users_pct,3
minimal118,share_exposed,5,0.9999999999999999,log_gdp_per_capita; internet_users_pct; wgi_government_effectiveness_score,log_gdp_per_capita; internet_users_pct; wgi_government_effectiveness_score,3
minimal118,substitution_share,5,0.7999999999999999,log_gdp_per_capita; internet_users_pct; wgi_government_effectiveness_score,internet_users_pct; log_gdp_per_capita; wgi_regulatory_quality_score,2
minimal118,substitution_within_exposed,5,0.9999999999999999,log_gdp_per_capita; wgi_government_effectiveness_score; internet_users_pct,log_gdp_per_capita; wgi_government_effectiveness_score; internet_users_pct,3
