spec,outcome,variable,permutation_importance_mean,permutation_importance_sd,baseline_r2_mean,baseline_r2_sd,permutation_importance_ci,permutation_importance_share_positive,median_ale_delta,ale_delta_sd,positive_ale_share,negative_ale_share,direction_flag
main68,share_exposed,log_gdp_per_capita,0.24637802416780313,0.03527791047451383,0.9280846409228215,0.0,0.0691447045300471,0.4530701475817334,0.11669089830437873,0.003078750142095181,1.0,0.0,positive
main68,share_exposed,pwt_human_capital_index,0.047049037415207655,0.008032928734908443,0.9280846409228215,0.0,0.01574454032042055,0.0865195440920022,0.04985074978021216,0.0023432999497419783,1.0,0.0,positive
main68,share_exposed,barro_lee_years_schooling_15_64,0.04818100100174817,0.009928627480068862,0.9280846409228215,0.0,0.01946010986093497,0.0886011376551593,0.035635456347828665,0.0032559867838502887,1.0,0.0,positive
main68,share_exposed,pwt_log_real_capital_stock_per_worker,0.002996588925511603,0.0006840965295881637,0.9280846409228215,0.0,0.001340829197992801,0.005510495472593982,-0.0013207156089524265,0.0005099746284611118,0.0,1.0,negative
main68,share_exposed,gross_fixed_capital_formation_pct_gdp,0.0016922039728452275,0.00031479278271653426,0.9280846409228215,0.0,0.0006169938541244072,0.0031118323409932355,0.00022152034195899867,0.0004445757759422317,0.8,0.2,positive
main68,share_exposed,wgi_government_effectiveness_score,0.05083379933107007,0.008936271919676808,0.9280846409228215,0.0,0.017515092962566543,0.09347942878778019,0.04675038046449469,0.0029690354518722806,1.0,0.0,positive
main68,share_exposed,wgi_regulatory_quality_score,0.0323110430975744,0.0070782620491013585,0.9280846409228215,0.0,0.013873393616238662,0.0594175114204477,0.03396499211267512,0.0017023947521150266,1.0,0.0,positive
main68,share_exposed,internet_users_pct,0.11256320759755406,0.01911398396765131,0.9280846409228215,0.0,0.037463408576596566,0.20699504044956013,0.06951218663873913,0.0028748000518555444,1.0,0.0,positive
main68,share_exposed,goods_trade_openness,0.001791734995138179,0.0004704514024368285,0.9280846409228215,0.0,0.0009220847487761838,0.003294862199729806,0.003826711492563627,0.0008933019434832797,1.0,0.0,positive
main68,substitution_share,log_gdp_per_capita,0.2103345335300558,0.031278364145919696,0.9336579708768719,0.0,0.061305593726002604,0.38645068033692886,0.04189191238029374,0.0007524227803486168,1.0,0.0,positive
main68,substitution_share,pwt_human_capital_index,0.03904566251599891,0.006511742400038239,0.9336579708768719,0.0,0.012763015104074947,0.07173916042349614,0.01846520517222297,0.0006409743293027292,1.0,0.0,positive
main68,substitution_share,barro_lee_years_schooling_15_64,0.06491004766309806,0.011954613725530002,0.9336579708768719,0.0,0.023431042902038804,0.11926016930796704,0.015835914317998568,0.0010411792497839933,1.0,0.0,positive
main68,substitution_share,pwt_log_real_capital_stock_per_worker,0.008556463182873765,0.0017139007349210567,0.9336579708768719,0.0,0.0033592454404452713,0.01572091355044627,-0.0031581474011580586,0.00024015026883524281,0.0,1.0,negative
main68,substitution_share,gross_fixed_capital_formation_pct_gdp,0.0030966992622340882,0.0007394039643734259,0.9336579708768719,0.0,0.0014492317701719146,0.005689610339322731,0.0014289560649081755,0.00015232873723749574,1.0,0.0,positive
main68,substitution_share,wgi_government_effectiveness_score,0.042629511083135965,0.009616911604210838,0.9336579708768719,0.0,0.018849146744253243,0.07832381722592623,0.016535936756934565,0.0009230973148289527,1.0,0.0,positive
main68,substitution_share,wgi_regulatory_quality_score,0.02626351395788518,0.006934350706968668,0.9336579708768719,0.0,0.013591327385658589,0.04825433402077473,0.012459512154604483,0.0005314623195994461,1.0,0.0,positive
main68,substitution_share,internet_users_pct,0.14668960938453798,0.02542720717298287,0.9336579708768719,0.0,0.04983732605904643,0.2695149407641735,0.028445542323818088,0.0003896474253490166,1.0,0.0,positive
main68,substitution_share,goods_trade_openness,0.0027466033360212428,0.0007886981681930646,0.9336579708768719,0.0,0.0015458484096584066,0.005046374030964415,0.0004861651001811518,0.0003958389041690802,0.8,0.2,positive
main68,both_share,log_gdp_per_capita,0.247618376160945,0.03739360728414387,0.9228377309790015,0.0,0.07329147027692198,0.44836817229636694,0.06033567802576404,0.0019948507877986443,1.0,0.0,positive
main68,both_share,pwt_human_capital_index,0.051169458099417336,0.008581374273237281,0.9228377309790015,0.0,0.01681949357554507,0.09265369057472185,0.023875962567417044,0.0008369255038227673,1.0,0.0,positive
main68,both_share,barro_lee_years_schooling_15_64,0.03622749216063193,0.007759813405577422,0.9228377309790015,0.0,0.015209234274931748,0.06559793622257598,0.015583209061680306,0.001755017079961121,1.0,0.0,positive
main68,both_share,pwt_log_real_capital_stock_per_worker,0.0017022555127289385,0.0007021993166473323,0.9228377309790015,0.0,0.0013763106606287713,0.0030823124069257538,-0.0017137705928131223,0.0002177192916318364,0.0,1.0,negative
main68,both_share,gross_fixed_capital_formation_pct_gdp,0.0009533123426650692,0.0002399764514062228,0.9228377309790015,0.0,0.00047035384475619665,0.0017261841359886966,-0.0003295218249780331,0.00018692010324371897,0.2,0.8,negative
main68,both_share,wgi_government_effectiveness_score,0.06667700527118163,0.010801765783959501,0.9228377309790015,0.0,0.02117146093656062,0.12073355560737328,0.027844724127259357,0.001988647668500889,1.0,0.0,positive
main68,both_share,wgi_regulatory_quality_score,0.039539170665538456,0.00831688435694782,0.9228377309790015,0.0,0.01630109333961773,0.07159446710004605,0.019565012275664352,0.0008393064075597669,1.0,0.0,positive
main68,both_share,internet_users_pct,0.10723910477761582,0.018912133869424676,0.9228377309790015,0.0,0.037067782384072365,0.19418026300514082,0.0340672144732602,0.0020356489363255164,1.0,0.0,positive
main68,both_share,goods_trade_openness,0.0011395554083365256,0.0003711435047870381,0.9228377309790015,0.0,0.0007274412693825947,0.0020634186508605126,0.002132614594172534,0.0005692029443244469,1.0,0.0,positive
main68,augmentation_share,log_gdp_per_capita,0.16093611061011764,0.026159913289757145,0.7837079729681755,0.0,0.05127343004792401,0.23517233399046358,0.012605260889500942,0.0004074160132258365,1.0,0.0,positive
main68,augmentation_share,pwt_human_capital_index,0.03998570656213202,0.01116012776088356,0.7837079729681755,0.0,0.021873850411331778,0.05843021744980089,0.004938222625053667,0.0003249771111512957,1.0,0.0,positive
main68,augmentation_share,barro_lee_years_schooling_15_64,0.027269285394886364,0.007447648671654798,0.7837079729681755,0.0,0.014597391396443404,0.039847996004473585,0.0026380041313837895,0.0002132480474574508,1.0,0.0,positive
main68,augmentation_share,pwt_log_real_capital_stock_per_worker,0.18098606345619722,0.03217363244123772,0.7837079729681755,0.0,0.06306031958482593,0.2644708810308743,0.005751275823710552,0.00030718125045909385,1.0,0.0,positive
main68,augmentation_share,gross_fixed_capital_formation_pct_gdp,0.026693255529841843,0.006791895808601525,0.7837079729681755,0.0,0.01331211578485899,0.0390062564638747,-0.001795704251982953,0.00020269808984436628,0.0,1.0,negative
main68,augmentation_share,wgi_government_effectiveness_score,0.05060718821165932,0.010539653241663938,0.7837079729681755,0.0,0.02065772035366132,0.07395115069770045,0.004458583967723117,0.00047158731310878514,1.0,0.0,positive
main68,augmentation_share,wgi_regulatory_quality_score,0.10632242552734372,0.020044435860157216,0.7837079729681755,0.0,0.03928709428590814,0.155366579147469,0.006625836867162413,0.0003236832515581821,1.0,0.0,positive
main68,augmentation_share,internet_users_pct,0.0801090254618563,0.01702465036937794,0.7837079729681755,0.0,0.03336831472398076,0.11706152472645773,0.005632872775897526,0.000588859229458618,1.0,0.0,positive
main68,augmentation_share,goods_trade_openness,0.011423606610842461,0.0034240002791074923,0.7837079729681755,0.0,0.006711040547050685,0.01669306048888581,0.0013571395824977389,0.00014913200884637725,1.0,0.0,positive
main68,substitution_within_exposed,log_gdp_per_capita,0.10875536326079688,0.01719019318284196,0.5631238488100059,0.0,0.03369277863837024,0.16649054141305492,-0.00921432775516037,0.0009714945355944686,0.0,1.0,negative
main68,substitution_within_exposed,pwt_human_capital_index,0.07717980161979833,0.012036271201107214,0.5631238488100059,0.0,0.02359109155417014,0.11815239793754925,-0.004506719348032298,0.0014534239012710364,0.0,1.0,negative
main68,substitution_within_exposed,barro_lee_years_schooling_15_64,0.04253533980887956,0.006917502227560347,0.5631238488100059,0.0,0.01355830436601828,0.06511616109438699,0.004286988107532206,0.0008401101497511045,1.0,0.0,positive
main68,substitution_within_exposed,pwt_log_real_capital_stock_per_worker,0.07012700819960224,0.012110707286098529,0.5631238488100059,0.0,0.023736986280753117,0.10735547390735616,-0.006451791643219233,0.0003616205415475377,0.0,1.0,negative
main68,substitution_within_exposed,gross_fixed_capital_formation_pct_gdp,0.02517271780007718,0.006242849051316724,0.5631238488100059,0.0,0.01223598414058078,0.03853620906329715,0.0041913500134693185,0.00016093379412547397,1.0,0.0,positive
main68,substitution_within_exposed,wgi_government_effectiveness_score,0.06556097139773967,0.011516271426845753,0.5631238488100059,0.0,0.022571891996617674,0.10036545597664447,-0.001987627131310708,0.0012761322244807846,0.2,0.8,negative
