nace_r2,atlas_exposure,atlas_ai_material_share,atlas_llm_like_share,atlas_physical_share,ai_any_pct,n_countries
C,1.8942140925832738,0.2847418538951031,0.06906161438286156,0.6576696907101132,11.607826086956523,23
C10-C12,2.280417360264287,0.34283177822633343,0.04719579247745532,0.6571521803230104,7.9368181818181816,22
C10-C18,2.106783053278295,0.2944210134959994,0.07391381562041321,0.6987888539258217,8.977391304347826,23
C13-C15,1.89049675816701,0.24860098302643605,0.09794032098364079,0.7186303214552302,7.91047619047619,21
C16-C18,2.1267162189817634,0.2864913029144122,0.07682316266484233,0.7194446453600639,8.556190476190476,21
C19,2.159082085285716,0.4004685237142865,0.0,0.39196235834615584,33.93866666666666,15
C19-C23,1.995746536543663,0.2840895331390253,0.049127539057893445,0.5511890961697676,14.199130434782608,23
C20,2.015743879554718,0.29969542572870533,0.03125744010628913,0.5247948232207849,15.78,19
C21,1.8302070233239123,0.3768273226691426,0.15465272068887329,0.3471324467045228,24.464736842105264,19
C22_C23,1.9660964371180392,0.16658782761343968,0.02945153010506578,0.7430134141212422,12.157142857142858,21
C24_C25,1.9103099665832013,0.28063007531581563,0.020893685386308335,0.7750762623940668,8.710434782608695,23
C26,1.8451358127953992,0.41026079757510997,0.10506221753872508,0.43556314410165686,27.61315789473684,19
C26-C33,1.5875922658261492,0.2752884444614652,0.08810366731785932,0.6486093607591686,14.946521739130434,23
C27,1.5892289294287658,0.26639005689618084,0.08456894863918256,0.725817462266925,12.899473684210527,19
C27_C28,1.627993985673207,0.27658417146278197,0.07747442588337869,0.699362326868922,13.6875,20
C28,1.667423075870742,0.28743186910908997,0.07014670041360482,0.6732669283119674,13.641578947368421,19
C29_C30,1.6564776077352366,0.29227073571971746,0.06468167025086811,0.7304186587020991,14.273809523809524,21
C31-C33,1.3983475816833468,0.20221287377514796,0.1062198785563921,0.6279022273363242,10.285263157894738,19
D,1.4920031492233239,0.41298077838507075,0.03360245564546376,0.32060509816578137,21.96736842105263,19
D35,1.4920031492233239,0.41298077838507075,0.03360245564546376,0.32060509816578137,21.96736842105263,19
D_E,1.524284535515738,0.4739467471477398,0.15477273574073197,0.33556670238257713,14.09590909090909,22
E,1.5225786448415006,0.48856169134925065,0.18681264731845035,0.33662558527817665,9.967,20
F,1.2933147219791052,0.32575178383541487,0.11360978355407438,0.4680216485453466,5.760434782608696,23
G,1.9655299521853413,0.44949997449651347,0.1358349224351868,0.2725098150711235,12.59695652173913,23
G45,1.7435245777262427,0.43837368764394,0.21848629890307328,0.39094401543955076,8.228,20
G46,2.2565845546141623,0.5716951650190806,0.09933108049092496,0.19238647504045014,14.590952380952382,21
G47,1.8991272580948648,0.3409513827226008,0.08974039299790916,0.23338797802868907,11.489999999999998,23
H,1.9333935427483804,0.4473647002233164,0.10748216947769305,0.2675229077077112,8.849565217391303,23
I,1.6138246654450148,0.32872157780399763,0.05534743852867243,0.28249707227052295,6.465217391304347,23
I55,1.7514065382653483,0.38467653134777796,0.07000109699707167,0.077019513606028,12.116521739130436,23
ICT,1.9918802079548121,0.5601835862308817,0.27902990177251624,0.18584508504821412,45.31782608695652,23
J,1.9529376720499538,0.5720961755749849,0.3268422713926328,0.12179101775544778,46.54304347826087,23
J58-J60,1.8554349165147537,0.5315585677322623,0.315462586371277,0.14410926141403385,32.715,18
J61,1.79353091276542,0.5212904347427845,0.2690629422978561,0.25416263601592304,26.922941176470587,17
J62_J63,2.1523612691140985,0.6511232054073842,0.3760225741993295,0.02775624806369354,48.77428571428571,21
L,1.7494090570869856,0.6308544340180822,0.38839731814173895,0.007393352909544428,13.322608695652175,23
L68,1.7494090570869856,0.6308544340180822,0.38839731814173895,0.007393352909544428,13.322608695652175,23
L_M,1.5357642647517975,0.5072703836060315,0.3439768150957305,0.08046570194884682,23.55391304347826,23
M,1.5052435801324846,0.4896155192614529,0.33763102894630076,0.09090460895446144,26.34695652173913,23
M69-M71,1.692517891469209,0.5536068612079399,0.32665680570823513,0.044919128716030966,23.818571428571428,21
M72,1.1065436695406463,0.425267645170948,0.33382208034058053,0.024265207603517098,36.74666666666667,18
M73-M75,1.4565222541063632,0.4550981677924783,0.35038357265749626,0.16076662839027936,28.285789473684208,19
N,1.870765737297745,0.5346483767725151,0.21559635496131002,0.19828071920636803,14.741304347826087,23
N77-N82_X_N79,1.7990129290491992,0.5307047948822482,0.21139772844760218,0.2357091659707704,13.713636363636363,22
N79,2.2101790305008366,0.5525764111640779,0.23596421902874884,0.012801686544753227,23.567500000000003,20
S951,1.1650015904965645,0.1805650202591096,0.09206477222295599,0.5187587827307868,17.70823529411765,17
