iso3,nace_r2,n_isic2_matched,ai_any_pct,year_used,atlas_exposure,atlas_substitution_share,atlas_augmentation_share,atlas_ai_material_share,atlas_llm_like_share,atlas_physical_share
AUT,C,24,22.71,2024.0,1.9434957006611164,0.4560633635914717,0.01265591167730387,0.32416431823758823,0.07101946498508782,0.6692083749829881
BEL,C,24,23.24,2024.0,1.9993992807285128,0.4912683576430359,0.025452803018128054,0.33853388919064836,0.06829523112097778,0.6682114399347051
BGR,C,24,4.35,2024.0,1.7892618810213774,0.43777740429999107,0.038568090776494805,0.2904873536237414,0.07678126264555157,0.6541913539981691
CZE,C,24,9.55,2024.0,1.9088372009444423,0.4948390286595572,0.02958488122770959,0.27119973564278027,0.0694638255601063,0.6522107982830952
DEU,C,24,16.11,2024.0,1.9935640931294498,0.4794894908595088,0.02685749975590132,0.33597120691176513,0.0657195729298297,0.6699669549935631
DNK,C,24,21.75,2024.0,2.017112176399626,0.503554163978808,0.02953168700695208,0.3359099524128953,0.06276699608451582,0.6722890006408174
GRC,C,24,7.48,2024.0,1.764372007252342,0.4480186885745124,0.018472456436190426,0.228234037638215,0.06311041554449497,0.6480053013083531
ESP,C,24,9.81,2024.0,1.9134086412543787,0.48372310201329843,0.025424128154691864,0.2793631001706249,0.07219235445388265,0.6535748792229521
FIN,C,24,20.75,2024.0,1.982055325731368,0.4891852311626354,0.028381339143031037,0.31699756469601253,0.06104002393771076,0.6638809677608803
FRA,C,24,7.43,2024.0,1.9457335586481663,0.461564682427923,0.017501722773515818,0.31558218847382125,0.0725949692694353,0.654994073430396
HRV,C,24,9.71,2024.0,1.8041020049303669,0.46464645490844586,0.040017072732337323,0.26963688020465587,0.07141200539279903,0.6639209310933513
HUN,C,24,4.83,2024.0,1.8813476362632124,0.47255604369024545,0.011972398809722215,0.23712297265517743,0.06634159849010697,0.651173688301235
IRL,C,24,17.51,2024.0,1.8960358743097976,0.4580209294946151,0.021688575732011568,0.2739593047542288,0.05658071263420369,0.6606662319109061
ITA,C,24,8.03,2024.0,1.8911654416429051,0.43743392223176114,0.02016342570789622,0.3044560919034865,0.07590905495696561,0.6675900652243237
NLD,C,24,18.03,2024.0,2.0025907786989667,0.49253922565471814,0.028276762493907096,0.31805082992147743,0.06764301015793607,0.651580826345314
NOR,C,24,14.73,2024.0,1.9894644765699603,0.4993631426252292,0.027342487446789382,0.30474366970468686,0.06128848216959828,0.67085877750339
POL,C,24,5.13,2024.0,1.855992608545584,0.4712242468088336,0.010144361417585061,0.2521967015657862,0.07283131598408844,0.6524498328676764
PRT,C,24,6.78,2024.0,1.8338751064652208,0.4685808935356794,0.013037093940553584,0.24054263844343363,0.07500436854829377,0.6481244014192962
ROU,C,24,1.3,2024.0,1.7869001207118178,0.43441466131214607,0.011688272906997596,0.22380553057404437,0.06824439816718769,0.6525405928397644
SRB,C,24,5.99,2024.0,1.7151706574408205,0.4419063071449933,0.0370087903091962,0.24185112531118905,0.07442851394139875,0.6110950291753624
SWE,C,24,19.49,2024.0,2.006467010150464,0.48933525204035194,0.02233477241544775,0.32025954041567556,0.06261690459327414,0.673300685679986
SVK,C,24,8.08,2024.0,1.8527966290490276,0.4603716855989581,0.04803469778221677,0.3028106322959182,0.08507334298120793,0.6550336400496966
TUR,C,24,4.19,2024.0,1.7937759188663733,0.4334521514303619,0.024241543993571233,0.22318337483951875,0.06805930625716272,0.6615350393663806
AUT,C10-C12,3,13.48,2024.0,2.3832969974661715,0.7551379683378511,0.00520612503760398,0.35924729828240415,0.06587458246841245,0.6561273902839361
BEL,C10-C12,3,18.73,2024.0,2.3898421961542526,0.7184894034763577,0.021926766924008936,0.47779875166528685,0.011437103948673713,0.7103924489897943
BGR,C10-C12,3,1.76,2024.0,2.1317768720002164,0.6575418983296405,0.016591440413227444,0.4162565845578139,0.017233119800770743,0.698183373072446
