iso3,country_name,income_level,AI_PI,DI,HCLMP,IEI,RE,ai_material_share,llm_like_share,mean_exposure,aipi_predicted_atlas,residual
AFG,Afghanistan,Low income,,0.045447543263435,0.047246925532818,,0.040271706879139,0.049422780230887906,0.07134117146353142,0.456189817524073,,
AGO,Angola,Lower middle income,0.25965924188495,0.057157389819622,0.068584576249123,0.085128732025623,0.048788543790579,0.13342554662978134,0.14417194233122307,0.8592328563068575,0.10448916568702095,0.028936380942760395
ARE,United Arab Emirates,High income,0.62818463146687,0.1519383341074,0.15436471998692,0.15091055631638,0.17097102105618,0.4185601021657,0.2485499920183047,1.5056137923694992,0.40339542781346654,0.015164674352233454
ARG,Argentina,Upper middle income,0.47380943596363,0.13022059202194,0.11706056445837,0.088058702647686,0.13846957683563,0.36426519101841015,0.24241779291263169,1.408587847185272,0.27818366776279196,0.08608152325561819
AUS,Australia,High income,0.72710032761097,0.18218323588371,0.17124161124229,0.16190110146999,0.21177437901497,0.44360502234517984,0.2635135135135135,1.567993190040434,0.48362469243376977,-0.04001967008858992
AUT,Austria,High income,0.72456575930119,0.19374297559261,0.15903098881245,0.17384338378906,0.19794841110706,0.424801830079268,0.2545086981965207,1.536787785284886,0.4815689362742282,-0.056767106194960226
AZE,Azerbaijan,Upper middle income,0.4709397777915,0.11073476076126,0.14725781977177,0.10006237030029,0.11288482695818,0.3702718518912592,0.25035909985636007,1.3544714582114168,0.27585612447253155,0.09441572741872767
BDI,Burundi,Low income,0.29458386823535,0.044495660811663,0.10841347277164,0.071255698800087,0.070419035851955,0.03489918604032558,0.06868117252753099,0.3825078469968612,0.13281608647368304,-0.09791690043335746
BEL,Belgium,High income,0.67247784137726,0.17467841506004,0.16408167779446,0.17237295210361,0.16134479641914,0.43346634743282786,0.2573024740622506,1.5572758712423518,0.43932108771689,-0.005854740284062132
BEN,Benin,Lower middle income,0.36316419392824,0.066083803772926,0.10162904113531,0.097438856959343,0.098012492060661,0.11682715326913869,0.13512794594882163,0.7209129116348354,0.188440717470021,-0.07161356420088232
BFA,Burkina Faso,Low income,0.31181989982724,0.056242469698191,0.07948350161314,0.080844655632973,0.095249272882938,0.05979677608128957,0.08517316593073362,0.48098100760759693,0.14679601274923737,-0.0869992366679478
BGD,Bangladesh,Lower middle income,0.38406448811293,0.087450683116913,0.088801264762878,0.10748774558306,0.10032479465008,0.18572112571154972,0.17433633026546788,0.9677608128956748,0.20539268058761256,-0.01967155487606284
BGR,Bulgaria,High income,0.57729011774063,0.14914529025555,0.14832343161106,0.13506707549095,0.14475432038307,0.45076341969463213,0.2798318880672448,1.480821407671437,0.36211553424110837,0.08864788545352376
BLR,Belarus,Upper middle income,0.47078057378531,0.14583532512188,0.13628233969212,0.1133942976594,0.075268611311913,0.3854338458264617,0.2565834973666011,1.4284194286322285,0.2757269961254731,0.1097068497009886
BOL,Bolivia,Lower middle income,0.37660475820303,0.087617918848991,0.12119730561972,0.092190504074097,0.075599029660225,0.20466031813587274,0.18912592434963027,0.9843592062563175,0.19934218841834672,0.005318129717526016
BRA,Brazil,Upper middle income,0.50134041905403,0.13913251459599,0.115483045578,0.10798208415508,0.13874277472496,0.393699111276675,0.24996008727582353,1.469533287211963,0.300513698422426,0.09318541285424903
