atlas,imf,n,pearson,spearman
ai_material_share,AI_PI,117,0.8993491211116253,0.9315514993481094
ai_material_share,DI,122,0.9143315288686602,0.9231297945789573
ai_material_share,HCLMP,121,0.8578421833330376,0.8643965323080615
ai_material_share,IEI,118,0.749726369425744,0.8059667152388987
ai_material_share,RE,122,0.8345626858695102,0.8692173861333223
llm_like_share,AI_PI,117,0.8250583878578033,0.8960155854923044
llm_like_share,DI,122,0.8557683258332585,0.8909424360632875
llm_like_share,HCLMP,121,0.8194393550473027,0.8326576096024241
llm_like_share,IEI,118,0.6484733359878,0.7686711611413554
llm_like_share,RE,122,0.7767847748404517,0.8421816139098258
mean_exposure,AI_PI,117,0.8842652637938784,0.9533411260471458
mean_exposure,DI,122,0.9163254514588459,0.9567379659706364
mean_exposure,HCLMP,121,0.8685130708785896,0.8973309849613871
mean_exposure,IEI,118,0.7124674563888899,0.8173464953125971
mean_exposure,RE,122,0.818726563402914,0.8868287395785488
