iso3,n,r_exposure,r_ai_material,r_llm_like
AUT,38,-0.018662274717408445,0.42638116824021466,0.48181143121093134
BEL,30,-0.025211403421230683,0.1715453092655435,0.13584910283621357
BGR,37,0.22089613070172037,0.4275653652799053,0.4452482163194517
CZE,45,0.1056985313848077,0.4959441686566596,0.6435621845796275
DEU,45,-0.07147514752148292,0.4725972310211556,0.6597861809806247
DNK,45,-0.16638709964028828,0.4733957434782622,0.6588190102232658
ESP,40,0.3146419902663098,0.3785863132326608,0.2524299044479055
FIN,19,-0.11126181253755889,0.6160833107176112,0.6301664708845858
FRA,45,-0.058783523362804874,0.43622520234880835,0.6229530350633614
GRC,46,0.060696222644096534,0.3282652316220743,0.2278479659984731
HRV,45,0.009093593856782996,0.2979163359713052,0.3654607265469187
HUN,46,0.12251124382073014,0.4202885389186529,0.3968060494713074
IRL,46,0.08575728837558844,0.4491282521511045,0.4553300553046751
ITA,31,0.18556296067474606,0.5433057131258168,0.670073792127769
NLD,46,-0.07581487098196237,0.4886908415019672,0.6040484473984636
NOR,45,-0.1670611079115488,0.5199276900287584,0.6662937222351706
POL,45,0.11796896082821565,0.40912797831231223,0.5549100866293857
PRT,46,0.09842772024904756,0.33552659226871445,0.39959695206195356
ROU,46,0.156553657775108,0.5439523762511143,0.5855501381398152
SRB,46,0.3523732944816459,0.25590664214351183,0.2120189065067427
SVK,46,0.08527019235992701,0.3955377980357819,0.36353296644199573
SWE,39,-0.13113434102333224,0.46876434174776793,0.6043731839752148
TUR,46,0.028616589135332972,0.41374580607113365,0.42160161367045706
