iso3,country_name,income_level,transport_mass,exposed_mass,sub_only_mass,both_mass,aug_only_mass,transport_weighted_occ_exposed_share,transport_weighted_occ_sub_only_share,transport_weighted_occ_both_share,transport_weighted_occ_aug_only_share
AFG,Afghanistan,Low income,23822.0,3149.0,1540.9999999999998,1488.9999999999998,119.0,0.13218873310385357,0.06468810343380067,0.06250524725044077,0.004995382419612123
AGO,Angola,Lower middle income,23822.0,6895.0,2683.9999999999995,3927.9999999999995,283.0,0.28943833431282007,0.11266896146419274,0.1648895978507262,0.0118797749979011
ARE,United Arab Emirates,High income,23816.0,13255.999999999998,4934.999999999999,7124.0,1196.9999999999998,0.5566006046355391,0.20721363789049374,0.29912663755458513,0.05026032919046019
ARG,Argentina,Upper middle income,23819.0,12288.0,4397.0,6810.0,1081.0,0.5158906755111465,0.1846005289894622,0.28590620932868716,0.04538393719299719
AUS,Australia,High income,23821.0,13702.0,4901.0,7460.999999999999,1340.0,0.5752067503463331,0.20574283195499768,0.31321103228243985,0.05625288610889551
AUT,Austria,High income,23822.0,13468.999999999998,4791.0,7336.999999999999,1340.9999999999998,0.5654017294937452,0.20111661489379565,0.3079926118713794,0.05629250272857022
AZE,Azerbaijan,Upper middle income,23822.0,13104.999999999998,4359.999999999999,6779.999999999999,1965.0,0.5501217362102258,0.18302409537402398,0.28461086390731255,0.08248677692888927
BDI,Burundi,Low income,23822.0,2167.0,1018.9999999999999,992.9999999999999,154.99999999999997,0.09096633364117203,0.04277558559314919,0.04168415750146923,0.006506590546553605
BEL,Belgium,High income,23817.999999999996,13693.0,4967.999999999999,7383.999999999999,1341.0,0.5749013351246957,0.208581744898816,0.3100176337223948,0.05630195650348477
BEN,Benin,Lower middle income,23822.0,5838.0,1962.9999999999998,3259.9999999999995,615.0,0.2450675845856771,0.08240282092183694,0.13684829149525646,0.02581647216858366
BFA,Burkina Faso,Low income,23822.0,3351.0,1257.0,1786.9999999999998,307.0,0.14066828981613635,0.05276635043237344,0.07501469230123414,0.012887247082528756
BGD,Bangladesh,Lower middle income,23822.0,7888.999999999999,2704.0,4764.0,420.99999999999994,0.33116446981781544,0.11350852153471581,0.19998320879858955,0.017672739484510116
BGR,Bulgaria,High income,23822.0,14458.999999999998,4657.0,7356.999999999999,2444.9999999999995,0.606959952984636,0.19549156242129123,0.3088321719419024,0.10263621862144234
BLR,Belarus,Upper middle income,23822.0,13830.999999999998,4805.0,7109.999999999999,1915.9999999999998,0.5805977667702124,0.20170430694316177,0.2984636050709428,0.0804298547561078
BOL,Bolivia,Lower middle income,23822.0,8805.0,2707.0,4948.0,1149.9999999999998,0.369616321047771,0.11363445554529426,0.20770716144740156,0.048274704055075134
BRA,Brazil,Upper middle income,23816.0,12816.999999999998,4734.0,7029.0,1054.0,0.538167618407793,0.1987739334900907,0.29513772253946924,0.04425596237823312
CAN,Canada,High income,23820.0,13529.999999999998,4870.0,7407.999999999999,1251.9999999999998,0.5680100755667505,0.20445004198152814,0.3109991603694374,0.052560873215785044
CHE,Switzerland,High income,23819.0,13469.999999999998,4831.0,7288.999999999999,1349.9999999999998,0.5655149250598261,0.2028212771317016,0.306016205550191,0.056677442377933575
CHL,Chile,High income,23822.0,12827.0,4676.0,7073.999999999999,1077.0,0.5384518512299555,0.19628914448828813,0.29695239694400133,0.04521030979766602
CHN,China,Upper middle income,23821.0,14788.999999999998,6088.0,7538.999999999999,1161.9999999999998,0.620838755719743,0.2555728139036984,0.31648545401116657,0.04878048780487804
