iso3,ilostat_year,country_name,income_level,matched_weight,employment_weighted_occ_exposed_share,employment_weighted_occ_sub_only_share,employment_weighted_occ_both_share,employment_weighted_occ_aug_only_share,transport_weighted_occ_exposed_share,transport_weighted_occ_sub_only_share,transport_weighted_occ_both_share,transport_weighted_occ_aug_only_share,employment_weighting_adjustment
AFG,2021,Afghanistan,Low income,0.9717650416568221,0.08767571613953759,0.04983490571127723,0.03339546307079579,0.004445347357464567,0.13218873310385357,0.06468810343380067,0.06250524725044077,0.004995382419612123,-0.04451301696431598
AGO,2024,Angola,Lower middle income,0.9889893647755386,0.2307626180022802,0.09366206489263569,0.12737232624927222,0.009728226860372296,0.28943833431282007,0.11266896146419274,0.1648895978507262,0.0118797749979011,-0.05867571631053986
ARE,2024,United Arab Emirates,High income,1.0,0.5674946599986471,0.2709875136342644,0.2646785155999402,0.031828630764442534,0.5566006046355391,0.20721363789049374,0.29912663755458513,0.05026032919046019,0.010894055363108057
ARG,2024,Argentina,Upper middle income,1.0,0.5248824363315929,0.25287584727720647,0.245019767897478,0.02698682115690844,0.5158906755111465,0.1846005289894622,0.28590620932868716,0.04538393719299719,0.008991760820446393
AUS,2024,Australia,High income,0.999586465180077,0.5859965412691543,0.2355348024272526,0.30123314648456273,0.04922859235733893,0.5752067503463331,0.20574283195499768,0.31321103228243985,0.05625288610889551,0.010789790922821285
AUT,2024,Austria,High income,0.997436090506963,0.5775657262151849,0.23761088750008125,0.2932480928965334,0.04670674581857028,0.5654017294937452,0.20111661489379565,0.3079926118713794,0.05629250272857022,0.01216399672143964
BDI,2020,Burundi,Low income,0.9995348894484302,0.036460915329253364,0.01613068992079378,0.01573468836370673,0.004595537044752848,0.09096633364117203,0.04277558559314919,0.04168415750146923,0.006506590546553605,-0.054505418311918664
BEL,2024,Belgium,High income,0.9959694584743454,0.5908275993881129,0.2452407086276364,0.29717975234514865,0.04840713841532787,0.5749013351246957,0.208581744898816,0.3100176337223948,0.05630195650348477,0.015926264263417256
BEN,2022,Benin,Lower middle income,0.9985009344359059,0.16104599312726728,0.06293290577292462,0.07853888710564079,0.01957420024870187,0.2450675845856771,0.08240282092183694,0.13684829149525646,0.02581647216858366,-0.08402159145840982
BFA,2024,Burkina Faso,Low income,0.99768976218984,0.08917536556911174,0.032689993212071077,0.04706570159004331,0.009419670766997346,0.14066828981613635,0.05276635043237344,0.07501469230123414,0.012887247082528756,-0.05149292424702462
BGD,2024,Bangladesh,Lower middle income,0.9983266629565049,0.2564151095945551,0.10048966332834232,0.14658448145011657,0.009340964816096173,0.33116446981781544,0.11350852153471581,0.19998320879858955,0.017672739484510116,-0.07474936022326034
BLR,2024,Belarus,Upper middle income,1.0,0.5704978757168624,0.22744783612926397,0.2770506774302707,0.06599936215732773,0.5805977667702124,0.20170430694316177,0.2984636050709428,0.0804298547561078,-0.010099891053349963
BOL,2024,Bolivia,Lower middle income,0.999223316510321,0.30876929925833574,0.11781656353553197,0.16206988217690355,0.02888285354590023,0.369616321047771,0.11363445554529426,0.20770716144740156,0.048274704055075134,-0.06084702178943524
BRA,2025,Brazil,Upper middle income,0.99187877460969,0.541942454689841,0.25845460537356313,0.2543693493108943,0.0291185000053836,0.538167618407793,0.1987739334900907,0.29513772253946924,0.04425596237823312,0.0037748362820479997
CHL,2025,Chile,High income,1.0,0.5329887087693598,0.23915030095302242,0.2624433503402264,0.03139505747611085,0.5384518512299555,0.19628914448828813,0.29695239694400133,0.04521030979766602,-0.00546314246059576
CIV,2022,Cote d'Ivoire,Lower middle income,0.9929394874497423,0.21003310433655187,0.08658458511674566,0.1130182451266749,0.010430274093131301,0.2906137184115523,0.10372764671312232,0.1725715724960121,0.014314499202417933,-0.08058061407500045
CMR,2021,Cameroon,Lower middle income,0.9917948450746368,0.20847056589699253,0.07644325283336872,0.12165147385798755,0.010375839205636218,0.24070187221895728,0.08874149945428596,0.14045839979850555,0.01150197296616573,-0.03223130632196475
COD,2020,"Congo, Dem. Rep.",Low income,0.9995316594150134,0.04599840023856999,0.020260861388242516,0.02274753347076127,0.0029900053795662057,0.10301402065317772,0.050415582234908905,0.04974393417849047,0.0028545042397783564,-0.057015620414607726
COL,2025,Colombia,Upper middle income,0.9991977490134181,0.47901484440279546,0.221847374177228,0.2337337453207331,0.023433724904834367,0.4913945092771387,0.17093443035849212,0.28276383175216185,0.03769624716648476,-0.012379664874343221
