iso3,ilostat_year,sector_code,country_name,income_level,matched_weight,employment_weighted_occ_exposed_share,employment_weighted_occ_sub_only_share,employment_weighted_occ_both_share,employment_weighted_occ_aug_only_share,employment_weighted_occ_share_exposed,sub_only_share_exposed,aug_only_share_exposed
AFG,2021,MKT,Afghanistan,Low income,1.0,0.11088356260073669,0.07503910838102137,0.034443038885579196,0.0014014153341361214,0.11088356260073669,0.6767378917217693,0.012638621101869347
AFG,2021,PUB,Afghanistan,Low income,0.7428120853597819,0.12647069042661943,0.048585184207578694,0.07145548324535451,0.006430022973686207,0.12647069042661943,0.38416161122935194,0.0508420010359398
AGO,2024,AGR,Angola,Lower middle income,1.0,0.2079427159898297,0.062478071675455,0.13005727565078687,0.015407368663587795,0.2079427159898297,0.30045809192234824,0.07409429366278623
AGO,2024,CON,Angola,Lower middle income,1.0,0.24405284062261737,0.12888716870152273,0.11132407380201191,0.0038415981190827644,0.24405284062261737,0.5281117333963874,0.01574084574997054
AGO,2024,MAN,Angola,Lower middle income,1.0,0.24812795518426223,0.1254932084456937,0.11740885991478305,0.005225886823785523,0.24812795518426223,0.5057600557442277,0.021061257768818224
AGO,2024,MEL,Angola,Lower middle income,1.0,0.26073745415998345,0.12865536847884157,0.12638397222977252,0.0056981134513693615,0.26073745415998345,0.4934287975363184,0.021853835574666268
AGO,2024,MKT,Angola,Lower middle income,1.0,0.24808082675319815,0.12682732934608024,0.11856603672968868,0.0026874606774292434,0.24808082675319815,0.5112339031030951,0.01083300435830476
AGO,2024,PUB,Angola,Lower middle income,0.9200359085265262,0.26244252866369966,0.10790445279268682,0.14572576511906596,0.008812310751946887,0.26244252866369966,0.4111545996074373,0.03357805915381649
ARE,2024,AGR,United Arab Emirates,High income,1.0,0.5407801051785212,0.2430140189159973,0.26007294311214646,0.037693143150377376,0.5407801051785212,0.4493767736440194,0.06970142353505071
ARE,2024,CON,United Arab Emirates,High income,1.0000000000000002,0.5453527128927874,0.2740938628217421,0.24752330324716762,0.023735546823877737,0.5453527128927874,0.5025992469494271,0.04352329467286244
ARE,2024,MAN,United Arab Emirates,High income,1.0,0.5621252632839,0.27989478287212094,0.2558891719943068,0.02634130841747235,0.5621252632839,0.4979224403418438,0.04686021094940317
ARE,2024,MEL,United Arab Emirates,High income,0.9999999999999999,0.5809884083049823,0.26605333486392413,0.27556403411401253,0.039371039327045776,0.5809884083049823,0.45793226002585385,0.06776561935531501
ARE,2024,MKT,United Arab Emirates,High income,0.9999999999999998,0.5791794017524229,0.2662290747695258,0.2771593450628746,0.0357909819200225,0.5791794017524229,0.4596659928926971,0.0617960200444452
ARE,2024,PUB,United Arab Emirates,High income,0.9999999999999999,0.5669311066596769,0.277451484154579,0.25698001537175913,0.032499607133338874,0.5669311066596769,0.4893918871188882,0.05732549643434553
AUS,2024,AGR,Australia,High income,1.0,0.5857917945331017,0.2458425274475765,0.2998889220609424,0.04006034502458275,0.5857917945331017,0.41967560785572683,0.068386661265053
AUS,2024,CON,Australia,High income,0.9999767465061624,0.5809412568609731,0.2759163506357979,0.27502547920341625,0.029999427021758947,0.5809412568609731,0.47494707490163385,0.05163934677983837
AUS,2024,MAN,Australia,High income,1.0,0.5979817268760202,0.2797532367960761,0.28261257886357743,0.035615911216366695,0.5979817268760202,0.4678290727336513,0.059560199945291895
AUS,2024,MEL,Australia,High income,1.0,0.6114119202938729,0.2730969385908592,0.295336744733938,0.04297823696907563,0.6114119202938729,0.4466660356566096,0.07029342337391507
AUS,2024,MKT,Australia,High income,1.0,0.5957763879229454,0.24912884284590747,0.29934614431482715,0.04730140076221083,0.5957763879229454,0.4181583021684446,0.0793945542674453
AUS,2024,PUB,Australia,High income,0.9988191081948078,0.570183073049772,0.1948219326916264,0.3147807422520498,0.06058039810609587,0.570183073049772,0.3416831223164356,0.10624727560231823
BDI,2020,AGR,Burundi,Low income,0.9999999999999999,0.031243471766382022,0.01203804893702865,0.014304208900570603,0.004901213928782768,0.031243471766382022,0.3852980560880431,0.15687161674703753
BDI,2020,MAN,Burundi,Low income,0.9999999999999999,0.04581136260040211,0.028701539907655383,0.015387543611382256,0.0017222790813644715,0.04581136260040211,0.6265157436597063,0.037595019741878496
BDI,2020,MKT,Burundi,Low income,0.9973000846293271,0.06758844269719061,0.04361843726473845,0.022299203970003078,0.0016708014624490872,0.06758844269719061,0.645353488319853,0.024720224283530295
BDI,2020,PUB,Burundi,Low income,0.9946248957797448,0.07569991036934877,0.04041042136408991,0.030688343335925503,0.004601145669333355,0.07569991036934877,0.5338238997499827,0.06078138860249403
BEN,2022,CON,Benin,Lower middle income,1.0000000000000002,0.1410529214041072,0.06667724638571297,0.06673199746489124,0.007643677553502989,0.1410529214041072,0.47271085009779495,0.05419013996600867
BEN,2022,MAN,Benin,Lower middle income,1.0,0.1494462333662603,0.06971164458107017,0.07304746425686054,0.00668712452832958,0.1494462333662603,0.4664663873476292,0.044746022550738285
BEN,2022,MEL,Benin,Lower middle income,1.0000000000000002,0.17544610259578985,0.087482748055386,0.0804954453627337,0.007467909177670169,0.17544610259578985,0.4986303301187456,0.04256526116670417
BEN,2022,MKT,Benin,Lower middle income,1.0,0.18786800999183143,0.0882254730981373,0.09381091795212486,0.005831618941569271,0.18786800999183143,0.4696141354878533,0.031041042814169542
BEN,2022,PUB,Benin,Lower middle income,0.9867064058433379,0.20029518074134542,0.08071252344581295,0.1064504948574391,0.013132162438093365,0.20029518074134542,0.4029678754479991,0.06556404597198874
BFA,2023,AGR,Burkina Faso,Low income,1.0000000000000002,0.07666624445884664,0.023956021089181132,0.042610977115325875,0.010099246254339627,0.07666624445884664,0.3124715610928404,0.13173002441460088
BFA,2023,CON,Burkina Faso,Low income,1.0,0.08014431495504912,0.04467451516313645,0.032051974792898175,0.0034178249990144847,0.08014431495504912,0.5574258784068867,0.042645882005872215
BFA,2023,MAN,Burkina Faso,Low income,0.9999999999999999,0.08760747596796437,0.0445234235854861,0.03883726328858126,0.004246789093897002,0.08760747596796437,0.5082148879824717,0.04847519058133732
BFA,2023,MEL,Burkina Faso,Low income,1.0,0.0903022575787606,0.05188650475265144,0.034588727917332765,0.0038270249087763897,0.0903022575787606,0.5745870163588837,0.042380168684470615
BFA,2023,MKT,Burkina Faso,Low income,0.9971885934876217,0.11152288604835905,0.05600831134786441,0.04936964342211814,0.006144931278376514,0.11152288604835905,0.5022136113261796,0.055100181640851016
BFA,2023,PUB,Burkina Faso,Low income,0.9956406213004474,0.12417895616889794,0.04979943979726082,0.06355174193731576,0.010827774434321352,0.12417895616889794,0.40102962155300886,0.08719492229902713
BGD,2024,AGR,Bangladesh,Lower middle income,1.0,0.21799438407699165,0.057172771611313344,0.15044473589339058,0.010376876572287707,0.21799438407699165,0.2622671765302035,0.04760157751872536
BGD,2024,CON,Bangladesh,Lower middle income,1.0,0.2663476343291959,0.14158862273061604,0.11937997406374556,0.005379037534834286,0.2663476343291959,0.5315933182106574,0.02019555213389278
BGD,2024,MAN,Bangladesh,Lower middle income,0.9999999999999999,0.2798353857397752,0.14014508109855303,0.13290495874047364,0.006785345900748536,0.2798353857397752,0.5008125785381442,0.02424763359648294
BGD,2024,MEL,Bangladesh,Lower middle income,1.0,0.3048710148416251,0.15467097002700403,0.1425126354303211,0.007687409384299947,0.3048710148416251,0.507332486518447,0.025215284530388744
BGD,2024,MKT,Bangladesh,Lower middle income,0.9999999999999999,0.29403241304380967,0.14529723128268116,0.141312745440554,0.007422436320574563,0.29403241304380967,0.4941537899804007,0.02524359897515329
BGD,2024,PUB,Bangladesh,Lower middle income,0.9823642101037894,0.3033960683107084,0.11332206150938831,0.1748799129010538,0.015194093900266267,0.3033960683107084,0.37351196454311003,0.0500800619627871
BLR,2024,AGR,Belarus,Upper middle income,1.0,0.5726156855849823,0.24408155897895115,0.2703777813052763,0.058156345300754905,0.5726156855849823,0.42625720028887826,0.10156261304882448
BLR,2024,CON,Belarus,Upper middle income,0.9999999999999999,0.555863751340452,0.25557081060522047,0.2516294698043374,0.04866347093089403,0.555863751340452,0.45977239924157254,0.08754568149756707
BLR,2024,MAN,Belarus,Upper middle income,1.0,0.5772580487114105,0.26011993522232746,0.26281283645860193,0.054325277030481074,0.5772580487114105,0.4506129205179253,0.09410917206221579
BLR,2024,MEL,Belarus,Upper middle income,1.0,0.5848021176138342,0.2676114387981196,0.2634811565319151,0.05370952228379939,0.5848021176138342,0.4576102424014016,0.09184221579591768
BLR,2024,MKT,Belarus,Upper middle income,1.0,0.5707849699149401,0.2327197019789953,0.27372918246497885,0.06433608547096593,0.5707849699149401,0.40771869310727615,0.11271510089088974
BLR,2024,PUB,Belarus,Upper middle income,1.0,0.5663088784203522,0.17920917917433543,0.30185792134275596,0.08524177790326079,0.5663088784203522,0.31645129716881193,0.15052170494136005
BOL,2024,AGR,Bolivia,Lower middle income,1.0,0.29476373032733477,0.06770015033942535,0.18308657500770092,0.043977004980208415,0.29476373032733477,0.22967598579460374,0.14919408480606486
BOL,2024,CON,Bolivia,Lower middle income,0.9999999999999999,0.2625313219042257,0.1196529993036957,0.12165875879335498,0.021219563807174994,0.2625313219042257,0.45576656695975665,0.08082678917419281
BOL,2024,MAN,Bolivia,Lower middle income,0.9999999999999999,0.2728958292576664,0.12971634982023936,0.12376594888775491,0.01941353054967214,0.2728958292576664,0.4753328410078486,0.07113897857098436
BOL,2024,MEL,Bolivia,Lower middle income,1.0,0.346600180699262,0.16721743970582217,0.15769466089323722,0.021688080100202605,0.346600180699262,0.4824505266225276,0.06257377032074
BOL,2024,MKT,Bolivia,Lower middle income,0.9999999999999999,0.31282063914044894,0.13913207116822537,0.15451723395414632,0.019171334018077225,0.31282063914044894,0.4447662774122727,0.06128538727737129
BOL,2024,PUB,Bolivia,Lower middle income,0.9949271673754658,0.36647832367115213,0.12088712781074863,0.20160835685599002,0.043982839004413486,0.36647832367115213,0.3298616043638721,0.12001484443560191
BRA,2025,AGR,Brazil,Upper middle income,1.0,0.5281363961556462,0.2360883440230589,0.263800918568765,0.02824713356382225,0.5281363961556462,0.4470215378859852,0.053484542571645796
BRA,2025,CON,Brazil,Upper middle income,0.9999999999999999,0.5234701270681192,0.2853720742583177,0.22000619574097496,0.018091857068826624,0.5234701270681192,0.5451544596377362,0.034561393541512116
BRA,2025,MAN,Brazil,Upper middle income,1.0,0.5661665260817511,0.30346710530006554,0.2404941177364513,0.022205303045234305,0.5661665260817511,0.5360032628567071,0.03922044490851441
BRA,2025,MEL,Brazil,Upper middle income,1.0000000000000002,0.5769244397937997,0.2895313705195362,0.2592786545163658,0.02811441475789775,0.5769244397937997,0.5018531900347617,0.048731537128061705
