iso3,ilostat_year,sector_code,isco_major,employment_value,sector_employment_share
AFG,2021,MKT,1,21.589,0.015621969892124542
AFG,2021,MKT,2,25.0,0.018090196271393466
AFG,2021,MKT,3,23.314,0.016870193434850692
AFG,2021,MKT,4,6.751,0.004885076601127092
AFG,2021,MKT,5,786.246,0.5689337783039211
AFG,2021,MKT,7,111.991,0.08103756682518502
AFG,2021,MKT,8,343.082,0.24825682868728854
AFG,2021,MKT,9,63.991,0.04630438998410957
AFG,2021,PUB,0,209.728,0.25718791464021795
AFG,2021,PUB,1,103.424,0.1268280958372268
AFG,2021,PUB,2,340.346,0.41736381406459616
AFG,2021,PUB,3,69.542,0.08527884669624483
AFG,2021,PUB,4,3.534,0.004333718389240016
AFG,2021,PUB,5,22.191,0.02721266122683226
AFG,2021,PUB,7,16.084,0.019723691729636793
AFG,2021,PUB,9,50.617,0.06207125741600507
AGO,2024,AGR,1,2.016,0.00034080610448648585
AGO,2024,AGR,2,1.405,0.0002375161591287265
AGO,2024,AGR,3,9.675,0.001635565010370412
AGO,2024,AGR,4,1.43,0.00024174242530539423
AGO,2024,AGR,5,68.41,0.011564754765833579
AGO,2024,AGR,6,5763.687,0.9743550168399803
AGO,2024,AGR,7,3.89,0.000657607017089499
AGO,2024,AGR,8,3.722,0.0006292065083822919
AGO,2024,AGR,9,61.152,0.010337785169423405
AGO,2024,CON,1,1.768,0.0042953907153477616
AGO,2024,CON,2,10.213,0.02481268403611238
AGO,2024,CON,3,17.945,0.04359772985685271
AGO,2024,CON,5,5.68,0.013799671528945297
AGO,2024,CON,7,348.962,0.8478100310006705
AGO,2024,CON,8,19.652,0.04774491987444243
AGO,2024,CON,9,7.384,0.017939572987628886
AGO,2024,MAN,1,4.74,0.011237207008792997
AGO,2024,MAN,2,7.261,0.01721378904870168
AGO,2024,MAN,3,17.796,0.04218931137731649
AGO,2024,MAN,4,1.087,0.0025769713119320648
AGO,2024,MAN,5,79.993,0.18964090722666205
AGO,2024,MAN,6,54.812,0.12994383767214382
AGO,2024,MAN,7,191.78,0.45465644728825333
AGO,2024,MAN,8,52.213,0.12378233956753348
AGO,2024,MAN,9,12.131,0.0287591894986641
AGO,2024,MEL,1,4.446,0.02430677046885934
AGO,2024,MEL,2,12.086,0.06607548985304408
AGO,2024,MEL,3,24.128,0.1319104268719384
AGO,2024,MEL,4,1.065,0.00582247200839748
AGO,2024,MEL,5,16.279,0.08899908152554234
AGO,2024,MEL,6,3.716,0.020315780265920225
AGO,2024,MEL,7,92.614,0.5063309132260322
AGO,2024,MEL,8,15.155,0.0828540500349895
AGO,2024,MEL,9,13.423,0.07338501574527641
AGO,2024,MKT,1,72.478,0.018837216797189724
AGO,2024,MKT,2,88.414,0.022979023785241488
AGO,2024,MKT,3,112.605,0.029266326298291193
AGO,2024,MKT,4,50.33,0.01308089518754048
AGO,2024,MKT,5,2595.689,0.6746261821667348
AGO,2024,MKT,6,15.145,0.00393622407342143
AGO,2024,MKT,7,166.026,0.0431505802584263
AGO,2024,MKT,8,451.71,0.11740057947871865
AGO,2024,MKT,9,295.199,0.07672297195443596
AGO,2024,PUB,0,137.176,0.07996409147347373
AGO,2024,PUB,1,56.068,0.03268375430639999
AGO,2024,PUB,2,506.717,0.29538085772412226
AGO,2024,PUB,3,148.91,0.08680419943222557
AGO,2024,PUB,4,38.381,0.022373460334485593
AGO,2024,PUB,5,488.368,0.28468466367817563
AGO,2024,PUB,6,7.926,0.0046203081371286
AGO,2024,PUB,7,29.637,0.017276314945758306
AGO,2024,PUB,8,25.395,0.014803523232700075
AGO,2024,PUB,9,276.892,0.1614088267355302
ALB,2024,AGR,1,0.133,0.00030808503146868534
ALB,2024,AGR,2,0.225,0.0005211964818079264
ALB,2024,AGR,5,0.702,0.0016261330232407302
ALB,2024,AGR,6,425.717,0.9861431228703332
ALB,2024,AGR,7,1.245,0.002883953866003859
ALB,2024,AGR,8,1.773,0.00410702827664646
ALB,2024,AGR,9,1.904,0.004410480450499074
ALB,2024,CON,1,1.161,0.012479174504218843
ALB,2024,CON,2,7.255,0.07798140484763799
ALB,2024,CON,3,0.644,0.006922126081582201
ALB,2024,CON,4,0.418,0.004492932767238137
ALB,2024,CON,5,2.003,0.021529531896598057
ALB,2024,CON,6,0.655,0.007040361154404257
ALB,2024,CON,7,67.691,0.7275863922179825
ALB,2024,CON,8,7.619,0.08189391089374966
ALB,2024,CON,9,5.589,0.060074165636588385
ALB,2024,MAN,1,4.029,0.03384747215081405
ALB,2024,MAN,2,6.376,0.05356452778197827
ALB,2024,MAN,3,3.035,0.025496916847287332
ALB,2024,MAN,4,1.86,0.01562578759010031
ALB,2024,MAN,5,9.805,0.08237142329082447
ALB,2024,MAN,6,1.182,0.009929935984676647
ALB,2024,MAN,7,31.638,0.26578960633096427
ALB,2024,MAN,8,51.8,0.4351697834232236
ALB,2024,MAN,9,9.309,0.07820454660013106
ALB,2024,MEL,1,0.863,0.030759908753920723
ALB,2024,MEL,2,4.229,0.150734245794126
ALB,2024,MEL,3,2.224,0.07927003136583974
ALB,2024,MEL,4,1.107,0.03945680068434559
ALB,2024,MEL,5,1.83,0.06522668947818648
ALB,2024,MEL,7,6.209,0.22130738522954088
ALB,2024,MEL,8,6.186,0.2204875962360992
ALB,2024,MEL,9,5.408,0.19275734245794124
ALB,2024,MKT,1,32.046,0.10667243646289298
ALB,2024,MKT,2,32.042,0.10665912154852454
ALB,2024,MKT,3,18.639,0.06204417222841735
