iso3,ilostat_year,sector_code,isco_major,employment_value,sector_employment_share,country_name,income_level,isco_major_label,exposed_share,sub_only_share,both_share,aug_only_share,matched_weight,weight_norm,exposed_share_contribution,sub_only_share_contribution,both_share_contribution,aug_only_share_contribution
AFG,2021,MKT,1,21.589,0.015621969892124542,Afghanistan,Low income,Managers,0.135212111463222,0.052314677757053854,0.07892360914625167,0.003973824559916476,1.0,0.015621969892124542,0.002112279534329042,0.0008172583208368928,0.0012329422458605486,6.207896763160025e-05
AFG,2021,MKT,2,25.0,0.018090196271393466,Afghanistan,Low income,Professionals,0.12185531338782583,0.03366575886510854,0.07938421617103786,0.00880533835167941,1.0,0.018090196271393466,0.0022043865358979294,0.000609020185495218,0.001436076051384802,0.00015929029901790877
AFG,2021,MKT,3,23.314,0.016870193434850692,Afghanistan,Low income,Technicians,0.1523159589218892,0.07396819294678493,0.07333228753522171,0.005015478439882569,1.0,0.016870193434850692,0.002569599690227043,0.0012478577230386205,0.0012371298757392806,8.46120914491421e-05
AFG,2021,MKT,4,6.751,0.004885076601127092,Afghanistan,Low income,Clerical support,0.35265325343697385,0.24535281341024545,0.10576523454160797,0.0015352054851204115,1.0,0.004885076601127092,0.0017227381566763031,0.0011985672878110914,0.000516671272471928,7.499596393283688e-06
AFG,2021,MKT,5,786.246,0.5689337783039211,Afghanistan,Low income,Service and sales,0.100225827191575,0.063652414059267,0.035662118335657675,0.000911294796650315,1.0,0.5689337783039211,0.057021858547738634,0.036214008428904404,0.020289383727027262,0.0005184663918069672
AFG,2021,MKT,7,111.991,0.08103756682518502,Afghanistan,Low income,Craft and trades,0.09324711654538513,0.06428080541852814,0.02816180189271927,0.0008045092341377178,1.0,0.08103756682518502,0.007556519438302463,0.00520916006468069,0.00228216390279886,6.519547082291373e-05
AFG,2021,MKT,8,343.082,0.24825682868728854,Afghanistan,Low income,Plant and machine operators,0.131250742114476,0.10468584882432513,0.02490096693408903,0.0016639263560618283,1.0,0.24825682868728854,0.03258389300019295,0.025988976837563873,0.006181835082303976,0.0004130810803251056
AFG,2021,MKT,9,63.991,0.04630438998410957,Afghanistan,Low income,Elementary occupations,0.11040611266289703,0.08107783158311653,0.02735889034338392,0.0019693907363965823,1.0,0.04630438998410957,0.005112287697372322,0.0037542595326905837,0.0012668367279925383,9.119143668920007e-05
AFG,2021,PUB,1,103.424,0.1268280958372268,Afghanistan,Low income,Managers,0.135212111463222,0.052314677757053854,0.07892360914625167,0.003973824559916476,0.7428120853597819,0.17074048516025078,0.023086181510772432,0.008932233461241555,0.013475455316229016,0.0006784927333018592
AFG,2021,PUB,2,340.346,0.41736381406459616,Afghanistan,Low income,Professionals,0.12185531338782583,0.03366575886510854,0.07938421617103786,0.00880533835167941,0.7428120853597819,0.5618699833921597,0.06846684290946412,0.018915779374422986,0.044603608221620655,0.004947455313420457
AFG,2021,PUB,3,69.542,0.08527884669624483,Afghanistan,Low income,Technicians,0.1523159589218892,0.07396819294678493,0.07333228753522171,0.005015478439882569,0.7428120853597819,0.11480541092023283,0.017486696253736795,0.008491948786282712,0.008418943404201797,0.0005758040632522866
AFG,2021,PUB,4,3.534,0.004333718389240016,Afghanistan,Low income,Clerical support,0.35265325343697385,0.24535281341024545,0.10576523454160797,0.0015352054851204115,0.7428120853597819,0.0058342055476129934,0.0020574515675857636,0.0014314387451205097,0.0006170561181072386,8.956704358015402e-06
AFG,2021,PUB,5,22.191,0.02721266122683226,Afghanistan,Low income,Service and sales,0.100225827191575,0.063652414059267,0.035662118335657675,0.000911294796650315,0.7428120853597819,0.036634650624527434,0.0036717381627176114,0.0023318839504690046,0.0013064692457573728,3.338496649123407e-05
AFG,2021,PUB,7,16.084,0.019723691729636793,Afghanistan,Low income,Craft and trades,0.09324711654538513,0.06428080541852814,0.02816180189271927,0.0008045092341377178,0.7428120853597819,0.026552734020319015,0.0024759658837913,0.001706831128890059,0.0007477728351902914,2.1361919710949374e-05
