iso3,ilostat_year,sex,isco_major,employment_value,employment_share
AFG,2020,SEX_F,0,0.734,0.0006629347235092551
AFG,2020,SEX_F,1,3.679,0.0033228022449462527
AFG,2020,SEX_F,2,59.734,0.05395060323447118
AFG,2020,SEX_F,3,3.805,0.003436603028545934
AFG,2020,SEX_F,4,6.287,0.005678297829295214
AFG,2020,SEX_F,5,132.7,0.11985209510855334
AFG,2020,SEX_F,6,596.809,0.5390264433281131
AFG,2020,SEX_F,7,285.32,0.257695552195723
AFG,2020,SEX_F,8,1.135,0.0010251102332193523
AFG,2020,SEX_F,9,16.995,0.015349558073623693
AFG,2020,SEX_M,0,170.493,0.03570891494478401
AFG,2020,SEX_M,1,71.549,0.01498558389719432
AFG,2020,SEX_M,2,182.575,0.03823943004137378
AFG,2020,SEX_M,3,79.933,0.016741571198122036
AFG,2020,SEX_M,4,93.229,0.01952635258566198
AFG,2020,SEX_M,5,699.34,0.14647330141111511
AFG,2020,SEX_M,6,2084.399,0.4365670532044884
AFG,2020,SEX_M,7,517.903,0.10847221983687584
AFG,2020,SEX_M,8,406.213,0.08507930217935955
AFG,2020,SEX_M,9,468.888,0.09820627070102517
AGO,2024,SEX_F,0,4.687,0.0007361939292195167
AGO,2024,SEX_F,1,31.113,0.004886964309751828
AGO,2024,SEX_F,2,245.379,0.03854203758437289
AGO,2024,SEX_F,3,90.985,0.01429114671432424
AGO,2024,SEX_F,4,24.114,0.0037876211668870117
AGO,2024,SEX_F,5,2250.143,0.3534332443942374
AGO,2024,SEX_F,6,3207.046,0.5037353949067066
AGO,2024,SEX_F,7,48.763,0.007659275564440214
AGO,2024,SEX_F,8,7.779,0.001221858881032349
AGO,2024,SEX_F,9,456.52,0.07170626254902789
AGO,2024,SEX_M,0,132.898,0.021683065173357004
AGO,2024,SEX_M,1,110.402,0.018012714723088085
AGO,2024,SEX_M,2,380.716,0.06211598248686802
AGO,2024,SEX_M,3,240.075,0.03916960278930972
AGO,2024,SEX_M,4,68.393,0.01115870725218894
AGO,2024,SEX_M,5,1004.275,0.16385318271887542
AGO,2024,SEX_M,6,2638.484,0.4304836832071189
