support,domain,income_level,margin,countries,mean_total_gap_pp,mean_reference_profile_pp,mean_country_specific_pp,median_total_gap_pp,median_reference_profile_pp,median_country_specific_pp,share_reference_same_sign_as_total,share_country_specific_offsets_reference,total_ci_low,reference_profile_ci_low,country_specific_ci_low,total_ci_high,reference_profile_ci_high,country_specific_ci_high,additive_mean_error_pp
Common female-male cells,Occupation (ISCO-2),Low income,Augmentation-only,14,-0.130104238628412,-0.20935064695432798,0.079246408325916,-0.06247336624509188,-0.2936163398414887,0.1862285883264272,0.8571428571428571,0.8571428571428571,-0.2735214318276574,-0.4380054110758515,-0.11643122918349344,-0.02231902819671375,0.05194494108225481,0.2527948942106202,-2.7755575615628914e-17
Common female-male cells,Occupation (ISCO-2),Low income,Overall exposure,14,1.2769226593038399,1.4506799597921414,-0.173757300488302,1.2902588279453515,1.5184287912894394,-0.22429534952226732,0.9285714285714286,0.8571428571428571,0.5990021207615436,0.6154664816037893,-0.44388519544810623,2.0027073973655036,2.3169742131012017,0.11014597889281404,4.996003610813204e-16
Common female-male cells,Occupation (ISCO-2),Low income,Substitution-only,14,1.0290276427932459,1.6261571998147684,-0.5971295570215227,1.149365372393049,1.740707987952515,-0.7743921027618728,0.9285714285714286,0.8571428571428571,0.2948905918126166,0.46070482090256276,-1.0339285529805995,1.7121069943222793,2.6882581692180216,-0.11971157384765235,2.220446049250313e-16
Common female-male cells,Occupation (ISCO-2),Lower middle income,Augmentation-only,26,0.034650029745388826,-0.06288321036839736,0.0975332401137862,-0.005628617774436032,-0.143101226422773,0.11071279158908717,0.8076923076923077,0.5769230769230769,-0.12897390940425607,-0.26623798976246804,-0.0475607981982257,0.20072897785165997,0.13859802428734744,0.23433690924921008,0
Common female-male cells,Occupation (ISCO-2),Lower middle income,Overall exposure,26,2.7451665949088113,1.6211219047513061,1.1240446901575054,3.625079373498111,1.9543365024551929,1.0154157459291122,0.9615384615384616,0.2692307692307692,1.56025174606,0.6531324048879394,0.646102902175442,3.91649234013928,2.571453459670581,1.5934871038104204,-2.220446049250313e-16
Common female-male cells,Occupation (ISCO-2),Lower middle income,Substitution-only,26,1.7162109005490445,1.6298857170097398,0.08632518353930455,2.1885413878464455,2.820065074709578,-0.04770482637832772,0.9230769230769231,0.6153846153846154,0.5771608761189754,0.3979044532498106,-0.2691000568100506,2.6943005744888335,2.7553383908791487,0.4323570205768039,8.326672684688674e-17
Common female-male cells,Occupation (ISCO-2),Upper middle income,Augmentation-only,16,-0.010357647353412758,0.031399805000943914,-0.04175745235435676,-0.04639065629729466,-0.1786666938537462,0.08539165649989731,0.8125,0.5625,-0.18822540511164906,-0.21310403554229904,-0.31410324926167577,0.21895178963481943,0.34672510947352286,0.1734240918610984,9.020562075079397e-17
Common female-male cells,Occupation (ISCO-2),Upper middle income,Overall exposure,16,2.5038129741001613,1.126215316855401,1.3775976572447597,2.1121266912134433,0.8617375584244072,1.1828074934990638,0.875,0.3125,1.4831041677499093,0.40715831655029816,0.9137682122641366,3.6133945293745513,1.8642701325696167,1.914602126615495,6.661338147750939e-16
Common female-male cells,Occupation (ISCO-2),Upper middle income,Substitution-only,16,1.8825377966905632,1.2963320110280452,0.5862057856625177,2.057496019734116,1.6905811368348431,0.5124080089991048,1,0.375,0.5610439536467503,0.0066260849349854024,0.3254446092093114,3.040677160298967,2.3815116683719233,0.8689056947178785,3.3306690738754696e-16
Common female-male cells,Occupation (ISCO-2),High income,Augmentation-only,32,-0.1618328500400653,-0.32348762319299296,0.1616547731529277,-0.14617280203358268,-0.2638386089915472,0.11873692125512553,0.8125,0.75,-0.2864134324653638,-0.4133759121708091,0.09449882329702337,-0.03409847858433749,-0.2352327890112171,0.23807896075500795,-5.551115123125783e-17
Common female-male cells,Occupation (ISCO-2),High income,Overall exposure,32,-0.1084723394406608,-0.1916175216104459,0.08314518216978467,0.3791224678667232,-0.0735162204251176,0.009272570052211097,0.875,0.25,-1.024010310166272,-0.8755226821993711,-0.29201289360643,0.7365115454013749,0.400419504447103,0.413891601710302,4.3021142204224816e-16
Common female-male cells,Occupation (ISCO-2),High income,Substitution-only,32,2.0273259227047897,1.4960403208711825,0.5312856018336078,2.19539921390088,1.6094777437359769,0.615490324438888,0.96875,0.125,1.3868229612858696,1.0420592978353014,0.30272947768213554,2.6128994861523105,1.9216633553358178,0.7578274635622341,-6.661338147750939e-16
Common female-male cells,Industry (ISIC-2),Low income,Augmentation-only,4,-0.36634044982121466,-0.8571400032171581,0.4907995533959434,-0.130190757489967,-0.7010545642282455,0.5354030139778916,0.75,1,-0.9535214521874036,-1.4877810921839987,0.35068819105405946,0.009965705328943367,-0.38098833105909785,0.5863074551558791,5.551115123125783e-17
Common female-male cells,Industry (ISIC-2),Low income,Overall exposure,4,0.76142878233619,1.8277910289047672,-1.0663622465685774,0.4648787574544146,1.2120298185721252,-1.385573432019443,0.5,0.75,-0.44066744129510554,0.7705736243207265,-1.727661950483632,1.9624301497731536,3.3405661282207584,-0.08585135720265696,2.220446049250313e-16
Common female-male cells,Industry (ISIC-2),Low income,Substitution-only,4,1.023971943493501,2.7249656781533518,-1.700993734659851,0.6471136414949246,1.7456572211868546,-1.6716227741937875,0.5,1,-0.34009889904362284,1.072491954190392,-2.8215077315473147,2.5228970176688015,5.356747859082808,-0.5804797377723875,2.220446049250313e-16
Common female-male cells,Industry (ISIC-2),Lower middle income,Augmentation-only,21,-0.3994595268759063,-0.7247132094566026,0.32525368258069604,-0.37980796866423194,-0.7623957115245436,0.31379415309345066,0.8095238095238095,0.7142857142857143,-0.7218323644247552,-0.8982552069077775,0.08447298488005583,-0.07825027583917346,-0.5557855076848658,0.5543779972662494,2.220446049250313e-16
Common female-male cells,Industry (ISIC-2),Lower middle income,Overall exposure,21,1.8960468878510148,1.2203341547090614,0.6757127331419547,1.8084084471220119,1.215302768986363,0.7740840645141085,0.8571428571428571,0.47619047619047616,0.5288922678291508,0.30248505248025004,-0.17691355625055605,3.2161812376695753,2.1018616947757423,1.5178138379263328,-1.2212453270876722e-15
Common female-male cells,Industry (ISIC-2),Lower middle income,Substitution-only,21,1.5714506890759057,1.6232516634794711,-0.05180097440356555,1.6453460627519927,2.1619702265239282,-0.24165655289879506,1,0.7142857142857143,0.5657183777638264,0.46956917790371766,-0.47421115331735947,2.5173078470388286,2.7196213984010655,0.37677655668456117,9.020562075079397e-17
Common female-male cells,Industry (ISIC-2),Upper middle income,Augmentation-only,16,-1.062015228536728,-0.8406150577122229,-0.22140017082450503,-1.086647450409672,-0.8439149517918372,-0.21179917353753397,0.9375,0.3125,-1.2924985162467884,-0.9353799395822098,-0.42740213610216016,-0.8098985026353378,-0.7382319138785192,-0.018412704117089344,0
Common female-male cells,Industry (ISIC-2),Upper middle income,Overall exposure,16,0.45648349791679166,-0.21017928898085356,0.6666627868976447,0.14818070267417885,-0.2936469670097909,0.6163015903741909,0.75,0.4375,-0.6585440833541322,-0.9398374449014647,0.12974100936095248,1.6485869253306753,0.49441132355439665,1.261208907873967,5.551115123125783e-16
Common female-male cells,Industry (ISIC-2),Upper middle income,Substitution-only,16,0.9537408192385054,0.6476570686369736,0.30608375060153137,0.9958462112714606,0.5428644343788632,0.3466980495386134,0.875,0.3125,0.046395597322271095,-0.1302668038982802,-0.15657948756692747,1.9151557327261632,1.4968317725972038,0.7927790965734797,4.440892098500626e-16
