support,domain,iso3,country_name,income_level,margin,total_gap_pp,reference_profile_pp,country_specific_pp,identity_error_pp
Common female-male cells,Occupation (ISCO-2),AFG,Afghanistan,Low income,Augmentation-only,-0.014594139328867255,0.1286767361454058,-0.14327087547427306,0
Common female-male cells,Occupation (ISCO-2),AFG,Afghanistan,Low income,Overall exposure,-0.9269591969375264,-0.8038417919847125,-0.12311740495281405,1.8041124150158794e-16
Common female-male cells,Occupation (ISCO-2),AFG,Afghanistan,Low income,Substitution-only,-0.8009648996952446,-0.7839656602205604,-0.016999239474683472,-8.187894806610529e-16
Common female-male cells,Occupation (ISCO-2),AGO,Angola,Lower middle income,Augmentation-only,-0.32719580439635837,-0.7434617050055415,0.4162659006091832,-5.551115123125783e-17
Common female-male cells,Occupation (ISCO-2),AGO,Angola,Lower middle income,Overall exposure,4.351360744877996,3.2844767404350717,1.0668840044429262,-1.5543122344752192e-15
Common female-male cells,Occupation (ISCO-2),AGO,Angola,Lower middle income,Substitution-only,4.277778200526024,4.7159544987591975,-0.4381762982331747,1.1102230246251565e-15
Common female-male cells,Occupation (ISCO-2),ARE,United Arab Emirates,High income,Augmentation-only,-0.0416390802972747,-0.21201584875696697,0.1703767684596923,-2.7755575615628914e-17
Common female-male cells,Occupation (ISCO-2),ARE,United Arab Emirates,High income,Overall exposure,0.5123254458568216,-0.36649859383847794,0.8788240396953002,-6.661338147750939e-16
Common female-male cells,Occupation (ISCO-2),ARE,United Arab Emirates,High income,Substitution-only,4.130819662224839,1.7796053166082655,2.3512143456165724,1.3322676295501878e-15
Common female-male cells,Occupation (ISCO-2),ARG,Argentina,Upper middle income,Augmentation-only,0.1225164041632079,0.03400986268871519,0.08850654147449256,1.5265566588595902e-16
Common female-male cells,Occupation (ISCO-2),ARG,Argentina,Upper middle income,Overall exposure,1.1632693483031793,-0.12893486654019432,1.2922042148433748,-1.1102230246251565e-15
Common female-male cells,Occupation (ISCO-2),ARG,Argentina,Upper middle income,Substitution-only,1.92827372287684,0.947090323757219,0.9811833991196224,-1.3322676295501878e-15
Common female-male cells,Occupation (ISCO-2),AUS,Australia,High income,Augmentation-only,0.05377923755615914,-0.1546708062882412,0.20845004384440025,1.1102230246251565e-16
Common female-male cells,Occupation (ISCO-2),AUS,Australia,High income,Overall exposure,0.2858023666442927,0.6262714156409321,-0.3404690489966399,4.440892098500626e-16
Common female-male cells,Occupation (ISCO-2),AUS,Australia,High income,Substitution-only,1.6561553049397553,1.3368410570461797,0.319314247893572,3.552713678800501e-15
Common female-male cells,Occupation (ISCO-2),AUT,Austria,High income,Augmentation-only,-0.4935720127242888,-0.5726804545125913,0.07910844178830258,-6.938893903907228e-17
Common female-male cells,Occupation (ISCO-2),AUT,Austria,High income,Overall exposure,-0.3871089447421099,-0.05732404950171538,-0.32978489524039367,-8.326672684688674e-16
Common female-male cells,Occupation (ISCO-2),AUT,Austria,High income,Substitution-only,3.262318433828114,2.5302020791452557,0.732116354682858,2.220446049250313e-16
Common female-male cells,Occupation (ISCO-2),BDI,Burundi,Low income,Augmentation-only,0.09464886092921433,0.42929710983787356,-0.33464824890865913,-1.1102230246251565e-16
Common female-male cells,Occupation (ISCO-2),BDI,Burundi,Low income,Overall exposure,0.962234582103272,1.9097097983155267,-0.9474752162122533,-1.4432899320127035e-15
Common female-male cells,Occupation (ISCO-2),BDI,Burundi,Low income,Substitution-only,0.454138298120256,-0.08607783091807131,0.5402161290383264,9.992007221626409e-16
Common female-male cells,Occupation (ISCO-2),BEL,Belgium,High income,Augmentation-only,-0.29497930855691923,-0.4512896994810297,0.15631039092411042,5.551115123125783e-17
Common female-male cells,Occupation (ISCO-2),BEL,Belgium,High income,Overall exposure,-1.8825490862452885,-1.6579091179414327,-0.2246399683038553,-4.996003610813204e-16
Common female-male cells,Occupation (ISCO-2),BEL,Belgium,High income,Substitution-only,1.7960571621684056,1.097452999682547,0.69860416248586,-1.4432899320127035e-15
Common female-male cells,Occupation (ISCO-2),BEN,Benin,Lower middle income,Augmentation-only,-0.9131333272485853,-0.7541579170605185,-0.15897541018806666,-1.6653345369377348e-16
Common female-male cells,Occupation (ISCO-2),BEN,Benin,Lower middle income,Overall exposure,6.095473184846883,5.758303304320246,0.33716988052663716,-3.885780586188048e-16
Common female-male cells,Occupation (ISCO-2),BEN,Benin,Lower middle income,Substitution-only,4.681635768360543,6.114349483070647,-1.4327137147101052,1.1102230246251565e-15
Common female-male cells,Occupation (ISCO-2),BFA,Burkina Faso,Low income,Augmentation-only,-0.23925682615476754,-0.7852751197470821,0.5460182935923145,1.1102230246251565e-16
Common female-male cells,Occupation (ISCO-2),BFA,Burkina Faso,Low income,Overall exposure,1.3122087719766795,1.514012501783044,-0.20180372980636352,-8.881784197001252e-16
Common female-male cells,Occupation (ISCO-2),BFA,Burkina Faso,Low income,Substitution-only,1.3425604017218997,2.9090829583095172,-1.5665225565876182,6.661338147750939e-16
Common female-male cells,Occupation (ISCO-2),BGD,Bangladesh,Lower middle income,Augmentation-only,-0.20683443761939307,1.129460064992572,-1.3362945026119657,6.661338147750939e-16
Common female-male cells,Occupation (ISCO-2),BGD,Bangladesh,Lower middle income,Overall exposure,-5.481040422805694,-3.6944052742977367,-1.786635148507957,0
Common female-male cells,Occupation (ISCO-2),BGD,Bangladesh,Lower middle income,Substitution-only,-5.139677206082232,-6.048580514815669,0.908903308733435,1.6653345369377348e-15
Common female-male cells,Occupation (ISCO-2),BGR,Bulgaria,High income,Augmentation-only,0.7878261853340823,0.022750182907327287,0.7650760024267553,-3.3306690738754696e-16
Common female-male cells,Occupation (ISCO-2),BGR,Bulgaria,High income,Overall exposure,3.55765340744505,1.7186617372521085,1.8389916701929387,2.6645352591003757e-15
Common female-male cells,Occupation (ISCO-2),BGR,Bulgaria,High income,Substitution-only,2.2052992945613656,1.5091925839856082,0.6961067105757592,-1.7763568394002505e-15
Common female-male cells,Occupation (ISCO-2),BLR,Belarus,Upper middle income,Augmentation-only,1.304947019320081,0.5428393816245027,0.762107637695577,1.2212453270876722e-15
Common female-male cells,Occupation (ISCO-2),BLR,Belarus,Upper middle income,Overall exposure,2.995723491178424,0.8705748027979031,2.125148688380522,-1.3322676295501878e-15
Common female-male cells,Occupation (ISCO-2),BLR,Belarus,Upper middle income,Substitution-only,-0.977535841204599,-1.3066784146128503,0.3291425734082509,3.3306690738754696e-16
Common female-male cells,Occupation (ISCO-2),BOL,Bolivia,Lower middle income,Augmentation-only,-0.09837556211601949,-0.1593774479038643,0.061001885787844774,3.469446951953614e-17
Common female-male cells,Occupation (ISCO-2),BOL,Bolivia,Lower middle income,Overall exposure,3.1608850224468297,0.9604152511379365,2.2004697713088928,4.440892098500626e-16
Common female-male cells,Occupation (ISCO-2),BOL,Bolivia,Lower middle income,Substitution-only,1.9782048211276202,1.4133800289720695,0.5648247921555503,4.440892098500626e-16
Common female-male cells,Occupation (ISCO-2),BRA,Brazil,Upper middle income,Augmentation-only,-0.0019192803801980985,-0.1433705449228152,0.14145126454261714,-2.7755575615628914e-17
Common female-male cells,Occupation (ISCO-2),BRA,Brazil,Upper middle income,Overall exposure,0.44375473815466343,0.5163050474073834,-0.07255030925272143,1.4988010832439613e-15
Common female-male cells,Occupation (ISCO-2),BRA,Brazil,Upper middle income,Substitution-only,2.1867183165913926,1.8272010107831038,0.3595173058082885,2.7755575615628914e-16
Common female-male cells,Occupation (ISCO-2),CHE,Switzerland,High income,Augmentation-only,-0.743107436521719,-0.8158892507123359,0.07278181419061718,-2.636779683484747e-16
Common female-male cells,Occupation (ISCO-2),CHE,Switzerland,High income,Overall exposure,-1.497632518842957,-1.5025492982879312,0.004916779444974706,-4.440892098500626e-16
