iso3,source,ilostat_year,sex,code,emp,share
AFG,BA:15715,2020,SEX_F,13,2.813,0.0025538923025522583
AFG,BA:15715,2020,SEX_F,22,6.093,0.005531768858674337
AFG,BA:15715,2020,SEX_F,23,52.43,0.047600630438256276
AFG,BA:15715,2020,SEX_F,32,1.752,0.0015906218677822811
AFG,BA:15715,2020,SEX_F,33,1.28,0.0011620981682427625
AFG,BA:15715,2020,SEX_F,44,4.894,0.004443209715140687
AFG,BA:15715,2020,SEX_F,51,116.513,0.10578089365349139
AFG,BA:15715,2020,SEX_F,52,9.232,0.008381633038450922
AFG,BA:15715,2020,SEX_F,53,3.113,0.002826259060734156
AFG,BA:15715,2020,SEX_F,54,3.842,0.003488110283116167
AFG,BA:15715,2020,SEX_F,61,542.271,0.4923219810868523
AFG,BA:15715,2020,SEX_F,63,54.377,0.049368290698856794
AFG,BA:15715,2020,SEX_F,71,1.071,9.723493267093738e-4
AFG,BA:15715,2020,SEX_F,73,89.725,0.08146035792623582
AFG,BA:15715,2020,SEX_F,75,194.137,0.17625488444386342
AFG,BA:15715,2020,SEX_F,81,0.918,8.334422800366062e-4
AFG,BA:15715,2020,SEX_F,91,3.682,0.0033428480120858213
AFG,BA:15715,2020,SEX_F,92,0.693,6.291672114001831e-4
AFG,BA:15715,2020,SEX_F,93,7.301,0.006628499004953444
AFG,BA:15715,2020,SEX_F,95,1.602,0.0014544384886913324
AFG,BA:15715,2020,SEX_F,96,3.717,0.0033746241338737095
AFG,BA:15715,2020,SEX_M,01,41.231,0.008637175571735524
AFG,BA:15715,2020,SEX_M,02,9.791,0.0020510437782945484
AFG,BA:15715,2020,SEX_M,03,119.471,0.025027091332512304
AFG,BA:15715,2020,SEX_M,11,11.702,0.0024513649569607603
AFG,BA:15715,2020,SEX_M,12,30.498,0.006388799218713832
AFG,BA:15715,2020,SEX_M,13,16.593,0.0034759441745727134
AFG,BA:15715,2020,SEX_M,14,12.756,0.0026721595787892205
AFG,BA:15715,2020,SEX_M,21,23.836,0.004993226381312312
