task_id,Low income,Lower middle income,Upper middle income,High income
1,non_exposed,both,both,both
2,non_exposed,both,both,both
3,non_exposed,aug_only,aug_only,both
4,non_exposed,both,both,sub_only
5,both,both,sub_only,both
7,non_exposed,non_exposed,non_exposed,non_exposed
8,non_exposed,non_exposed,non_exposed,both
10,non_exposed,non_exposed,non_exposed,non_exposed
12,non_exposed,non_exposed,non_exposed,non_exposed
14,non_exposed,non_exposed,non_exposed,aug_only
15,non_exposed,non_exposed,non_exposed,both
16,non_exposed,non_exposed,non_exposed,non_exposed
17,non_exposed,both,both,both
19,non_exposed,non_exposed,non_exposed,both
20,non_exposed,non_exposed,aug_only,non_exposed
21,sub_only,sub_only,sub_only,sub_only
22,non_exposed,non_exposed,aug_only,non_exposed
23,both,both,sub_only,sub_only
24,non_exposed,both,both,both
26,non_exposed,non_exposed,non_exposed,aug_only
30,non_exposed,non_exposed,non_exposed,non_exposed
32,non_exposed,aug_only,non_exposed,aug_only
34,both,both,both,both
35,non_exposed,non_exposed,non_exposed,non_exposed
36,non_exposed,non_exposed,non_exposed,both
38,sub_only,sub_only,sub_only,sub_only
39,non_exposed,aug_only,both,both
40,both,both,both,both
41,non_exposed,non_exposed,non_exposed,aug_only
43,non_exposed,both,both,both
44,non_exposed,both,both,both
45,non_exposed,non_exposed,both,non_exposed
48,non_exposed,non_exposed,both,both
49,sub_only,both,both,both
50,non_exposed,non_exposed,non_exposed,non_exposed
51,non_exposed,both,aug_only,both
52,both,sub_only,sub_only,both
53,non_exposed,non_exposed,non_exposed,non_exposed
54,both,both,both,both
56,non_exposed,non_exposed,non_exposed,non_exposed
58,non_exposed,non_exposed,non_exposed,aug_only
59,non_exposed,non_exposed,non_exposed,non_exposed
60,non_exposed,non_exposed,non_exposed,aug_only
61,non_exposed,both,both,both
62,non_exposed,non_exposed,non_exposed,non_exposed
63,non_exposed,non_exposed,both,aug_only
66,both,both,sub_only,sub_only
68,sub_only,sub_only,sub_only,sub_only
72,non_exposed,non_exposed,non_exposed,non_exposed
76,non_exposed,non_exposed,non_exposed,non_exposed
77,sub_only,both,sub_only,sub_only
79,both,both,both,sub_only
80,both,both,both,both
81,both,both,both,sub_only
82,non_exposed,non_exposed,non_exposed,non_exposed
83,non_exposed,non_exposed,non_exposed,non_exposed
84,non_exposed,both,both,both
85,non_exposed,both,both,both
86,both,both,both,both
87,sub_only,sub_only,sub_only,sub_only
88,sub_only,sub_only,sub_only,sub_only
89,sub_only,both,both,both
90,non_exposed,both,non_exposed,non_exposed
91,non_exposed,both,both,both
92,non_exposed,both,both,both
93,non_exposed,aug_only,both,both
94,non_exposed,non_exposed,non_exposed,non_exposed
95,both,both,sub_only,sub_only
98,non_exposed,both,both,both
99,non_exposed,non_exposed,non_exposed,both
100,non_exposed,both,both,both
101,both,both,both,aug_only
102,non_exposed,non_exposed,aug_only,aug_only
103,non_exposed,both,both,both
105,both,both,both,both
106,non_exposed,non_exposed,aug_only,aug_only
108,non_exposed,non_exposed,non_exposed,non_exposed
111,non_exposed,non_exposed,non_exposed,both
130,non_exposed,both,both,both
134,both,both,both,both
136,non_exposed,non_exposed,non_exposed,aug_only
140,both,both,both,both
148,non_exposed,non_exposed,aug_only,aug_only
150,non_exposed,both,aug_only,both
152,non_exposed,both,both,aug_only
153,non_exposed,non_exposed,both,both
155,non_exposed,aug_only,both,both
173,non_exposed,non_exposed,non_exposed,non_exposed
174,both,both,both,both
175,non_exposed,both,both,both
176,non_exposed,non_exposed,aug_only,aug_only
177,non_exposed,non_exposed,non_exposed,both
178,both,both,both,both
180,non_exposed,non_exposed,non_exposed,non_exposed
182,non_exposed,both,both,both
184,non_exposed,non_exposed,both,aug_only
185,non_exposed,non_exposed,non_exposed,non_exposed
187,non_exposed,non_exposed,non_exposed,non_exposed
188,non_exposed,non_exposed,non_exposed,both
189,both,both,both,both
191,non_exposed,non_exposed,non_exposed,aug_only
193,non_exposed,non_exposed,non_exposed,non_exposed
194,non_exposed,non_exposed,both,aug_only
195,non_exposed,both,aug_only,both
196,non_exposed,non_exposed,aug_only,aug_only
197,non_exposed,non_exposed,non_exposed,non_exposed
198,non_exposed,non_exposed,non_exposed,both
199,non_exposed,aug_only,aug_only,non_exposed
200,non_exposed,non_exposed,non_exposed,non_exposed
202,non_exposed,aug_only,aug_only,both
203,non_exposed,non_exposed,both,both
204,non_exposed,aug_only,both,both
205,non_exposed,non_exposed,non_exposed,aug_only
207,non_exposed,both,both,both
208,non_exposed,both,both,both
209,non_exposed,non_exposed,non_exposed,non_exposed
211,non_exposed,non_exposed,non_exposed,non_exposed
212,non_exposed,both,both,both
214,non_exposed,non_exposed,non_exposed,non_exposed
215,non_exposed,non_exposed,non_exposed,non_exposed
216,non_exposed,non_exposed,non_exposed,non_exposed
217,non_exposed,non_exposed,aug_only,both
218,non_exposed,non_exposed,non_exposed,non_exposed
219,non_exposed,non_exposed,non_exposed,aug_only
220,non_exposed,non_exposed,non_exposed,non_exposed
222,non_exposed,both,both,both
225,both,both,both,both
227,non_exposed,non_exposed,aug_only,non_exposed
228,non_exposed,non_exposed,non_exposed,non_exposed
229,non_exposed,non_exposed,both,both
230,non_exposed,non_exposed,non_exposed,non_exposed
231,non_exposed,non_exposed,non_exposed,non_exposed
233,non_exposed,non_exposed,non_exposed,non_exposed
235,non_exposed,non_exposed,non_exposed,non_exposed
236,non_exposed,non_exposed,non_exposed,non_exposed
237,both,both,both,both
238,non_exposed,non_exposed,non_exposed,non_exposed
239,non_exposed,non_exposed,non_exposed,non_exposed
240,non_exposed,non_exposed,non_exposed,non_exposed
241,non_exposed,non_exposed,both,both
242,non_exposed,both,both,sub_only
243,non_exposed,non_exposed,non_exposed,non_exposed
244,non_exposed,non_exposed,non_exposed,both
245,non_exposed,non_exposed,both,both
246,non_exposed,both,both,both
249,non_exposed,non_exposed,non_exposed,non_exposed
250,non_exposed,non_exposed,non_exposed,non_exposed
251,non_exposed,non_exposed,non_exposed,non_exposed
252,non_exposed,non_exposed,non_exposed,non_exposed
253,non_exposed,non_exposed,non_exposed,non_exposed
254,sub_only,sub_only,sub_only,sub_only
255,non_exposed,non_exposed,aug_only,aug_only
256,non_exposed,non_exposed,non_exposed,non_exposed
257,non_exposed,non_exposed,non_exposed,non_exposed
258,non_exposed,non_exposed,non_exposed,non_exposed
259,non_exposed,non_exposed,non_exposed,non_exposed
260,non_exposed,both,both,both
261,non_exposed,non_exposed,non_exposed,non_exposed
262,non_exposed,non_exposed,non_exposed,non_exposed
264,non_exposed,non_exposed,aug_only,aug_only
265,non_exposed,non_exposed,non_exposed,non_exposed
267,non_exposed,non_exposed,non_exposed,non_exposed
268,non_exposed,non_exposed,non_exposed,both
269,non_exposed,non_exposed,non_exposed,non_exposed
270,sub_only,sub_only,sub_only,sub_only
271,non_exposed,non_exposed,non_exposed,both
272,non_exposed,non_exposed,non_exposed,non_exposed
273,non_exposed,non_exposed,non_exposed,non_exposed
275,non_exposed,non_exposed,non_exposed,non_exposed
277,non_exposed,non_exposed,both,non_exposed
278,non_exposed,non_exposed,non_exposed,non_exposed
279,non_exposed,non_exposed,aug_only,aug_only
280,non_exposed,non_exposed,non_exposed,non_exposed
281,non_exposed,non_exposed,non_exposed,non_exposed
282,non_exposed,non_exposed,non_exposed,non_exposed
284,non_exposed,both,aug_only,both
285,non_exposed,non_exposed,both,aug_only
286,non_exposed,non_exposed,aug_only,aug_only
287,non_exposed,non_exposed,non_exposed,non_exposed
288,non_exposed,non_exposed,non_exposed,non_exposed
289,non_exposed,non_exposed,non_exposed,non_exposed
290,non_exposed,non_exposed,non_exposed,non_exposed
291,non_exposed,non_exposed,non_exposed,non_exposed
292,non_exposed,both,both,both
293,non_exposed,non_exposed,non_exposed,non_exposed
294,both,both,both,both
295,both,sub_only,both,both
297,non_exposed,aug_only,non_exposed,both
299,non_exposed,both,both,both
301,both,sub_only,both,both
302,sub_only,both,sub_only,sub_only
303,both,both,sub_only,sub_only
304,non_exposed,aug_only,aug_only,aug_only
305,non_exposed,non_exposed,non_exposed,non_exposed
306,aug_only,both,both,both
308,non_exposed,aug_only,both,both
309,non_exposed,both,aug_only,aug_only
310,both,both,both,both
312,non_exposed,both,both,sub_only
313,both,both,both,both
314,non_exposed,aug_only,aug_only,aug_only
316,non_exposed,non_exposed,non_exposed,non_exposed
317,non_exposed,non_exposed,non_exposed,non_exposed
319,non_exposed,aug_only,both,both
320,non_exposed,non_exposed,non_exposed,non_exposed
321,non_exposed,non_exposed,both,both
322,aug_only,aug_only,both,both
323,both,both,both,both
324,non_exposed,both,both,both
325,non_exposed,non_exposed,non_exposed,non_exposed
326,non_exposed,non_exposed,aug_only,both
327,non_exposed,non_exposed,both,both
328,non_exposed,non_exposed,non_exposed,non_exposed
329,non_exposed,non_exposed,non_exposed,non_exposed
330,non_exposed,non_exposed,non_exposed,non_exposed
331,non_exposed,non_exposed,non_exposed,non_exposed
332,non_exposed,non_exposed,non_exposed,non_exposed
333,aug_only,aug_only,aug_only,both
334,both,both,both,both
335,non_exposed,non_exposed,both,both
336,non_exposed,non_exposed,non_exposed,non_exposed
337,non_exposed,both,both,both
338,non_exposed,non_exposed,aug_only,aug_only
339,non_exposed,non_exposed,non_exposed,non_exposed
340,non_exposed,non_exposed,non_exposed,non_exposed
343,non_exposed,non_exposed,non_exposed,non_exposed
344,non_exposed,non_exposed,non_exposed,non_exposed
345,non_exposed,non_exposed,non_exposed,non_exposed
347,non_exposed,both,both,both
348,non_exposed,non_exposed,aug_only,aug_only
350,non_exposed,both,both,aug_only
351,non_exposed,non_exposed,non_exposed,aug_only
352,non_exposed,non_exposed,non_exposed,non_exposed
353,non_exposed,non_exposed,non_exposed,non_exposed
354,non_exposed,non_exposed,non_exposed,non_exposed
355,non_exposed,non_exposed,non_exposed,non_exposed
