pair,state,non_exposed,sub_only,both,aug_only
Low income -> Lower middle income,non_exposed,0.7218639148661722,0.07102547565301516,0.17518542405675588,0.03192518542405676
Low income -> Lower middle income,sub_only,0.02887909936368086,0.8032305433186491,0.16691140479686736,0.0009789525208027412
Low income -> Lower middle income,both,0.03240506329113924,0.17113924050632912,0.759493670886076,0.0369620253164557
Low income -> Lower middle income,aug_only,0.16339869281045752,0.026143790849673203,0.5620915032679739,0.24836601307189543
Lower middle income -> Upper middle income,non_exposed,0.7231377719182597,0.052845528455284556,0.15403208086134915,0.06998461876510657
Lower middle income -> Upper middle income,sub_only,0.018156424581005588,0.8093575418994413,0.17143854748603352,0.001047486033519553
Lower middle income -> Upper middle income,both,0.03146341463414634,0.16975609756097562,0.7421951219512195,0.05658536585365854
Lower middle income -> Upper middle income,aug_only,0.1237721021611002,0.005893909626719057,0.5009823182711198,0.3693516699410609
Upper middle income -> High income,non_exposed,0.7891883973044242,0.037210665104014065,0.10210958101377088,0.0714913565777908
Upper middle income -> High income,sub_only,0.026014865637507146,0.8313321898227558,0.14208118925100058,0.0005717552887364208
Upper middle income -> High income,both,0.045655942978231556,0.15661722211519938,0.716432286649971,0.08129454825659796
Upper middle income -> High income,aug_only,0.1660377358490566,0.005660377358490566,0.39622641509433965,0.4320754716981132
