iso3,country_name,region,income_level,mean_task_exposure,share_exposed,share_high_exposure,substitution_share,augmentation_share,sub_only_share,both_share,aug_only_share,neither_share,substitution_minus_augmentation,task_exposure_sd,gdp,population,gdp_per_capita,log_gdp_per_capita,log_population,goods_trade_openness,services_trade_openness,goods_trade_automation_intensity,goods_trade_value_per_capita_exposed,goods_autonomous_execution_trade_share,goods_supervised_machine_trade_share,goods_human_uses_tool_trade_share,llm_dominant_share,robotics_physical_dominant_share,software_rules_dominant_share,domain_tools_dominant_share,turnkey_share,configure_and_train_share,integration_and_data_share,capex_and_governance_share,manufacturing_value_added_pct_gdp,trade_pct_gdp,internet_users_pct,fixed_broadband_per_100,sub_only_share_exposed,aug_only_share_exposed,both_share_exposed,country_name_owid,year,informal_share,owid_gdp_pc,owid_population,owid_region,informal_share_pp,share_exposed_pp,sub_only_share_pp,aug_only_share_pp,both_share_pp,substitution_share_pp,augmentation_share_pp,sub_minus_aug_pp,sub_only_share_exposed_pp,aug_only_share_exposed_pp
IND,India,South Asia,Lower middle income,1.380752247699101,0.5008245996701601,0.10778315688673724,0.18220992711602915,0.03995318401872639,0.18220992711602915,0.2789274884290046,0.03995318401872639,0.4989094004362398,0.14225674309730277,0.952395561235063,3909891533858.08,1450935791,2694.737808599609,7.899056190521105,21.09547455831868,0.119376953054356,NA,1.3974982578736452,185.90617342900737,3.9924978581174e-4,0.00544623494464779,0.9216162061578812,0,0,0,0,0,0,0,0,12.6085653310554,44.6492935069676,55.9,2.74535,0.36381984278733803,0.07977480348417251,0.5569364775865732,India,2023,88.76,9301.756,1438069597,Asia,88.76,50.082459967016014,18.220992711602914,3.9953184018726393,27.89274884290046,18.220992711602914,3.9953184018726393,14.225674309730277,36.3819842787338,7.977480348417251
IDN,Indonesia,East Asia & Pacific,Upper middle income,1.3105081138600692,0.47315775472200056,0.08762968874700719,0.17110933758978453,0.03463687150837988,0.17110933758978453,0.26762436818302743,0.03463687150837988,0.5266294227188082,0.13647246608140465,0.9433508688706568,1396300098190.97,283487931,4925.430487518603,8.502166958419496,19.46268010879732,0.2103460319880535,NA,1.4559049661399737,330.88574113583695,5.0048372971994e-4,0.00160551341098892,0.9101373517474302,0,0,0,0,0,0,0,0,18.9840269851832,42.572647301834,72.7808,4.81664,0.36163274485550434,0.0732036433149668,0.5656134038007422,Indonesia,2023,81.19,13889.975,281190068,Asia,81.19,47.31577547220006,17.110933758978454,3.463687150837988,26.762436818302742,17.110933758978454,3.463687150837988,13.647246608140465,36.16327448555043,7.32036433149668
PAK,Pakistan,South Asia,Lower middle income,1.086556365377454,0.3826674469330213,0.04154918338032665,0.13417034633186148,0.02505718997712401,0.13417034633186148,0.22343991062403576,0.02505718997712401,0.6173325530669788,0.10911315635473746,0.9151411135024696,371570000121.266,251269164,1478.772779779957,7.298967819927931,19.342035289055666,0.0986375805421283,NA,0.984753847721948,4.358671356903946,5.434400363721261e-5,0.0030583288652608,0.9181524762550276,0,0,0,0,0,0,0,0,13.1538180941054,27.5784683520695,27.3759,1.35622,0.35061865702766576,0.06548032809676073,0.5839010148755734,Pakistan,2021,84.27,5367.2734,239477805,Asia,84.27,38.26674469330213,13.417034633186148,2.505718997712401,22.343991062403575,13.417034633186148,2.505718997712401,10.911315635473747,35.061865702766575,6.548032809676073
NGA,Nigeria,Sub-Saharan Africa,Lower middle income,0.963026014789594,0.33271266691493323,0.02846198861520455,0.11650795339681864,0.01931159227536309,0.11650795339681864,0.1968931212427515,0.01931159227536309,0.6672873330850667,0.09719636112145556,0.9027071495888084,252261880141.151,232679478,1084.1604180543632,6.988561158185597,19.26517243357987,0.24901682375415193,NA,1.1878637521055782,5.451200298807615,1.4610130493454e-4,0.00118505328558961,0.9401174685297742,0,0,0,0,0,0,0,0,8.65727818020008,NA,39.2136,0.0512838,0.35017588743204353,0.05804285257435241,0.5917812599936041,Nigeria,2023,92.96,7843.8345,227882949,Africa,92.96,33.271266691493324,11.650795339681865,1.931159227536309,19.689312124275148,11.650795339681865,1.931159227536309,9.719636112145556,35.01758874320436,5.804285257435241
BRA,Brazil,Latin America & Caribbean,Upper middle income,1.469533287211963,0.5355223245170561,0.1321377255068916,0.20334202543770952,0.04331860997285935,0.20334202543770952,0.28907455696876166,0.04331860997285935,0.46426480762066946,0.1600234154648502,0.953729917770038,2185821648943.86,211998573,10310.54887781655,9.24092281301553,19.17209010148156,0.16054907953883715,NA,1.5878726383292014,617.0344115618175,8.2336711388544e-4,0.00352302243452933,0.909746293686129,0,0,0,0,0,0,0,0,12.1108065155746,35.5845239385389,84.4635,22.4192,0.3797078406041935,0.08089039053960052,0.5397992646328132,Brazil,2024,36.5,19652.365,211998565,South America,36.5,53.552232451705606,20.334202543770953,4.3318609972859345,28.907455696876166,20.334202543770953,4.3318609972859345,16.00234154648502,37.97078406041935,8.089039053960052
BGD,Bangladesh,South Asia,Lower middle income,0.9677608128956748,0.33308506676597327,0.02537638984944406,0.11831675267329891,0.01798159280736287,0.11831675267329891,0.1968399212640315,0.01798159280736287,0.6668617332553067,0.10033515986593604,0.8937983636418788,450119432068.852,173562364,2593.416116807743,7.860731249643073,18.972047539451584,0.12774634254004927,NA,0.7567676976864408,2.341330600912995,2.260445673857437e-5,0.00157208252018329,0.924276168216459,0,0,0,0,0,0,0,0,21.8929603584194,26.7780758040478,44.5027,7.89246,0.35521482191343234,0.053984986423893926,0.590959910557419,Bangladesh,2022,84.91,7888.164,169384891,Asia,84.91,33.308506676597325,11.831675267329892,1.798159280736287,19.683992126403147,11.831675267329892,1.798159280736287,10.033515986593605,35.52148219134323,5.398498642389392
RUS,Russian Federation,Europe & Central Asia,High income,1.474140683196765,0.5404916462700862,0.13541555815685857,0.21395126104075768,0.0398531446206236,0.21395126104075768,0.286793657550282,0.0398531446206236,0.4594019367883367,0.17409811642013406,0.9610907628879528,2173835806671.66,143533851,15145.108917001467,9.62543291504997,18.782081460815373,0.1867176248078551,NA,1.6482960613850446,269.71021154445305,5.5720800857083e-4,0.00230667745590003,0.9057499632189968,0,0,0,0,0,0,0,0,13.2536575793102,39.5081647660396,94.365,25.8239,0.39584563890529634,0.07373498720220516,0.5306162630439063,Russia,2023,17.18,39887.34,145440502,Europe,17.18,54.049164627008615,21.395126104075768,3.98531446206236,28.6793657550282,21.395126104075768,3.98531446206236,17.409811642013405,39.58456389052964,7.373498720220516
ETH,Ethiopia,Sub-Saharan Africa,Not classified,0.7179869128052349,0.22083311166675537,0.00930999627600149,0.0868755652497739,0.00968239612704154,0.0868755652497739,0.12427515028993988,0.00968239612704154,0.7791668883332447,0.07719316912273234,0.825462242796822,149740297952.986,132059767,1133.8827968171863,7.033403125169596,18.698765158379604,0.02628519364396999,NA,0.7149744865648744,1.3149495939970877,9.63655407380473e-6,0.00180966168220999,0.8508755250433446,0,0,0,0,0,0,0,0,4.39391406328772,17.4004358583187,16.6981,0.451577,0.3933991809202601,0.043844856661045484,0.5627559624186942,Ethiopia,2021,85.21,2588.413,122138588,Africa,85.21,22.083311166675536,8.68755652497739,0.9682396127041539,12.427515028993987,8.68755652497739,0.9682396127041539,7.719316912273235,39.33991809202601,4.384485666104548
MEX,Mexico,Latin America & Caribbean,Upper middle income,1.416631198127261,0.5158012343051713,0.11529048733773144,0.19184932964460524,0.03926367312194084,0.19184932964460524,0.2847946371568419,0.03926367312194084,0.4840923600766121,0.1525856565226644,0.9500271914956172,1856365616165.94,130861007,14185.78122485287,9.559995419737916,18.689646302623085,0.3343499142135145,NA,1.5766274879172322,8118.575460549528,7.6381045384991e-4,0.00182176372029275,0.9178153133878943,0,0,0,0,0,0,0,0,19.8017537671375,74.5889079825143,81.1832,20.0882,0.37194430118617844,0.07612171222279525,0.5521402784940691,Mexico,2023,56.33,21917.248,129739761,North America,56.33,51.58012343051713,19.184932964460526,3.926367312194084,28.47946371568419,19.184932964460526,3.926367312194084,15.258565652266439,37.194430118617845,7.612171222279525
EGY,"Egypt, Arab Rep.",Middle East & North Africa,Lower middle income,1.2836622865350853,0.46331861467255414,0.07841676863329254,0.16704793318082672,0.03596318561472575,0.16704793318082672,0.2604670958131617,0.03596318561472575,0.5365217853912858,0.13108474756610097,0.9360436552537922,389059911003.566,116538258,3338.473713958947,8.113269009658703,18.57373017191003,0.13389252537643886,NA,1.1389527752977964,68.63160448133694,4.25464331902211e-5,0.00159830926789094,0.916132893930024,0,0,0,0,0,0,0,0,13.8934615296088,39.6007520873733,72.6899,10.8645,0.36054656102882077,0.07762085199219197,0.562177058215639,Egypt,2023,71.33,16691.387,114535772,Africa,71.33,46.331861467255415,16.70479331808267,3.5963185614725752,26.04670958131617,16.70479331808267,3.5963185614725752,13.108474756610097,36.05465610288208,7.7620851992191975
