onet_task_code,task_id,dwa_id,iwa_id,depth,path_segments,hierarchy_path
4.A.4.b.4.I09:4.A.4.b.4.I09.D02:8823,8823,4.A.4.b.4.I09.D02,4.A.4.b.4.I09,4,"[""Guiding, Directing, and Motivating Subordinates"", ""Manage budgets or finances."", ""Direct financial operations."", ""Direct or coordinate an organization's financial or budget activities to fund operations, maximize investments, or increase efficiency.""]","Guiding, Directing, and Motivating Subordinates ; Manage budgets or finances. ; Direct financial operations. ; Direct or coordinate an organization's financial or budget activities to fund operations, maximize investments, or increase efficiency."
4.A.4.a.2.I03:4.A.4.a.2.I03.D14:8824,8824,4.A.4.a.2.I03.D14,4.A.4.a.2.I03,4,"[""Communicating with Supervisors, Peers, or Subordinates"", ""Communicate with others about operational plans or activities."", ""Confer with organizational members to accomplish work activities."", ""Confer with board members, organization officials, or staff members to discuss issues, coordinate activities, or resolve problems.""]","Communicating with Supervisors, Peers, or Subordinates ; Communicate with others about operational plans or activities. ; Confer with organizational members to accomplish work activities. ; Confer with board members, organization officials, or staff members to discuss issues, coordinate activities, or resolve problems."
4.A.4.b.4.I09:4.A.4.b.4.I09.D04:8827,8827,4.A.4.b.4.I09.D04,4.A.4.b.4.I09,4,"[""Guiding, Directing, and Motivating Subordinates"", ""Manage budgets or finances."", ""Prepare operational budgets."", ""Prepare budgets for approval, including those for funding or implementation of programs.""]","Guiding, Directing, and Motivating Subordinates ; Manage budgets or finances. ; Prepare operational budgets. ; Prepare budgets for approval, including those for funding or implementation of programs."
4.A.2.b.1.I09:4.A.2.b.1.I09.D01:8826,8826,4.A.2.b.1.I09.D01,4.A.2.b.1.I09,4,"[""Making Decisions and Solving Problems"", ""Implement procedures or processes."", ""Implement organizational process or policy changes."", ""Direct, plan, or implement policies, objectives, or activities of organizations or businesses to ensure continuing operations, to maximize returns on investments, or to increase productivity.""]","Making Decisions and Solving Problems ; Implement procedures or processes. ; Implement organizational process or policy changes. ; Direct, plan, or implement policies, objectives, or activities of organizations or businesses to ensure continuing operations, to maximize returns on investments, or to increase productivity."
4.A.2.b.4.I01:4.A.2.b.4.I01.D01:8826,8826,4.A.2.b.4.I01.D01,4.A.2.b.4.I01,4,"[""Developing Objectives and Strategies"", ""Develop organizational policies, systems, or processes."", ""Develop organizational policies or programs."", ""Direct, plan, or implement policies, objectives, or activities of organizations or businesses to ensure continuing operations, to maximize returns on investments, or to increase productivity.""]","Developing Objectives and Strategies ; Develop organizational policies, systems, or processes. ; Develop organizational policies or programs. ; Direct, plan, or implement policies, objectives, or activities of organizations or businesses to ensure continuing operations, to maximize returns on investments, or to increase productivity."
4.A.4.b.4.I12:4.A.4.b.4.I12.D39:8826,8826,4.A.4.b.4.I12.D39,4.A.4.b.4.I12,4,"[""Guiding, Directing, and Motivating Subordinates"", ""Direct organizational operations, activities, or procedures."", ""Direct organizational operations, projects, or services."", ""Direct, plan, or implement policies, objectives, or activities of organizations or businesses to ensure continuing operations, to maximize returns on investments, or to increase productivity.""]","Guiding, Directing, and Motivating Subordinates ; Direct organizational operations, activities, or procedures. ; Direct organizational operations, projects, or services. ; Direct, plan, or implement policies, objectives, or activities of organizations or businesses to ensure continuing operations, to maximize returns on investments, or to increase productivity."
4.A.3.b.6.I01:4.A.3.b.6.I01.D02:8834,8834,4.A.3.b.6.I01.D02,4.A.3.b.6.I01,4,"[""Documenting/Recording Information"", ""Prepare financial documents, reports, or budgets."", ""Prepare financial documents, reports, or budgets."", ""Prepare or present reports concerning activities, expenses, budgets, government statutes or rulings, or other items affecting businesses or program services.""]","Documenting/Recording Information ; Prepare financial documents, reports, or budgets. ; Prepare financial documents, reports, or budgets. ; Prepare or present reports concerning activities, expenses, budgets, government statutes or rulings, or other items affecting businesses or program services."
4.A.3.b.6.I15:4.A.3.b.6.I15.D06:8834,8834,4.A.3.b.6.I15.D06,4.A.3.b.6.I15,4,"[""Documenting/Recording Information"", ""Prepare reports of operational or procedural activities."", ""Prepare operational progress or status reports."", ""Prepare or present reports concerning activities, expenses, budgets, government statutes or rulings, or other items affecting businesses or program services.""]","Documenting/Recording Information ; Prepare reports of operational or procedural activities. ; Prepare operational progress or status reports. ; Prepare or present reports concerning activities, expenses, budgets, government statutes or rulings, or other items affecting businesses or program services."
4.A.4.a.7.I03:4.A.4.a.7.I03.D01:8836,8836,4.A.4.a.7.I03.D01,4.A.4.a.7.I03,4,"[""Resolving Conflicts and Negotiating with Others"", ""Resolve personnel or operational problems."", ""Resolve employee or contractor problems."", ""Implement corrective action plans to solve organizational or departmental problems.""]",Resolving Conflicts and Negotiating with Others ; Resolve personnel or operational problems. ; Resolve employee or contractor problems. ; Implement corrective action plans to solve organizational or departmental problems.
4.A.2.a.4.I07:4.A.2.a.4.I07.D09:8825,8825,4.A.2.a.4.I07.D09,4.A.2.a.4.I07,4,"[""Analyzing Data or Information"", ""Analyze data to improve operations."", ""Analyze data to assess operational or project effectiveness."", ""Analyze operations to evaluate performance of a company or its staff in meeting objectives or to determine areas of potential cost reduction, program improvement, or policy change.""]","Analyzing Data or Information ; Analyze data to improve operations. ; Analyze data to assess operational or project effectiveness. ; Analyze operations to evaluate performance of a company or its staff in meeting objectives or to determine areas of potential cost reduction, program improvement, or policy change."
4.A.4.b.4.I12:4.A.4.b.4.I12.D03:8828,8828,4.A.4.b.4.I12.D03,4.A.4.b.4.I12,4,"[""Guiding, Directing, and Motivating Subordinates"", ""Direct organizational operations, activities, or procedures."", ""Direct sales, marketing, or customer service activities."", ""Direct or coordinate activities of businesses or departments concerned with production, pricing, sales, or distribution of products.""]","Guiding, Directing, and Motivating Subordinates ; Direct organizational operations, activities, or procedures. ; Direct sales, marketing, or customer service activities. ; Direct or coordinate activities of businesses or departments concerned with production, pricing, sales, or distribution of products."
4.A.4.b.4.I12:4.A.4.b.4.I12.D39:8828,8828,4.A.4.b.4.I12.D39,4.A.4.b.4.I12,4,"[""Guiding, Directing, and Motivating Subordinates"", ""Direct organizational operations, activities, or procedures."", ""Direct organizational operations, projects, or services."", ""Direct or coordinate activities of businesses or departments concerned with production, pricing, sales, or distribution of products.""]","Guiding, Directing, and Motivating Subordinates ; Direct organizational operations, activities, or procedures. ; Direct organizational operations, projects, or services. ; Direct or coordinate activities of businesses or departments concerned with production, pricing, sales, or distribution of products."
4.A.4.b.4.I07:4.A.4.b.4.I07.D04:8832,8832,4.A.4.b.4.I07.D04,4.A.4.b.4.I07,4,"[""Guiding, Directing, and Motivating Subordinates"", ""Manage human resources activities."", ""Manage human resources activities."", ""Direct human resources activities, including the approval of human resource plans or activities, the selection of directors or other high-level staff, or establishment or organization of major departments.""]","Guiding, Directing, and Motivating Subordinates ; Manage human resources activities. ; Manage human resources activities. ; Direct human resources activities, including the approval of human resource plans or activities, the selection of directors or other high-level staff, or establishment or organization of major departments."
4.A.4.b.4.I12:4.A.4.b.4.I12.D39:8831,8831,4.A.4.b.4.I12.D39,4.A.4.b.4.I12,4,"[""Guiding, Directing, and Motivating Subordinates"", ""Direct organizational operations, activities, or procedures."", ""Direct organizational operations, projects, or services."", ""Appoint department heads or managers and assign or delegate responsibilities to them.""]","Guiding, Directing, and Motivating Subordinates ; Direct organizational operations, activities, or procedures. ; Direct organizational operations, projects, or services. ; Appoint department heads or managers and assign or delegate responsibilities to them."
4.A.4.b.4.I13:4.A.4.b.4.I13.D02:8831,8831,4.A.4.b.4.I13.D02,4.A.4.b.4.I13,4,"[""Guiding, Directing, and Motivating Subordinates"", ""Assign work to others."", ""Prepare staff schedules or work assignments."", ""Appoint department heads or managers and assign or delegate responsibilities to them.""]","Guiding, Directing, and Motivating Subordinates ; Assign work to others. ; Prepare staff schedules or work assignments. ; Appoint department heads or managers and assign or delegate responsibilities to them."
4.A.4.a.1.I02:4.A.4.a.1.I02.D03:8843,8843,4.A.4.a.1.I02.D03,4.A.4.a.1.I02,4,"[""Interpreting the Meaning of Information for Others"", ""Explain regulations, policies, or procedures."", ""Communicate organizational policies and procedures."", ""Interpret and explain policies, rules, regulations, or laws to organizations, government or corporate officials, or individuals.""]","Interpreting the Meaning of Information for Others ; Explain regulations, policies, or procedures. ; Communicate organizational policies and procedures. ; Interpret and explain policies, rules, regulations, or laws to organizations, government or corporate officials, or individuals."
4.A.2.a.4.I07:4.A.2.a.4.I07.D12:8830,8830,4.A.2.a.4.I07.D12,4.A.2.a.4.I07,4,"[""Analyzing Data or Information"", ""Analyze data to improve operations."", ""Analyze data to inform operational decisions or activities."", ""Review reports submitted by staff members to recommend approval or to suggest changes.""]",Analyzing Data or Information ; Analyze data to improve operations. ; Analyze data to inform operational decisions or activities. ; Review reports submitted by staff members to recommend approval or to suggest changes.
4.A.4.a.7.I02:4.A.4.a.7.I02.D04:8829,8829,4.A.4.a.7.I02.D04,4.A.4.a.7.I02,4,"[""Resolving Conflicts and Negotiating with Others"", ""Negotiate contracts or agreements."", ""Negotiate contracts for transportation, distribution, or logistics services."", ""Negotiate or approve contracts or agreements with suppliers, distributors, federal or state agencies, or other organizational entities.""]","Resolving Conflicts and Negotiating with Others ; Negotiate contracts or agreements. ; Negotiate contracts for transportation, distribution, or logistics services. ; Negotiate or approve contracts or agreements with suppliers, distributors, federal or state agencies, or other organizational entities."
4.A.2.b.4.I01:4.A.2.b.4.I01.D03:8835,8835,4.A.2.b.4.I01.D03,4.A.2.b.4.I01,4,"[""Developing Objectives and Strategies"", ""Develop organizational policies, systems, or processes."", ""Establish organizational guidelines or policies."", ""Establish departmental responsibilities and coordinate functions among departments and sites.""]","Developing Objectives and Strategies ; Develop organizational policies, systems, or processes. ; Establish organizational guidelines or policies. ; Establish departmental responsibilities and coordinate functions among departments and sites."
4.A.4.a.2.I03:4.A.4.a.2.I03.D09:8835,8835,4.A.4.a.2.I03.D09,4.A.4.a.2.I03,4,"[""Communicating with Supervisors, Peers, or Subordinates"", ""Communicate with others about operational plans or activities."", ""Liaise between departments or other groups to improve function or communication."", ""Establish departmental responsibilities and coordinate functions among departments and sites.""]","Communicating with Supervisors, Peers, or Subordinates ; Communicate with others about operational plans or activities. ; Liaise between departments or other groups to improve function or communication. ; Establish departmental responsibilities and coordinate functions among departments and sites."
4.A.4.a.3.I02:4.A.4.a.3.I02.D03:8839,8839,4.A.4.a.3.I02.D03,4.A.4.a.3.I02,4,"[""Communicating with People Outside the Organization"", ""Provide information or assistance to the public."", ""Present information to the public."", ""Deliver speeches, write articles, or present information at meetings or conventions to promote services, exchange ideas, or accomplish objectives.""]","Communicating with People Outside the Organization ; Provide information or assistance to the public. ; Present information to the public. ; Deliver speeches, write articles, or present information at meetings or conventions to promote services, exchange ideas, or accomplish objectives."
4.A.4.a.2.I03:4.A.4.a.2.I03.D09:8840,8840,4.A.4.a.2.I03.D09,4.A.4.a.2.I03,4,"[""Communicating with Supervisors, Peers, or Subordinates"", ""Communicate with others about operational plans or activities."", ""Liaise between departments or other groups to improve function or communication."", ""Serve as liaisons between organizations, shareholders, and outside organizations.""]","Communicating with Supervisors, Peers, or Subordinates ; Communicate with others about operational plans or activities. ; Liaise between departments or other groups to improve function or communication. ; Serve as liaisons between organizations, shareholders, and outside organizations."
4.A.4.b.4.I09:4.A.4.b.4.I09.D02:8837,8837,4.A.4.b.4.I09.D02,4.A.4.b.4.I09,4,"[""Guiding, Directing, and Motivating Subordinates"", ""Manage budgets or finances."", ""Direct financial operations."", ""Coordinate the development or implementation of budgetary control systems, recordkeeping systems, or other administrative control processes.""]","Guiding, Directing, and Motivating Subordinates ; Manage budgets or finances. ; Direct financial operations. ; Coordinate the development or implementation of budgetary control systems, recordkeeping systems, or other administrative control processes."
