quarter,country,rank
2025-01-01,SC,1
2025-01-01,SG,2
2025-01-01,LU,3
2025-01-01,MT,4
2025-01-01,IL,5
2025-01-01,NL,6
2025-01-01,IS,7
2025-01-01,EE,8
2025-01-01,LT,9
2025-01-01,CH,10
2025-01-01,LV,11
2025-01-01,CY,12
2025-01-01,CA,13
2025-01-01,AE,14
2025-01-01,MD,15
2025-01-01,FI,16
2025-01-01,NO,17
2025-01-01,SE,18
2025-01-01,DK,19
2025-01-01,BE,20
2025-01-01,ES,21
2025-01-01,PT,22
2025-01-01,ME,23
2025-01-01,AT,24
2025-01-01,CZ,25
2025-01-01,DE,26
2025-01-01,FR,27
2025-01-01,KZ,28
2025-01-01,IE,29
2025-01-01,AU,30
2025-01-01,SI,31
2025-01-01,GE,32
2025-01-01,GP,33
2025-01-01,PL,34
2025-01-01,US,35
2025-01-01,RE,36
2025-01-01,GB,37
2025-01-01,QA,38
2025-01-01,PR,39
2025-01-01,AM,40
2025-01-01,TW,41
2025-01-01,SK,42
2025-01-01,HR,43
2025-01-01,BG,44
2025-01-01,NZ,45
2025-01-01,LB,46
2025-01-01,MQ,47
2025-01-01,BN,48
2025-01-01,AL,49
2025-01-01,GR,50
2025-01-01,MY,51
2025-01-01,BH,52
2025-01-01,RO,53
2025-01-01,HU,54
2025-01-01,IT,55
2025-01-01,UA,56
2025-01-01,KR,57
2025-01-01,MU,58
2025-01-01,RS,59
2025-01-01,CR,60
2025-01-01,UY,61
2025-01-01,MV,62
2025-01-01,EC,63
2025-01-01,KG,64
2025-01-01,PH,65
2025-01-01,SA,66
2025-01-01,TN,67
2025-01-01,MK,68
2025-01-01,DO,69
2025-01-01,BA,70
2025-01-01,MN,71
2025-01-01,AZ,72
2025-01-01,CL,73
2025-01-01,TT,74
2025-01-01,PA,75
2025-01-01,CO,76
2025-01-01,MA,77
2025-01-01,PE,78
2025-01-01,BR,79
2025-01-01,VN,80
2025-01-01,UZ,81
2025-01-01,OM,82
2025-01-01,PS,83
2025-01-01,KW,84
2025-01-01,JO,85
2025-01-01,DZ,86
2025-01-01,MX,87
2025-01-01,TR,88
2025-01-01,GY,89
2025-01-01,JM,90
2025-01-01,BO,91
2025-01-01,AR,92
2025-01-01,SV,93
2025-01-01,TH,94
2025-01-01,BT,95
2025-01-01,JP,96
2025-01-01,LY,97
2025-01-01,LK,98
2025-01-01,NI,99
2025-01-01,NP,100
2025-01-01,PY,101
2025-01-01,ID,102
2025-01-01,HN,103
2025-01-01,EG,104
2025-01-01,BW,105
2025-01-01,GA,106
2025-01-01,IQ,107
2025-01-01,GT,108
2025-01-01,NA,109
2025-01-01,ZA,110
2025-01-01,KE,111
2025-01-01,KH,112
2025-01-01,IN,113
2025-01-01,PK,114
2025-01-01,GH,115
2025-01-01,SN,116
2025-01-01,BD,117
2025-01-01,SO,118
2025-01-01,LA,119
2025-01-01,HT,120
2025-01-01,MR,121
2025-01-01,TJ,122
2025-01-01,RW,123
2025-01-01,NG,124
2025-01-01,CI,125
2025-01-01,AF,126
2025-01-01,BJ,127
2025-01-01,TG,128
2025-01-01,CG,129
2025-01-01,ZM,130
2025-01-01,MG,131
2025-01-01,YE,132
2025-01-01,AO,133
2025-01-01,CM,134
2025-01-01,TZ,135
2025-01-01,MM,136
2025-01-01,MZ,137
2025-01-01,SL,138
2025-01-01,PG,139
2025-01-01,BF,140
2025-01-01,UG,141
2025-01-01,ZW,142
2025-01-01,GN,143
2025-01-01,MW,144
2025-01-01,ET,145
2025-01-01,ML,146
2025-01-01,SD,147
2025-01-01,CD,148
2025-04-01,SC,1
2025-04-01,SG,2
2025-04-01,IL,3
2025-04-01,LU,4
2025-04-01,MT,5
2025-04-01,NL,6
2025-04-01,LT,7
2025-04-01,CY,8
2025-04-01,LV,9
2025-04-01,CH,10
2025-04-01,AE,11
2025-04-01,EE,12
2025-04-01,IS,13
