month,country,work_related,share_of_messages
2024-07-01,AE,0,0.347
2024-07-01,AE,1,0.653
2024-07-01,AF,0,0.643
2024-07-01,AF,1,0.357
2024-07-01,AL,0,0.474
2024-07-01,AL,1,0.526
2024-07-01,AM,0,0.473
2024-07-01,AM,1,0.527
2024-07-01,AO,0,0.565
2024-07-01,AO,1,0.435
2024-07-01,AR,0,0.610
2024-07-01,AR,1,0.390
2024-07-01,AT,0,0.459
2024-07-01,AT,1,0.541
2024-07-01,AU,0,0.398
2024-07-01,AU,1,0.602
2024-07-01,AZ,0,0.658
2024-07-01,AZ,1,0.342
2024-07-01,BA,0,0.562
2024-07-01,BA,1,0.438
2024-07-01,BD,0,0.578
2024-07-01,BD,1,0.422
2024-07-01,BE,0,0.529
2024-07-01,BE,1,0.471
2024-07-01,BF,0,0.447
2024-07-01,BF,1,0.553
2024-07-01,BG,0,0.555
2024-07-01,BG,1,0.445
2024-07-01,BJ,0,0.518
2024-07-01,BJ,1,0.482
2024-07-01,BO,0,0.628
2024-07-01,BO,1,0.372
2024-07-01,BR,0,0.501
2024-07-01,BR,1,0.499
2024-07-01,CA,0,0.439
2024-07-01,CA,1,0.561
2024-07-01,CD,0,0.647
2024-07-01,CD,1,0.353
2024-07-01,CH,0,0.446
2024-07-01,CH,1,0.554
2024-07-01,CI,0,0.545
2024-07-01,CI,1,0.455
2024-07-01,CL,0,0.524
2024-07-01,CL,1,0.476
2024-07-01,CM,0,0.514
2024-07-01,CM,1,0.486
2024-07-01,CO,0,0.555
2024-07-01,CO,1,0.445
2024-07-01,CR,0,0.478
2024-07-01,CR,1,0.522
2024-07-01,CY,0,0.425
2024-07-01,CY,1,0.575
2024-07-01,CZ,0,0.567
2024-07-01,CZ,1,0.433
2024-07-01,DE,0,0.482
2024-07-01,DE,1,0.518
2024-07-01,DK,0,0.504
2024-07-01,DK,1,0.496
2024-07-01,DO,0,0.599
2024-07-01,DO,1,0.401
2024-07-01,DZ,0,0.619
2024-07-01,DZ,1,0.381
2024-07-01,EC,0,0.581
2024-07-01,EC,1,0.419
2024-07-01,EE,0,0.547
2024-07-01,EE,1,0.453
2024-07-01,EG,0,0.486
2024-07-01,EG,1,0.514
2024-07-01,ES,0,0.476
2024-07-01,ES,1,0.524
2024-07-01,ET,0,0.419
2024-07-01,ET,1,0.581
2024-07-01,FI,0,0.523
2024-07-01,FI,1,0.477
2024-07-01,FR,0,0.417
2024-07-01,FR,1,0.583
2024-07-01,GB,0,0.377
2024-07-01,GB,1,0.623
2024-07-01,GE,0,0.586
2024-07-01,GE,1,0.414
2024-07-01,GH,0,0.511
2024-07-01,GH,1,0.489
2024-07-01,GR,0,0.486
2024-07-01,GR,1,0.514
2024-07-01,GT,0,0.653
2024-07-01,GT,1,0.347
2024-07-01,HN,0,0.546
2024-07-01,HN,1,0.454
2024-07-01,HR,0,0.476
2024-07-01,HR,1,0.524
2024-07-01,HT,0,0.696
2024-07-01,HT,1,0.304
2024-07-01,HU,0,0.591
2024-07-01,HU,1,0.409
2024-07-01,ID,0,0.465
2024-07-01,ID,1,0.535
2024-07-01,IE,0,0.406
2024-07-01,IE,1,0.594
2024-07-01,IL,0,0.427
2024-07-01,IL,1,0.573
2024-07-01,IN,0,0.399
2024-07-01,IN,1,0.601
2024-07-01,IQ,0,0.689
2024-07-01,IQ,1,0.311
2024-07-01,IT,0,0.506
2024-07-01,IT,1,0.494
2024-07-01,JM,0,0.504
2024-07-01,JM,1,0.496
2024-07-01,JO,0,0.421
2024-07-01,JO,1,0.579
2024-07-01,JP,0,0.472
2024-07-01,JP,1,0.528
2024-07-01,KE,0,0.435
2024-07-01,KE,1,0.565
2024-07-01,KG,0,0.575
2024-07-01,KG,1,0.425
2024-07-01,KH,0,0.625
2024-07-01,KH,1,0.375
2024-07-01,KR,0,0.447
2024-07-01,KR,1,0.553
2024-07-01,KW,0,0.548
2024-07-01,KW,1,0.452
2024-07-01,KZ,0,0.605
2024-07-01,KZ,1,0.395
2024-07-01,LB,0,0.511
2024-07-01,LB,1,0.489
2024-07-01,LK,0,0.391
2024-07-01,LK,1,0.609
2024-07-01,LT,0,0.530
2024-07-01,LT,1,0.470
2024-07-01,LU,0,0.415
2024-07-01,LU,1,0.585
2024-07-01,LV,0,0.485
2024-07-01,LV,1,0.515
2024-07-01,LY,0,0.665
2024-07-01,LY,1,0.335
2024-07-01,MA,0,0.522
2024-07-01,MA,1,0.478
2024-07-01,MD,0,0.475
2024-07-01,MD,1,0.525
2024-07-01,ME,0,0.533
2024-07-01,ME,1,0.467
2024-07-01,MG,0,0.438
2024-07-01,MG,1,0.562
2024-07-01,MK,0,0.493
2024-07-01,MK,1,0.507
2024-07-01,MM,0,0.655
2024-07-01,MM,1,0.345
2024-07-01,MT,0,0.417
2024-07-01,MT,1,0.583
2024-07-01,MU,0,0.425
2024-07-01,MU,1,0.575
2024-07-01,MX,0,0.577
2024-07-01,MX,1,0.423
2024-07-01,MY,0,0.431
2024-07-01,MY,1,0.569
2024-07-01,MZ,0,0.537
2024-07-01,MZ,1,0.463
2024-07-01,NG,0,0.518
2024-07-01,NG,1,0.482
2024-07-01,NI,0,0.634
2024-07-01,NI,1,0.366
2024-07-01,NL,0,0.397
2024-07-01,NL,1,0.603
2024-07-01,NO,0,0.534
2024-07-01,NO,1,0.466
2024-07-01,NP,0,0.558
2024-07-01,NP,1,0.442
2024-07-01,NZ,0,0.458
2024-07-01,NZ,1,0.542
2024-07-01,OM,0,0.439
2024-07-01,OM,1,0.561
2024-07-01,PA,0,0.630
2024-07-01,PA,1,0.370
2024-07-01,PE,0,0.546
2024-07-01,PE,1,0.454
2024-07-01,PH,0,0.517
2024-07-01,PH,1,0.483
2024-07-01,PK,0,0.474
2024-07-01,PK,1,0.526
2024-07-01,PL,0,0.501
2024-07-01,PL,1,0.499
2024-07-01,PR,0,0.608
2024-07-01,PR,1,0.392
2024-07-01,PS,0,0.645
2024-07-01,PS,1,0.355
2024-07-01,PT,0,0.443
2024-07-01,PT,1,0.557
2024-07-01,PY,0,0.614
2024-07-01,PY,1,0.386
2024-07-01,QA,0,0.341
2024-07-01,QA,1,0.659
2024-07-01,RO,0,0.522
2024-07-01,RO,1,0.478
2024-07-01,RS,0,0.480
2024-07-01,RS,1,0.520
2024-07-01,RW,0,0.413
2024-07-01,RW,1,0.587
2024-07-01,SA,0,0.472
2024-07-01,SA,1,0.528
2024-07-01,SC,0,0.272
2024-07-01,SC,1,0.728
2024-07-01,SE,0,0.554
2024-07-01,SE,1,0.446
2024-07-01,SG,0,0.311
2024-07-01,SG,1,0.689
2024-07-01,SI,0,0.538
2024-07-01,SI,1,0.462
2024-07-01,SK,0,0.581
