month,iwa_cleaned,share_of_messages
2024-07-01,4.A.1.a.1.I01,0.01172
2024-07-01,4.A.1.a.1.I02,0.00159
2024-07-01,4.A.1.a.1.I03,0.00061
2024-07-01,4.A.1.a.1.I04,0.05302
2024-07-01,4.A.1.a.1.I05,0.00087
2024-07-01,4.A.1.a.1.I06,0.00071
2024-07-01,4.A.1.a.1.I07,0.02675
2024-07-01,4.A.1.a.1.I08,0.00335
2024-07-01,4.A.1.a.1.I09,0.00303
2024-07-01,4.A.1.a.1.I11,0.00021
2024-07-01,4.A.1.a.1.I12,0.00040
2024-07-01,4.A.1.a.1.I13,0.00049
2024-07-01,4.A.1.a.1.I14,0.00142
2024-07-01,4.A.1.a.1.I15,0.00351
2024-07-01,4.A.1.a.1.I16,0.01324
2024-07-01,4.A.1.a.1.I17,0.00113
2024-07-01,4.A.1.a.1.I18,0.03537
2024-07-01,4.A.1.a.1.I19,0.01691
2024-07-01,4.A.1.a.1.I20,0.00395
2024-07-01,4.A.1.a.1.I21,0.00030
2024-07-01,4.A.1.a.1.I23,0.00064
2024-07-01,4.A.1.a.2.I08,0.00085
2024-07-01,4.A.1.a.2.I10,0.00046
2024-07-01,4.A.1.b.1.I02,0.00030
2024-07-01,4.A.1.b.2.I09,0.00008
2024-07-01,4.A.1.b.3.I01,0.00121
2024-07-01,4.A.1.b.3.I02,0.00054
2024-07-01,4.A.1.b.3.I03,0.01167
2024-07-01,4.A.2.a.1.I01,0.00067
2024-07-01,4.A.2.a.1.I02,0.00243
2024-07-01,4.A.2.a.1.I03,0.00170
2024-07-01,4.A.2.a.1.I04,0.00162
2024-07-01,4.A.2.a.1.I06,0.00297
2024-07-01,4.A.2.a.1.I07,0.00981
2024-07-01,4.A.2.a.1.I08,0.00209
2024-07-01,4.A.2.a.1.I09,0.00019
2024-07-01,4.A.2.a.1.I10,0.00021
2024-07-01,4.A.2.a.2.I01,0.00257
2024-07-01,4.A.2.a.2.I03,0.00169
2024-07-01,4.A.2.a.2.I05,0.00024
2024-07-01,4.A.2.a.3.I01,0.00111
2024-07-01,4.A.2.a.4.I01,0.00050
2024-07-01,4.A.2.a.4.I02,0.00515
2024-07-01,4.A.2.a.4.I03,0.00053
2024-07-01,4.A.2.a.4.I04,0.03984
2024-07-01,4.A.2.a.4.I05,0.00030
2024-07-01,4.A.2.a.4.I06,0.00125
2024-07-01,4.A.2.a.4.I07,0.00079
2024-07-01,4.A.2.a.4.I08,0.00462
2024-07-01,4.A.2.a.4.I09,0.00077
2024-07-01,4.A.2.a.4.I10,0.00189
2024-07-01,4.A.2.a.4.I11,0.00449
2024-07-01,4.A.2.a.4.I12,0.00077
2024-07-01,4.A.2.b.1.I01,0.00198
2024-07-01,4.A.2.b.1.I02,0.00157
2024-07-01,4.A.2.b.1.I06,0.00094
2024-07-01,4.A.2.b.1.I07,0.12731
2024-07-01,4.A.2.b.1.I08,0.00028
2024-07-01,4.A.2.b.1.I10,0.00056
2024-07-01,4.A.2.b.1.I11,0.00053
2024-07-01,4.A.2.b.2.I01,0.00102
2024-07-01,4.A.2.b.2.I02,0.00291
2024-07-01,4.A.2.b.2.I03,0.00218
2024-07-01,4.A.2.b.2.I04,0.00163
2024-07-01,4.A.2.b.2.I06,0.00089
2024-07-01,4.A.2.b.2.I07,0.00025
2024-07-01,4.A.2.b.2.I09,0.00077
2024-07-01,4.A.2.b.2.I11,0.00054
2024-07-01,4.A.2.b.2.I12,0.02529
2024-07-01,4.A.2.b.2.I15,0.00395
2024-07-01,4.A.2.b.2.I18,0.01485
