month,iwa_cleaned,share_of_messages
2024-07-01,4.A.1.a.1.I01,0.00194
2024-07-01,4.A.1.a.1.I02,0.00227
2024-07-01,4.A.1.a.1.I03,0.00006
2024-07-01,4.A.1.a.1.I04,0.03012
2024-07-01,4.A.1.a.1.I05,0.00072
2024-07-01,4.A.1.a.1.I06,0.00130
2024-07-01,4.A.1.a.1.I07,0.01308
2024-07-01,4.A.1.a.1.I08,0.00011
2024-07-01,4.A.1.a.1.I09,0.00482
2024-07-01,4.A.1.a.1.I11,0.00000
2024-07-01,4.A.1.a.1.I12,0.00073
2024-07-01,4.A.1.a.1.I13,0.00000
2024-07-01,4.A.1.a.1.I14,0.00125
2024-07-01,4.A.1.a.1.I15,0.00073
2024-07-01,4.A.1.a.1.I16,0.00240
2024-07-01,4.A.1.a.1.I17,0.00091
2024-07-01,4.A.1.a.1.I18,0.00764
2024-07-01,4.A.1.a.1.I19,0.00599
2024-07-01,4.A.1.a.1.I20,0.00449
2024-07-01,4.A.1.a.1.I21,0.00003
2024-07-01,4.A.1.a.1.I23,0.00094
2024-07-01,4.A.1.a.2.I08,0.00032
2024-07-01,4.A.1.a.2.I10,0.00061
2024-07-01,4.A.1.b.1.I02,0.00079
2024-07-01,4.A.1.b.2.I09,0.00030
2024-07-01,4.A.1.b.3.I01,0.00053
2024-07-01,4.A.1.b.3.I02,0.00079
2024-07-01,4.A.1.b.3.I03,0.01116
2024-07-01,4.A.2.a.1.I01,0.00042
2024-07-01,4.A.2.a.1.I02,0.00409
2024-07-01,4.A.2.a.1.I03,0.00198
2024-07-01,4.A.2.a.1.I04,0.00256
2024-07-01,4.A.2.a.1.I06,0.00193
2024-07-01,4.A.2.a.1.I07,0.00842
2024-07-01,4.A.2.a.1.I08,0.00284
2024-07-01,4.A.2.a.1.I09,0.00048
2024-07-01,4.A.2.a.1.I10,0.00046
2024-07-01,4.A.2.a.2.I01,0.00185
2024-07-01,4.A.2.a.2.I03,0.00258
2024-07-01,4.A.2.a.2.I05,0.00036
2024-07-01,4.A.2.a.3.I01,0.00146
2024-07-01,4.A.2.a.4.I01,0.00036
2024-07-01,4.A.2.a.4.I02,0.00552
2024-07-01,4.A.2.a.4.I03,0.00057
2024-07-01,4.A.2.a.4.I04,0.01213
2024-07-01,4.A.2.a.4.I05,0.00039
2024-07-01,4.A.2.a.4.I06,0.00144
2024-07-01,4.A.2.a.4.I07,0.00120
2024-07-01,4.A.2.a.4.I08,0.00352
2024-07-01,4.A.2.a.4.I09,0.00072
2024-07-01,4.A.2.a.4.I10,0.00097
2024-07-01,4.A.2.a.4.I11,0.00585
2024-07-01,4.A.2.a.4.I12,0.00137
2024-07-01,4.A.2.b.1.I01,0.00207
2024-07-01,4.A.2.b.1.I02,0.00122
2024-07-01,4.A.2.b.1.I06,0.00041
2024-07-01,4.A.2.b.1.I07,0.18476
2024-07-01,4.A.2.b.1.I08,0.00039
2024-07-01,4.A.2.b.1.I10,0.00057
2024-07-01,4.A.2.b.1.I11,0.00027
2024-07-01,4.A.2.b.2.I01,0.00146
2024-07-01,4.A.2.b.2.I02,0.00501
2024-07-01,4.A.2.b.2.I03,0.00356
2024-07-01,4.A.2.b.2.I04,0.00018
2024-07-01,4.A.2.b.2.I06,0.00162
2024-07-01,4.A.2.b.2.I07,0.00063
2024-07-01,4.A.2.b.2.I09,0.00132
2024-07-01,4.A.2.b.2.I11,0.00058
2024-07-01,4.A.2.b.2.I12,0.04461
2024-07-01,4.A.2.b.2.I15,0.00626
2024-07-01,4.A.2.b.2.I18,0.01376
2024-07-01,4.A.2.b.2.I19,0.00011
2024-07-01,4.A.2.b.2.I21,0.00339
2024-07-01,4.A.2.b.2.I22,0.00408
2024-07-01,4.A.2.b.2.I23,0.00486
2024-07-01,4.A.2.b.2.I25,0.00104
2024-07-01,4.A.2.b.2.I26,0.00031
2024-07-01,4.A.2.b.2.I27,0.00208
2024-07-01,4.A.2.b.3.I01,0.00620
2024-07-01,4.A.2.b.4.I01,0.00282
2024-07-01,4.A.2.b.4.I03,0.00203
2024-07-01,4.A.2.b.5.I01,0.00089
2024-07-01,4.A.2.b.5.I02,0.00143
2024-07-01,4.A.2.b.5.I03,0.00187
2024-07-01,4.A.2.b.6.I01,0.00187
2024-07-01,4.A.2.b.6.I02,0.00286
2024-07-01,4.A.3.a.1.I01,0.00056
2024-07-01,4.A.3.a.1.I03,0.00008
2024-07-01,4.A.3.a.1.I08,0.00001
2024-07-01,4.A.3.a.1.I16,0.00032
2024-07-01,4.A.3.a.2.I03,0.00031
2024-07-01,4.A.3.a.2.I21,0.00015
2024-07-01,4.A.3.a.2.I46,0.00019
2024-07-01,4.A.3.b.1.I01,0.08067
2024-07-01,4.A.3.b.1.I02,0.00146
2024-07-01,4.A.3.b.1.I03,0.00896
2024-07-01,4.A.3.b.1.I04,0.06076
2024-07-01,4.A.3.b.1.I05,0.00361
2024-07-01,4.A.3.b.1.I06,0.00972
2024-07-01,4.A.3.b.6.I01,0.00390
2024-07-01,4.A.3.b.6.I03,0.00645
2024-07-01,4.A.3.b.6.I05,0.00033
2024-07-01,4.A.3.b.6.I06,0.00440
2024-07-01,4.A.3.b.6.I07,0.00224
2024-07-01,4.A.3.b.6.I08,0.00079
2024-07-01,4.A.3.b.6.I09,0.00211
2024-07-01,4.A.3.b.6.I10,0.00078
2024-07-01,4.A.3.b.6.I12,0.06435
2024-07-01,4.A.3.b.6.I13,0.00833
2024-07-01,4.A.3.b.6.I14,0.00167
2024-07-01,4.A.3.b.6.I15,0.00585
2024-07-01,4.A.3.b.6.I16,0.05516
2024-07-01,4.A.4.a.1.I01,0.04608
2024-07-01,4.A.4.a.1.I02,0.01583
2024-07-01,4.A.4.a.1.I03,0.02701
2024-07-01,4.A.4.a.1.I04,0.00779
2024-07-01,4.A.4.a.1.I05,0.00291
2024-07-01,4.A.4.a.2.I01,0.00034
2024-07-01,4.A.4.a.2.I02,0.00066
2024-07-01,4.A.4.a.2.I03,0.00916
2024-07-01,4.A.4.a.2.I04,0.00065
2024-07-01,4.A.4.a.2.I06,0.00120
2024-07-01,4.A.4.a.2.I08,0.00063
2024-07-01,4.A.4.a.2.I09,0.00336
2024-07-01,4.A.4.a.2.I11,0.00294
2024-07-01,4.A.4.a.2.I12,0.00062
2024-07-01,4.A.4.a.2.I13,0.00130
2024-07-01,4.A.4.a.3.I02,0.00515
2024-07-01,4.A.4.a.3.I03,0.00775
2024-07-01,4.A.4.a.4.I01,0.00174
2024-07-01,4.A.4.a.5.I01,0.00070
2024-07-01,4.A.4.a.5.I03,0.00034
2024-07-01,4.A.4.a.5.I04,0.00027
2024-07-01,4.A.4.a.5.I08,0.00142
2024-07-01,4.A.4.a.5.I10,0.00048
2024-07-01,4.A.4.a.6.I01,0.00045
2024-07-01,4.A.4.a.6.I02,0.00250
2024-07-01,4.A.4.a.6.I03,0.00413
2024-07-01,4.A.4.a.7.I01,0.00017
2024-07-01,4.A.4.a.7.I02,0.00024
2024-07-01,4.A.4.a.7.I03,0.00089
2024-07-01,4.A.4.a.8.I01,0.00017
2024-07-01,4.A.4.a.8.I02,0.00000
2024-07-01,4.A.4.a.8.I03,0.00130
2024-07-01,4.A.4.b.3.I01,0.00037
2024-07-01,4.A.4.b.3.I02,0.00313
2024-07-01,4.A.4.b.3.I04,0.00040
2024-07-01,4.A.4.b.3.I05,0.00042
2024-07-01,4.A.4.b.5.I01,0.00186
2024-07-01,4.A.4.b.5.I02,0.00193
